name,birth,death,nationality
Johann Nicolaus Bach,1669,1753,German
Tomaso Albinoni,1671,1751,Italian
Antonio Vivaldi,1678,1741,Italian
Georg Philipp Telemann,1681,1767,German
Christoph Graupner,1683,1760,German
François d'Agincourt,1684,1758,French
George Frideric Handel,1685,1759,German
Wilhelm Hieronymus Pachelbel,1685,1764,German
Domenico Scarlatti,1685,1757,Italian
Johann Sebastian Bach,1685,1750,German
Nicola Porpora,1686,1768,Italian
Francesco Geminiani,1687,1762,Italian
Louis-Claude Daquin,1694,1772,French
Johann Lorenz Bach,1695,1773,German
Jean-Marie Leclair,1697,1764,French
František Jiránek,1698,1778,Czech
Johann Adolf Hasse,1699,1783,German
Giovanni Battista Sammartini,1700,1775,Italian
František Tůma,1704,1774,Czech
Franz Xaver Richter,1709,1789,Austro-Moravian
Wilhelm Friedemann Bach,1710,1784,German
William Boyce,1711,1779,English
Jean-Jacques Rousseau,1712,1778,French
Carl Philipp Emanuel Bach,1714,1788,German
Christoph Willibald Gluck,1714,1787,Bohemian
Leopold Mozart,1719,1787,German
Armand-Louis Couperin,1727,1789,French
Niccolò Piccinni,1728,1800,Italian
František Xaver Pokorný,1729,1794,Czech
Antonio Soler,1729,1783,Spanish
František Xaver Dušek,1731,1799,Czech
Johann Christoph Friedrich Bach,1732,1795,German
František Xaver Brixi,1732,1771,Czech
Thomas Erskine,1732,1781,Scottish
Joseph Haydn,1732,1809,Austrian
Johann Christian Bach,1735,1782,German
Michael Haydn,1737,1806,Austrian
Josef Mysliveček,1737,1781,Czech
Giovanni Paisiello,1740,1816,Italian
Carl Stamitz,1745,1801,German-Czech
Leopold Kozeluch,1747,1818,Czech
Domenico Cimarosa,1749,1801,Italian
Marija Zubova,1749,1799,Russion
Antonio Rosetti,1750,1792,Italian
Antonio Salieri,1750,1825,Italian
Jan Křtitel Kuchař,1751,1829,Czech
Maria Anna Mozart,1751,1829,Austrian
Muzio Clementi,1752,1832,English
Josef Reicha,1752,1795,Czech
Franz Anton Hoffmeister,1754,1812,German
Wolfgang Amadeus Mozart,1756,1791,Austrian
Ignaz Pleyel,1757,1831,French
Wilhelm Friedrich Ernst Bach,1759,1845,German
Franz Krommer,1759,1831,Czech
Luigi Cherubini,1760,1842,Italian
Johann Ladislaus Dussek,1760,1812,Czech
Friedrich Heinrich Himmel,1765,1814,German
Franz Xaver Süssmayr,1766,1803,Austrian
Ludwig van Beethoven,1770,1827,German
Édouard Du Puy,1770,1822,Swiss
Anton Reicha,1770,1836,Czech
Jan August Vitásek,1770,1839,Bohemian
Johann Baptist Cramer,1771,1858,English
Václav Tomášek,1774,1850,Czech
Johann Nepomuk Hummel,1778,1837,Austrian
Anton Diabelli,1781,1858,Austrian
Mauro Giuliani,1781,1829,Italian
John Field,1782,1837,Irish
Niccolò Paganini,1782,1840,Italian
Ferdinand Ries,1784,1838,German
Louis Spohr,1784,1859,German
Catherina Cibbini-Kozeluch,1785,1858,Austrian-Bohemian
Friedrich Kuhlau,1786,1832,Danish
Carl Maria von Weber,1786,1826,German
Maria Agata Szymanowska,1789,1831,Polish
Carl Czerny,1791,1857,Czech
Giacomo Meyerbeer,1791,1864,German
Jan Václav Voříšek,1791,1825,Czech
Gioachino Rossini,1792,1868,Italian
Ignaz Moscheles,1794,1870,Bohemian
Giovanni Pacini,1796,1867,Italian
Gaetano Donizetti,1797,1848,Italian
Franz Schubert,1797,1828,Austrian
Fromental Halévy,1799,1862,French
