name,birth_year,death_year,nationality
Ludwig van Beethoven,1770,1827,German
Ferdinando Carulli,1770,1841,Italian
Édouard Du Puy,1770,1822,Swiss
Peter Hänsel,1770,1831,German-Austrian
James Hewitt,1770,1827,American
Anton Reicha,1770,1836,Czech-French
Christian Heinrich Rinck,1770,1846,German
Jan August Vitásek,1770,1839,Bohemian
Friedrich Witt,1770,1836,German
Johann Baptist Cramer,1771,1858,English
Ferdinando Paer,1771,1839,Italian
Maria Frances Parke,1772,1822,English
François-Louis Perne,1772,1832,French
Josef Triebensee,1772,1846,Bohemian
Johann Wilhelm Wilms,1772,1847,Dutch-German
Sophie Bawr,1773,1860,French
Pietro Generali,1773,1832,Italian
Václav Tomáš Matějka,1773,1830,Czech
Bartolomeo Bortolazzi,1773,1820,Italian
Pierre Rode,1774,1830,French
Gaspare Spontini,1774,1851,Italian
Václav Tomášek,1774,1850,Czech
Christoph Ernst Friedrich Weyse,1774,1842,Danish
Johann Anton André,1775,1842,German
François-Adrien Boieldieu,1775,1834,French
João Domingos Bomtempo,1775,1842,Portuguese
Bernhard Crusell,1775,1838,Finnish
Sophia Dussek,1775,1831,Scottish
François de Fossa,1775,1849,French
Ernst Theodor Amadeus Hoffmann,1776,1822,German
Joseph Küffner,1776,1856,German
Philipp Jakob Riotte,1776,1856,German
Ignaz von Seyfried,1776,1841,Austrian
Ludwig Berger,1777,1839,German
Pauline Duchambge,1778,1858,French
Johann Nepomuk Hummel,1778,1837,Austrian
Sigismund von Neukomm,1778,1858,Austrian
Fernando Sor,1778,1839,Spanish
William Knyvett,1779,1856,British
Louise Reichardt,1779,1826,German
Luigi Antonio Calegari,1780,1849,Italian
Conradin Kreutzer,1780,1849,German
Louis François Dauprat,1781,1868,French
Anton Diabelli,1781,1858,Austrian
Mauro Giuliani,1781,1828,Italian
Anthony Heinrich,1781,1861,American
Sophie Lebrun,1781,1863,German
François-Joseph Naderman,1781,1835,French
Daniel Auber,1782,1871,French
Carlo Coccia,1782,1873,Italian
John Field,1782,1837,Irish
Niccolò Paganini,1782,1840,Italian
Charlotta Seuerling,1782,1828,Swedish
Friedrich Dotzauer,1783,1860,German
Teresa Belloc-Giorgi,1784,1855,Italian
Martin-Joseph Mengal,1784,1851,Belgian
Francesco Morlacchi,1784,1841,Italian
George Onslow,1784,1853,Anglo-French
Ferdinand Ries,1784,1838,German
Louis Spohr,1784,1859,German
Alexandre Pierre François Boëly,1785,1858,French
Bettina von Arnim,1785,1859,German
Catherina Cibbini-Kozeluch,1785,1858,Austrian
Isabella Colbran,1785,1845,Spanish
Karol Kurpiński,1785,1857,Polish
Marie Bigot,1785,1820,French
Henry Bishop,1786,1855,English
Friedrich Kuhlau,1786,1832,German-Danish
Pietro Raimondi,1786,1853,Italian
Carl Maria von Weber,1786,1826,German
Alexander Alyabyev,1787,1851,Russian
Franz Xaver Gruber,1787,1863,Austrian
Michele Carafa,1787,1872,Italian
Johann Peter Pixis,1788,1874,German
Simon Sechter,1788,1867,Austrian
Elena Asachi,1789,1877,Romanian
Nicolas-Charles Bochsa,1789,1856,French
Friedrich Ernst Fesca,1789,1826,German
Maria Agata Szymanowska,1789,1831,Polish
Harriet Browne,1790,1858,English
Isaac Nathan,1790,1864,English
Carl Czerny,1791,1857,Austrian
Ferdinand Hérold,1791,1833,French
Giacomo Meyerbeer,1791,1864,German
Franz Xaver Wolfgang Mozart,1791,1844,Austrian
Carlo Evasio Soliva,1791,1853,Swiss-Italian
Jan Václav Voříšek,1791,1825,Czech
Gioachino Rossini,1792,1868,Italian
Hedda Wrangel,1792,1833,Swedish
Cipriani Potter,1792,1871,English
Gertrude van den Bergh,1793,1840,Dutch
Bernhard Klein,1793,1832,German
Caroline Ridderstolpe,1793,1878,Swedish
Princess Amalie of Saxony,1794,1870,German
Ignaz Moscheles,1794,1870,Czech
Heinrich Marschner,1795,1861,German
Saverio Mercadante,1795,1870,Italian
Nikolaos Mantzaros,1795,1872,Italian-Greek
Franz Berwald,1796,1868,Swedish
Helene Liebmann,1796,1835,German
Carl Loewe,1796,1869,German
Mathilda d'Orozco,1796,1863,Swedish
Giovanni Pacini,1796,1867,Italian
Emilie Zumsteeg,1796,1857,German
Luigi Castellacci,1797,1845,Italian
Gaetano Donizetti,1797,1848,Italian
Franz Schubert,1797,1828,Austrian
Annette von Droste-Hülshoff,1797,1848,German
Antonio Rolla,1798,1837,Italian
Olivia Buckley,1799,1847,English
Maria Fredrica von Stedingk,1799,1868,Swedish
Fromental Halévy,1799,1862,French
Oscar I of Sweden,1799,1859,Swedish
Alexey Verstovsky,1799,1862,Russian
Vincenzo Bellini,1801,1835,Italian
Tomasz Padura,1801,1871,Ukrainian-Polish
Jean-Baptiste Duvernoy,1802,1880,French
Amédée Méreaux,1802,1874,French
Cesare Pugni,1802,1870,Italian
Eliza Flower,1803,1846,English
Adolphe Adam,1803,1856,French
Hector Berlioz,1803,1869,French
Henri Herz,1803,1888,Austrian
Franz Lachner,1803,1890,German
Louise Farrenc,1804,1875,French
Mikhail Glinka,1804,1857,Russian
Johann Strauss I,1804,1849,Austrian
Fanny Mendelssohn,1805,1847,German
Leopold von Zenetti,1805,1892,Austrian
Napoléon Coste,1805,1883,French
Juan Crisóstomo Arriaga,1806,1826,Spanish
Johann Kaspar Mertz,1806,1856,Hungarian
Johann Friedrich Franz Burgmüller,1806,1874,German
Carlo Curti,1807,1872,Italian
Ignaz Lachner,1807,1895,German
Michael William Balfe,1808,1870,Irish
Sebastián Iradier,1809,1865,Spanish
Felix Mendelssohn,1809,1847,German
Otto Lindblad,1809,1864,Swedish
Frédéric Chopin,1810,1849,Polish-French
Ferenc Erkel,1810,1893,Hungarian
Otto Nicolai,1810,1849,German
