("comp_fname","comp_mname","comp_lname","comp_birthyear","comp_deathyear","comp_nationality"),
("Jiří","","Rychnovský",1529,1616,"Czech"),
("William","","Byrd",1540,1623,"English"),
("Claudio","Giovanni Antonio","Monteverdi",1567,1643,"Italian"),
("Giovanni","","Valentini",1582,1649,"Italian"),
("Heinrich","","Schütz",1585,1672,"German"),
("Jacob","","van Eyck",1590,1657,"Dutch"),
("Giacomo","","Carissimi",1605,1674,"Italian"),
("Dieterich","","Buxtehude",1637,1707,"Danish-German"),
("Juan","García","de Salazar",1639,1710,"Spanish"),
("Johann","Christoph","Bach",1642,1703,"German"),
("Georg","Christoph","Bach",1642,1697,"German"),
("Johann","Friedrich","Alberti",1642,1710,"German"),
("Tomás","","de Torrejón y Velasco",1644,1728,"Spanish"),
("Johann","Michael","Bach",1648,1694,"German"),
("Johann","","Pachelbel",1653,1706,"German"),
("Jean-Baptiste","","Moreau",1656,1733,"French"),
("Alessandro","","Scarlatti",1660,1725,"Italian"),
("Johann","Joseph","Fux",1660,1741,"German"),
("Johann","","Kuhnau",1660,1722,"German"),
("Élisabeth","Jacquet","de La Guerre",1665,1729,"French"),
("Francesco","","Scarlatti",1666,1741,"Italian"),
("François","","Couperin",1668,1733,"French"),
("Johann","Nicolaus","Bach",1669,1753,"German"),
("Antonio","","Caldara",1670,1736,"Italian"),
("Johann","Christoph","Bach",1671,1721,"German"),
("Tomaso","Giovanni","Albinoni",1671,1751,"Italian"),
("Jeremiah","","Clarke",1674,1707,"English"),
("Johann","Bernhard","Bach",1676,1749,"German"),
("Johann","Ludwig","Bach",1677,1731,"German"),
("Antonio","","Vivaldi",1678,1741,"Italian"),
("Pietro","Filippo","Scarlatti",1679,1750,"Italian"),
("Georg","Philipp","Telemann",1681,1767,"German"),
("Jean-Joseph","","Mouret",1682,1738,"French"),
("Christoph","","Graupner",1683,1760,"German"),
("Jean-Philippe","","Rameau",1683,1764,"French"),
("François","","d'Agincourt",1684,1758,"French"),
("Bohuslav","Matěj","Černohorský",1684,1742,"Czech"),
("Johann","Sebastian","Bach",1685,1750,"German"),
("George","Frideric","Handel",1685,1759,"German"),
("Wilhelm","Hieronymus","Pachelbel",1685,1764,"German"),
("Domenico","","Scarlatti",1685,1757,"Italian"),
("Giuseppe","Matteo","Alberti",1685,1751,"Italian"),
("Nicola","","Porpora",1686,1768,"Italian"),
("Francesco","","Geminiani",1687,1762,"Italian"),
("Charles","Theodore","Pachelbel",1690,1750,"German"),
("Louis-Claude","","Daquin",1694,1772,"French"),
("Johan","Helmich","Roman",1694,1758,"Sweedish"),
("Johann","Lorenz","Bach",1695,1773,"German"),
("Jean-Marie","","Leclair",1697,1764,"French"),
("František","","Jiránek",1698,1778,"Czech"),
("Johann","Adolph","Hasse",1699,1783,"German"),
("Johann","Bernhard","Bach",1700,1743,"German"),
("Giovanni","Battista","Sammartini",1700,1775,"Italian"),
("František","","Tůma",1704,1774,"Czech"),
("Václav","Jan","Kopřiva",1708,1789,"Bohemian"),
("Franz","Xaver","Richter",1709,1789,"Austro-Moravian"),
("Wilhelm","Friedemann","Bach",1710,1784,"German"),
("Domenico","","Alberti",1710,1740,"Italian"),
("William","","Boyce",1711,1779,"English"),
("Jean-Jacques","","Rousseau",1712,1778,"French"),
("Carl","Philipp Emanuel","Bach",1714,1788,"German"),
("Christoph","Willibald","Gluck",1714,1787,"Bohemian"),
("Leopold","","Mozart",1719,1787,"German"),
("Armand-Louis","","Couperin",1727,1789,"French"),
("Niccolò","","Piccinni",1728,1800,"Italian"),
("František","Xaver","Pokorný",1729,1794,"Czech"),
("Antonio","","Soler",1729,1783,"Spanish"),
("František","Xaver","Dušek",1731,1799,"Czech"),
("Johann","Christoph Friedrich","Bach",1732,1795,"German"),
("František","Xaver","Brixi",1732,1771,"Czech"),
("Thomas","","Erskine",1732,1781,"Scottish"),
("Joseph","","Haydn",1732,1809,"Austrian"),
("Johann","Christian","Bach",1735,1782,"German"),
("Michael","","Haydn",1737,1806,"Austrian"),
("Josef","","Mysliveček",1737,1781,"Czech"),
("Élisabeth","","de Haulteterre",1737,1768,"French"),
("Giovanni","","Paisiello",1740,1816,"Italian"),
("Carl","","Stamitz",1745,1801,"German-Czech"),
