work_id,key_id
1,20
2,4
3,20
3,5
4,8
5,6
6,21
7,6
8,6
9,5
10,27
11,5
12,22
13,6
14,22
14,8
15,22
16,7
17,23
18,6
19,7
20,8
21,24
22,4
23,7
24,11
25,10
26,20
27,21
28,8
29,24
30,4
31,7
32,11
33,10
34,20
35,21
36,10
37,6
38,22
39,10
40,22
41,7
42,22
43,22
44,13
45,24
46,7
47,3
48,18
49,6
50,8
51,4
52,13
53,24
54,7
55,3
56,18
57,6
58,8
59,4
60,9
61,5
62,21
63,9
64,24
65,3
66,24
67,12
68,21
69,22
70,7
71,19
72,26
73,3
74,7
75,23
76,24
77,12
78,22
79,22
80,10
81,22
82,6
83,19
84,26
85,10
86,25
87,24
88,24
89,7
90,22
91,7
