work_id,tempo_id
1,9
2,3
3,5
3,53
4,10
5,14
6,44
7,12
8,13
9,19
10,4
10,51
11,25
12,9
13,30
14,16
15,12
16,17
17,28
18,24
19,20
20,50
21,7
21,26
22,46
23,52
24,25
25,7
26,11
27,50
28,50
29,7
29,26
30,46
31,52
32,25
33,7
34,11
35,50
36,22
37,2
38,50
39,15
40,18
41,44
42,55
43,9
44,55
45,6
46,9
47,6
48,44
48,55
49,42
50,25
51,35
52,55
53,6
54,9
55,6
56,44
56,55
57,42
58,25
59,35
60,12
61,2
62,6
62,43
63,17
64,2
64,20
65,38
66,43
67,13
68,20
69,21
70,5
71,48
72,9
73,55
74,5
75,50
76,23
77,50
78,47
79,50
80,32
81,54
82,6
83,33
84,31
85,43
86,5
87,45
88,55
89,9
90,27
91,11
