work_id,key_name
1,C minor
2,Ab major
3,C minor
3,Eb major
4,C major
5,Bb major
6,G minor
7,Bb major
8,Bb major
9,Eb major
10,C# minor
11,Eb major
12,D minor
13,Bb major
14,D minor
14,C major
15,D minor
16,F major
17,A minor
18,Bb major
19,F major
20,C major
21,E minor
22,Ab major
23,F major
24,A major
25,D major
26,C minor
27,G minor
28,C major
29,E minor
30,Ab major
31,F major
32,A major
33,D major
34,C minor
35,G minor
36,D major
37,Bb major
38,D minor
39,D major
40,D minor
41,F major
42,D minor
43,D minor
44,B major
45,E minor
46,F major
47,Db major
48,Bb minor
49,Bb major
50,C major
51,Ab major
52,B major
53,E minor
54,F major
55,Db major
56,Bb minor
57,Bb major
58,C major
59,Ab major
60,G major
61,Eb major
62,G minor
63,G major
64,E minor
65,Db major
66,E minor
67,E major
68,G minor
69,D minor
70,F major
71,F minor
72,F# minor
73,Db major
74,F major
75,A minor
76,E minor
77,E major
78,D minor
79,D minor
80,D major
81,D minor
82,Bb major
83,F minor
84,F# minor
85,D major
86,B minor
87,E minor
88,E minor
89,F major
90,D minor
91,F major
