"work_id","work_title","work_alttitle","work_opus","work_identifier","work_mvtitle","work_mvnumber","work_yearbegun","work_yearcompleted","work_yearpublished","work_yearpremiered","work_relatedto","work_measures","work_genre","work_form","work_note","work_wiki","work_imslp","work_viaf","comp_id","era_id"
1,"Symphony No. 1 in C minor ""The Bells of Zlonice""","Symfonie č. 1 c moll „Zlonické zvony“","Op. 3","B. 9","I. Maestoso — allegro","1","1865","1865","1961","1936","","","Orchestral","","","https://en.wikipedia.org/wiki/Symphony_No._1_(Dvo%C5%99%C3%A1k)","https://imslp.org/wiki/Symphony_No.1,_B.9_(Dvo%C5%99%C3%A1k,_Anton%C3%ADn)","","177","10"
2,"Symphony No. 1 in C minor ""The Bells of Zlonice""","Symfonie č. 1 c moll „Zlonické zvony“","Op. 3","B. 9","II. Adagio di molto","2","1865","1865","1961","1936","","","Orchestral","","","https://en.wikipedia.org/wiki/Symphony_No._1_(Dvo%C5%99%C3%A1k)","https://imslp.org/wiki/Symphony_No.1,_B.9_(Dvo%C5%99%C3%A1k,_Anton%C3%ADn)","","177","10"
3,"Symphony No. 1 in C minor ""The Bells of Zlonice""","Symfonie č. 1 c moll „Zlonické zvony“","Op. 3","B. 9","III. Allegretto","3","1865","1865","1961","1936","","","Orchestral","","","https://en.wikipedia.org/wiki/Symphony_No._1_(Dvo%C5%99%C3%A1k)","https://imslp.org/wiki/Symphony_No.1,_B.9_(Dvo%C5%99%C3%A1k,_Anton%C3%ADn)","","177","10"
4,"Symphony No. 1 in C minor ""The Bells of Zlonice""","Symfonie č. 1 c moll „Zlonické zvony“","Op. 3","B. 9","IV. Finale. Allegro animato","4","1865","1865","1961","1936","","","Orchestral","","","https://en.wikipedia.org/wiki/Symphony_No._1_(Dvo%C5%99%C3%A1k)","https://imslp.org/wiki/Symphony_No.1,_B.9_(Dvo%C5%99%C3%A1k,_Anton%C3%ADn)","","177","10"
5,"Symphony No. 2 in B♭ major","Symfonie č. 2 B dur","Op. 4","B. 12","I. Allegro con moto","1","1865","1865","1955","1888","","","Orchestral","","Revised in 1887","https://en.wikipedia.org/wiki/Symphony_No._2_(Dvo%C5%99%C3%A1k)","https://imslp.org/wiki/Symphony_No.2,_Op.4_%28Dvo%C5%99%C3%A1k,_Anton%C3%ADn%29","292718306","177","10"
6,"Symphony No. 2 in B♭ major","Symfonie č. 2 B dur","Op. 4","B. 12","II. Poco adagio","2","1865","1865","1955","1888","","","Orchestral","","Revised in 1888","https://en.wikipedia.org/wiki/Symphony_No._2_(Dvo%C5%99%C3%A1k)","https://imslp.org/wiki/Symphony_No.2,_Op.4_%28Dvo%C5%99%C3%A1k,_Anton%C3%ADn%29","292718306","177","10"
7,"Symphony No. 2 in B♭ major","Symfonie č. 2 B dur","Op. 4","B. 12","III. Scherzo. Allegro con brio","3","1865","1865","1955","1888","","","Orchestral","","Revised in 1889","https://en.wikipedia.org/wiki/Symphony_No._2_(Dvo%C5%99%C3%A1k)","https://imslp.org/wiki/Symphony_No.2,_Op.4_%28Dvo%C5%99%C3%A1k,_Anton%C3%ADn%29","292718306","177","10"
8,"Symphony No. 2 in B♭ major","Symfonie č. 2 B dur","Op. 4","B. 12","IV. Finale. Allegro con fuoco","4","1865","1865","1955","1888","","","Orchestral","","Revised in 1890","https://en.wikipedia.org/wiki/Symphony_No._2_(Dvo%C5%99%C3%A1k)","https://imslp.org/wiki/Symphony_No.2,_Op.4_%28Dvo%C5%99%C3%A1k,_Anton%C3%ADn%29","292718306","177","10"
9,"Symphony No. 3 in E♭ major","Symfonie č. 3 Es dur","Op. 10","B. 34","I. Allegro moderato","1","1873","1873","1911","1874","","","Orchestral","","","https://en.wikipedia.org/wiki/Symphony_No._3_(Dvo%C5%99%C3%A1k)","https://imslp.org/wiki/Symphony_No.3,_Op.10_(Dvo%C5%99%C3%A1k,_Anton%C3%ADn)","292422244","177","10"
10,"Symphony No. 3 in E♭ major","Symfonie č. 3 Es dur","Op. 10","B. 34","II. Adagio molto, tempo di marcia","2","1873","1873","1911","1874","","","Orchestral","","","https://en.wikipedia.org/wiki/Symphony_No._3_(Dvo%C5%99%C3%A1k)","https://imslp.org/wiki/Symphony_No.3,_Op.10_(Dvo%C5%99%C3%A1k,_Anton%C3%ADn)","292422244","177","10"
11,"Symphony No. 3 in E♭ major","Symfonie č. 3 Es dur","Op. 10","B. 34","III. Finale. Allegro vivace","3","1873","1873","1911","1874","","","Orchestral","","","https://en.wikipedia.org/wiki/Symphony_No._3_(Dvo%C5%99%C3%A1k)","https://imslp.org/wiki/Symphony_No.3,_Op.10_(Dvo%C5%99%C3%A1k,_Anton%C3%ADn)","292422244","177","10"
12,"Symphony No. 4 in D minor","Symfonie č. 4 d moll","Op. 13","B. 41","I. Allegro","1","1874","1874","1912","1874","","","Orchestral","","Revised in 1887-1888","https://en.wikipedia.org/wiki/Symphony_No._4_(Dvo%C5%99%C3%A1k)","https://imslp.org/wiki/Symphony_No.4,_Op.13_(Dvo%C5%99%C3%A1k,_Anton%C3%ADn)","293002202","177","10"
