work_id,instr_id,part_num
1,2,1
1,1,1
1,1,2
1,4,1
1,4,2
1,5,1
1,7,1
1,7,2
1,10,1
1,10,2
1,12,1
1,12,2
1,12,3
1,12,4
1,14,1
1,14,2
1,15,1
1,15,2
1,15,3
1,28,1
1,22,1
2,2,1
2,1,1
2,1,2
2,4,1
2,4,2
2,5,1
2,7,1
2,7,2
2,10,1
2,10,2
2,12,1
2,12,2
2,12,3
2,12,4
2,14,1
2,14,2
2,15,1
2,15,2
2,15,3
2,28,1
2,22,1
3,2,1
3,1,1
3,1,2
3,4,1
3,4,2
3,5,1
3,7,1
3,7,2
3,10,1
3,10,2
3,12,1
3,12,2
3,12,3
3,12,4
3,14,1
3,14,2
3,15,1
3,15,2
3,15,3
3,28,1
3,22,1
4,2,1
4,1,1
4,1,2
4,4,1
4,4,2
4,5,1
4,7,1
4,7,2
4,10,1
4,10,2
4,12,1
4,12,2
4,12,3
4,12,4
4,14,1
4,14,2
4,15,1
4,15,2
4,15,3
4,28,1
4,22,1
5,2,1
5,1,1
5,1,2
5,4,1
5,4,2
5,7,1
5,7,2
5,10,1
5,10,2
5,12,1
5,12,2
5,12,3
5,12,4
5,14,1
5,14,2
5,15,1
5,15,2
5,15,3
5,28,1
5,22,1
6,2,1
6,1,1
6,1,2
6,4,1
6,4,2
6,7,1
6,7,2
6,10,1
6,10,2
6,12,1
6,12,2
6,12,3
6,12,4
6,14,1
6,14,2
6,15,1
6,15,2
6,15,3
6,28,1
6,22,1
7,2,1
7,1,1
7,1,2
7,4,1
7,4,2
7,7,1
7,7,2
7,10,1
7,10,2
7,12,1
7,12,2
7,12,3
7,12,4
7,14,1
7,14,2
7,15,1
7,15,2
7,15,3
7,28,1
7,22,1
8,2,1
8,1,1
8,1,2
8,4,1
8,4,2
8,7,1
8,7,2
8,10,1
8,10,2
8,12,1
8,12,2
8,12,3
8,12,4
8,14,1
8,14,2
8,15,1
8,15,2
8,15,3
8,28,1
8,22,1
9,2,1
9,1,1
9,1,2
9,4,1
9,4,2
9,5,1
9,7,1
9,7,2
9,10,1
9,10,2
9,12,1
9,12,2
9,12,3
9,12,4
9,14,1
9,14,2
9,15,1
9,15,2
9,15,3
9,16,1
9,28,1
9,35,1
9,23,1
9,22,1
10,2,1
10,1,1
10,1,2
10,4,1
10,4,2
10,5,1
10,7,1
10,7,2
10,10,1
10,10,2
10,12,1
10,12,2
10,12,3
10,12,4
10,14,1
10,14,2
10,15,1
10,15,2
10,15,3
10,16,1
10,28,1
10,35,1
10,23,1
10,22,1
11,2,1
11,1,1
11,1,2
11,4,1
11,4,2
11,5,1
11,7,1
11,7,2
11,10,1
11,10,2
11,12,1
11,12,2
11,12,3
11,12,4
11,14,1
11,14,2
11,15,1
11,15,2
11,15,3
11,16,1
11,28,1
11,35,1
11,23,1
11,22,1
12,1,1
12,1,2
12,4,1
12,4,2
12,7,1
12,7,2
12,10,1
12,10,2
12,12,1
12,12,2
12,12,3
12,14,1
12,14,2
12,15,1
12,15,2
12,15,3
12,28,1
12,35,1
12,22,1
13,1,1
13,1,2
13,4,1
13,4,2
13,7,1
13,7,2
13,10,1
13,10,2
13,12,1
13,12,2
13,12,3
13,14,1
13,14,2
13,15,1
13,15,2
13,15,3
13,28,1
13,35,1
13,22,1
14,1,1
14,1,2
14,4,1
14,4,2
14,7,1
14,7,2
14,10,1
14,10,2
14,12,1
14,12,2
14,12,3
14,14,1
14,14,2
14,15,1
14,15,2
14,15,3
14,28,1
14,35,1
14,22,1
15,1,1
15,1,2
15,4,1
15,4,2
15,7,1
15,7,2
15,10,1
15,10,2
15,12,1
15,12,2
15,12,3
15,14,1
15,14,2
15,15,1
15,15,2
15,15,3
15,28,1
15,35,1
15,22,1
16,1,1
16,1,2
16,4,1
16,4,2
16,7,1
16,7,2
16,9,1
16,10,1
16,10,2
16,12,1
16,12,2
16,12,3
16,12,4
16,14,1
16,14,2
16,15,1
16,15,2
16,15,3
16,28,1
16,35,1
16,22,1
17,1,1
17,1,2
17,4,1
17,4,2
17,7,1
17,7,2
17,9,1
17,10,1
17,10,2
17,12,1
17,12,2
17,12,3
17,12,4
17,14,1
17,14,2
17,15,1
17,15,2
17,15,3
17,28,1
17,35,1
17,22,1
18,1,1
18,1,2
18,4,1
18,4,2
18,7,1
18,7,2
18,9,1
18,10,1
18,10,2
18,12,1
18,12,2
18,12,3
18,12,4
18,14,1
18,14,2
18,15,1
18,15,2
18,15,3
18,28,1
18,35,1
18,22,1
19,1,1
19,1,2
19,4,1
19,4,2
19,7,1
19,7,2
19,9,1
19,10,1
19,10,2
19,12,1
19,12,2
19,12,3
19,12,4
19,14,1
19,14,2
19,15,1
19,15,2
19,15,3
19,28,1
19,35,1
19,22,1
20,24,1
21,24,1
22,24,1
23,24,1
24,24,1
25,24,1
26,24,1
27,24,1
28,2,1
28,1,1
28,1,2
28,4,1
28,4,2
28,7,1
28,7,2
28,10,1
28,10,2
28,12,1
28,12,2
28,14,1
28,14,2
28,15,1
28,15,2
28,15,3
28,28,1
28,37,1
28,36,1
28,35,1
28,22,1
29,2,1
29,1,1
29,1,2
29,4,1
29,4,2
29,7,1
29,7,2
29,10,1
29,10,2
29,12,1
29,12,2
29,14,1
29,14,2
29,15,1
29,15,2
29,15,3
29,28,1
29,37,1
29,36,1
29,35,1
29,22,1
30,2,1
30,1,1
30,1,2
30,4,1
30,4,2
30,7,1
30,7,2
30,10,1
30,10,2
30,12,1
30,12,2
30,14,1
30,14,2
30,15,1
30,15,2
30,15,3
30,28,1
30,37,1
30,36,1
30,35,1
30,22,1
31,2,1
31,1,1
31,1,2
31,4,1
31,4,2
31,7,1
31,7,2
31,10,1
31,10,2
31,12,1
31,12,2
31,14,1
31,14,2
31,15,1
31,15,2
31,15,3
31,28,1
31,37,1
31,36,1
31,35,1
31,22,1
