work_id,time_name
1,2/2
2,2/4
3,2/4
4,2/4
5,2/4
6,12/8
7,3/4
8,2/2
9,6/8
10,2/4
11,2/4
12,3/4
13,4/4
14,6/4
15,2/4
16,2/4
17,3/8
18,3/8
19,4/4
20,3/4
21,2/4
22,2/4
23,3/4
24,2/4
25,3/4
26,2/4
27,3/4
28,3/4
29,2/4
30,2/4
31,3/4
32,2/4
33,3/4
34,2/4
35,3/4
36,3/4
37,2/4
38,3/4
39,2/2
40,6/8
41,4/4
42,6/4
43,2/2
44,2/4
45,3/8
46,2/4
47,3/8
48,4/8
49,3/4
50,2/4
51,3/4
52,2/4
53,3/8
54,2/4
55,3/8
56,4/8
57,3/4
58,2/4
59,3/4
60,4/4
61,2/4
62,3/8
63,2/4
64,4/8
65,4/4
66,3/4
67,4/4
68,2/4
69,2/4
70,2/4
71,2/4
72,2/4
73,2/4
74,2/4
75,2/4
76,2/4
77,2/4
78,2/4
79,2/4
80,2/4
81,2/4
82,2/4
83,2/4
84,2/4
85,2/4
86,2/4
87,2/4
88,2/4
89,2/2
90,3/4
91,2/4
