work_id,work_title,work_alttitle,work_opus,work_identifier,work_mvtitle,work_mvnum,work_yearbegun,work_yearcompleted,work_yearpublished,work_yearpremiered,work_genre,work_form,work_measures,work_relatedto,work_note,work_wiki,work_imslp,work_viaf,era_id,COMPOSER,comp_id,KEY,key_id,TIME,time_id,TEMPO,tempo_id,INSTRUMENTATION,instr_id,B.,Op.
1,"Symphony No. 1 in C minor ""The Bells of Zlonice""",Symfonie č. 1 c moll „Zlonické zvony“,Op. 3,B. 9,I. Maestoso — allegro,1,1865,1865,1961,1936,Orchestral,,,,,https://en.wikipedia.org/wiki/Symphony_No._1_(Dvo%C5%99%C3%A1k),"https://imslp.org/wiki/Symphony_No.1,_B.9_(Dvo%C5%99%C3%A1k,_Anton%C3%ADn)",,10,Dvorak,177,C minor,,2/2,,Allegro,,,,9,3
2,"Symphony No. 1 in C minor ""The Bells of Zlonice""",Symfonie č. 1 c moll „Zlonické zvony“,Op. 3,B. 9,II. Adagio di molto,2,1865,1865,1961,1936,Orchestral,,,,,https://en.wikipedia.org/wiki/Symphony_No._1_(Dvo%C5%99%C3%A1k),"https://imslp.org/wiki/Symphony_No.1,_B.9_(Dvo%C5%99%C3%A1k,_Anton%C3%ADn)",,10,Dvorak,177,Ab major,,2/4,,Adagio di molto,,,,9,3
3,"Symphony No. 1 in C minor ""The Bells of Zlonice""",Symfonie č. 1 c moll „Zlonické zvony“,Op. 3,B. 9,III. Allegretto,3,1865,1865,1961,1936,Orchestral,,,,,https://en.wikipedia.org/wiki/Symphony_No._1_(Dvo%C5%99%C3%A1k),"https://imslp.org/wiki/Symphony_No.1,_B.9_(Dvo%C5%99%C3%A1k,_Anton%C3%ADn)",,10,Dvorak,177,"C minor, Eb major",,2/4,,"Allegretto, Trio",,,,9,3
4,"Symphony No. 1 in C minor ""The Bells of Zlonice""",Symfonie č. 1 c moll „Zlonické zvony“,Op. 3,B. 9,IV. Finale. Allegro animato,4,1865,1865,1961,1936,Orchestral,,,,,https://en.wikipedia.org/wiki/Symphony_No._1_(Dvo%C5%99%C3%A1k),"https://imslp.org/wiki/Symphony_No.1,_B.9_(Dvo%C5%99%C3%A1k,_Anton%C3%ADn)",,10,Dvorak,177,C major,,2/4,,Allegro animato,,,,9,3
5,Symphony No. 2 in B♭ major,Symfonie č. 2 B dur,Op. 4,B. 12,I. Allegro con moto,1,1865,1865,1955,1888,Orchestral,,,,Revised in 1887,https://en.wikipedia.org/wiki/Symphony_No._2_(Dvo%C5%99%C3%A1k),"https://imslp.org/wiki/Symphony_No.2,_Op.4_%28Dvo%C5%99%C3%A1k,_Anton%C3%ADn%29",,10,Dvorak,177,Bb major,,2/4,,Allegro con moto,,,,12,4
6,Symphony No. 2 in B♭ major,Symfonie č. 2 B dur,Op. 4,B. 12,II. Poco adagio,2,1865,1865,1955,1888,Orchestral,,,,Revised in 1888,https://en.wikipedia.org/wiki/Symphony_No._2_(Dvo%C5%99%C3%A1k),"https://imslp.org/wiki/Symphony_No.2,_Op.4_%28Dvo%C5%99%C3%A1k,_Anton%C3%ADn%29",,10,Dvorak,177,G minor,,12/8,,Poco adagio,,,,12,4
7,Symphony No. 2 in B♭ major,Symfonie č. 2 B dur,Op. 4,B. 12,III. Scherzo. Allegro con brio,3,1865,1865,1955,1888,Orchestral,,,,Revised in 1889,https://en.wikipedia.org/wiki/Symphony_No._2_(Dvo%C5%99%C3%A1k),"https://imslp.org/wiki/Symphony_No.2,_Op.4_%28Dvo%C5%99%C3%A1k,_Anton%C3%ADn%29",,10,Dvorak,177,Bb major,,3/4,,Allegro con brio,,,,12,4
8,Symphony No. 2 in B♭ major,Symfonie č. 2 B dur,Op. 4,B. 12,IV. Finale. Allegro con fuoco,4,1865,1865,1955,1888,Orchestral,,,,Revised in 1890,https://en.wikipedia.org/wiki/Symphony_No._2_(Dvo%C5%99%C3%A1k),"https://imslp.org/wiki/Symphony_No.2,_Op.4_%28Dvo%C5%99%C3%A1k,_Anton%C3%ADn%29",,10,Dvorak,177,Bb major,,2/2,,Allegro con fuoco,,,,12,4
9,Symphony No. 3 in E♭ major,Symfonie č. 3 Es dur,Op. 10,B. 34,I. Allegro moderato,1,1873,1873,1911,1874,Orchestral,,,,,https://en.wikipedia.org/wiki/Symphony_No._3_(Dvo%C5%99%C3%A1k),"https://imslp.org/wiki/Symphony_No.3,_Op.10_(Dvo%C5%99%C3%A1k,_Anton%C3%ADn)",,10,Dvorak,177,Eb major,,6/8,,Allegro moderato,,,,34,10
10,Symphony No. 3 in E♭ major,Symfonie č. 3 Es dur,Op. 10,B. 34,"II. Adagio molto, tempo di marcia",2,1873,1873,1911,1874,Orchestral,,,,,https://en.wikipedia.org/wiki/Symphony_No._3_(Dvo%C5%99%C3%A1k),"https://imslp.org/wiki/Symphony_No.3,_Op.10_(Dvo%C5%99%C3%A1k,_Anton%C3%ADn)",,10,Dvorak,177,C# minor,,2/4,,"Adagio molto, tempo di marcia",,,,34,10
11,Symphony No. 3 in E♭ major,Symfonie č. 3 Es dur,Op. 10,B. 34,III. Finale. Allegro vivace,3,1873,1873,1911,1874,Orchestral,,,,,https://en.wikipedia.org/wiki/Symphony_No._3_(Dvo%C5%99%C3%A1k),"https://imslp.org/wiki/Symphony_No.3,_Op.10_(Dvo%C5%99%C3%A1k,_Anton%C3%ADn)",,10,Dvorak,177,Eb major,,2/4,,Allegro vivace,,,,34,10
