work_id,work_title,work_alttitle,work_opus,work_identifier,work_mvtitle,work_mvnum,work_yearbegun,work_yearcompleted,work_yearpublished,work_yearpremiered,work_genre,work_form,work_measures,work_relatedto,work_note,work_wiki,work_imslp,work_viaf,era_id,comp_id,key_id,time_id,tempo_id,B.,Op.
,Forget-me-not Polka in C major,Polka pomněnka C dur,,B. 1,,,1854,1854,,,Piano,,,,,,,,10,70,,,,1,
,Mass in B♭ major,Mše B dur,,B. 2,,,1857,1858,,,Choral,,,,lost,,,,10,70,,,,2,
,Per Pedes Polka,Polka per pedes,,B. 2bis,,,1859,1859,,,Piano,,,,,,,,10,70,,,,2bis,
,Polka in E major,Polka E dur,,B. 3,,,1860,1860,,,Piano,,,,,,,,10,70,,,,3,
,The Woman Harpist,Harfenice,,B. 4,,,1862,1862,,,Orchestral,,,,lost; polka,,,,10,70,,,,4,
,Polka,Polka,,B. 5,,,1861,1861,,,Orchestral,,,,lost,,,,10,70,,,,5,
,Gallop,Galop,,B. 6,,,1861,1861,,,Orchestral,,,,lost,,,,10,70,,,,6,
,String Quintet No. 1 in A minor,Smyčcový kvintet č. 1 a moll,Op. 1,B. 7,,,1861,1861,,,Chamber music,,,,,,,,10,70,,,,7,1
,String Quartet No. 1 in A major,Smyčcový kvartet č. 1 A dur,Op. 2,B. 8,,,1862,1862,,,Chamber music,,,,,,,,10,70,,,,8,2
,"Symphony No. 1 in C minor ""The Bells of Zlonice""",Symfonie č. 1 c moll „Zlonické zvony“,Op. 3,B. 9,I. Maestoso — allegro,1,1865,1865,1961,1936,Orchestral,,,,,https://en.wikipedia.org/wiki/Symphony_No._1_(Dvo%C5%99%C3%A1k),"https://imslp.org/wiki/Symphony_No.1,_B.9_(Dvo%C5%99%C3%A1k,_Anton%C3%ADn)",,10,70,C minor,2/2,Allegro,9,3
,"Symphony No. 1 in C minor ""The Bells of Zlonice""",Symfonie č. 1 c moll „Zlonické zvony“,Op. 3,B. 9,II. Adagio di molto,2,1865,1865,1961,1936,Orchestral,,,,,https://en.wikipedia.org/wiki/Symphony_No._1_(Dvo%C5%99%C3%A1k),"https://imslp.org/wiki/Symphony_No.1,_B.9_(Dvo%C5%99%C3%A1k,_Anton%C3%ADn)",,10,70,Ab major,2/4,Adagio di molto,9,3
,"Symphony No. 1 in C minor ""The Bells of Zlonice""",Symfonie č. 1 c moll „Zlonické zvony“,Op. 3,B. 9,III. Allegretto,3,1865,1865,1961,1936,Orchestral,,,,,https://en.wikipedia.org/wiki/Symphony_No._1_(Dvo%C5%99%C3%A1k),"https://imslp.org/wiki/Symphony_No.1,_B.9_(Dvo%C5%99%C3%A1k,_Anton%C3%ADn)",,10,70,C minor,2/4,Allegretto,9,3
,"Symphony No. 1 in C minor ""The Bells of Zlonice""",Symfonie č. 1 c moll „Zlonické zvony“,Op. 3,B. 9,IV. Finale. Allegro animato,4,1865,1865,1961,1936,Orchestral,,,,,https://en.wikipedia.org/wiki/Symphony_No._1_(Dvo%C5%99%C3%A1k),"https://imslp.org/wiki/Symphony_No.1,_B.9_(Dvo%C5%99%C3%A1k,_Anton%C3%ADn)",,10,70,C major,2/4,Allegro animato,9,3
,Cello Concerto in A major,Koncert pro violoncello a orchestr A dur,,B. 10,,,1865,1865,,,Concertante,,,,orchestrated by Jarmil Burghauser,,,,10,70,,,,10,
,Cypresses,Cypřiše,,B. 11,,,1865,1865,,,Vocal,,,,"18 songs on poems by Gustav Pfleger Moravský; selections revised in 1881-82, B. 123 and in 1888, B. 160; selections arranged for string quartet in 1887, B. 152",,,,10,70,,,,11,
,Cypresses,Cypřiše,,B. 152,,,1887,1887,,,Chamber music,,,,"arrangement of B. 11 nos. 6, 3, 2, 8, 12, 7, 9, 14, 4, 16, 17 and 18; original for voice and piano",,,,10,70,,,,152,
,Symphony No. 2 in B♭ major,Symfonie č. 2 B dur,Op. 4,B. 12,I. Allegro con moto,1,1865,1865,1955,1888,Orchestral,,,,Revised in 1887,https://en.wikipedia.org/wiki/Symphony_No._2_(Dvo%C5%99%C3%A1k),"https://imslp.org/wiki/Symphony_No.2,_Op.4_%28Dvo%C5%99%C3%A1k,_Anton%C3%ADn%29",,10,70,Bb major,2/4,Allegro con moto,12,4
,Symphony No. 2 in B♭ major,Symfonie č. 2 B dur,Op. 4,B. 12,II. Poco adagio,2,1865,1865,1955,1888,Orchestral,,,,Revised in 1888,https://en.wikipedia.org/wiki/Symphony_No._2_(Dvo%C5%99%C3%A1k),"https://imslp.org/wiki/Symphony_No.2,_Op.4_%28Dvo%C5%99%C3%A1k,_Anton%C3%ADn%29",,10,70,G minor,12/8,Poco adagio,12,4
,Symphony No. 2 in B♭ major,Symfonie č. 2 B dur,Op. 4,B. 12,III. Scherzo. Allegro con brio,3,1865,1865,1955,1888,Orchestral,,,,Revised in 1889,https://en.wikipedia.org/wiki/Symphony_No._2_(Dvo%C5%99%C3%A1k),"https://imslp.org/wiki/Symphony_No.2,_Op.4_%28Dvo%C5%99%C3%A1k,_Anton%C3%ADn%29",,10,70,Bb major,3/4,Allegro con brio,12,4
,Symphony No. 2 in B♭ major,Symfonie č. 2 B dur,Op. 4,B. 12,IV. Finale. Allegro con fuoco,4,1865,1865,1955,1888,Orchestral,,,,Revised in 1890,https://en.wikipedia.org/wiki/Symphony_No._2_(Dvo%C5%99%C3%A1k),"https://imslp.org/wiki/Symphony_No.2,_Op.4_%28Dvo%C5%99%C3%A1k,_Anton%C3%ADn%29",,10,70,Bb major,2/2,Allegro con fuoco,12,4
,2 Songs,Dvě písně pro baryton a klavír,,B. 13,,,1865,1865,,,Vocal,,,,,,,,10,70,,,,13,
,Clarinet Quintet in B♭ minor,Kvintet pro klarinet a smyčce b moll,,B. 14,,,1865,1869,,,Chamber music,,,,lost,,,,10,70,,,,14,
,7 Interludes,Sedm meziaktních skladeb,,B. 15,,,1867,1867,,,Orchestral,,,,,,,,10,70,,,,15,
