part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,0,D,D,,5,,eighth,False,False,True,False
P1,0,C,C,,5,240,eighth,False,False,False,False
P1,0,B,B,,4,240,eighth,False,False,False,False
P1,0,,,,,480,quarter,False,True,False,False
P1,1,C,C,,5,480,quarter,False,False,False,False
P1,1,C,C,,4,480,quarter,False,False,False,False
P1,1,E,E,,4,480,quarter,False,False,False,False
P1,1,G,G,,4,480,quarter,False,False,False,False
P1,1,C,C,,4,480,quarter,False,False,False,False
P1,1,E,E,,4,480,quarter,False,False,False,False
P1,1,G,G,,4,480,quarter,False,False,False,False
P1,1,C,C,,3,480,quarter,False,False,False,False
P1,1,,,,,480,quarter,False,True,False,False
P1,1,G,G,,2,480,quarter,False,False,False,False
P1,2,C,C,,4,480,quarter,False,False,False,False
P1,2,E,E,,4,480,quarter,False,False,False,False
P1,2,G,G,,4,480,quarter,False,False,False,False
P1,2,C,C,,4,480,quarter,False,False,False,False
P1,2,E,E,,4,480,quarter,False,False,False,False
P1,2,G,G,,4,480,quarter,False,False,False,False
P1,2,C,C,,4,480,quarter,False,False,False,False
P1,2,E,E,,4,480,quarter,False,False,False,False
P1,2,G,G,,4,480,quarter,False,False,False,False
P1,2,C,C,,3,480,quarter,False,False,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,2,G,G,,2,480,quarter,False,False,False,False
P1,3,C,C,,4,480,quarter,False,False,False,False
P1,3,E,E,,4,480,quarter,False,False,False,False
P1,3,G,G,,4,480,quarter,False,False,False,False
P1,3,C,C,,4,480,quarter,False,False,False,False
P1,3,E,E,,4,480,quarter,False,False,False,False
P1,3,G,G,,4,480,quarter,False,False,False,False
P1,3,C,C,,4,480,quarter,False,False,False,False
P1,3,E,E,,4,480,quarter,False,False,False,False
P1,3,G,G,,4,480,quarter,False,False,False,False
P1,3,C,C,,3,480,quarter,False,False,False,False
P1,3,E,E,,2,240,eighth,False,False,False,False
P1,3,F,F,,2,240,eighth,False,False,False,False
P1,3,G,G,,2,240,eighth,False,False,False,False
P1,3,E,E,,2,240,eighth,False,False,False,False
P1,4,C,C,,4,480,quarter,False,False,False,False
P1,4,E,E,,4,480,quarter,False,False,False,False
P1,4,G,G,,4,480,quarter,False,False,False,False
P1,4,C,C,,4,480,quarter,False,False,False,False
P1,4,E,E,,4,480,quarter,False,False,False,False
P1,4,G,G,,4,480,quarter,False,False,False,False
P1,4,E,E,,5,,eighth,False,False,True,False
P1,4,D,D,,5,240,eighth,False,False,False,False
P1,4,C#,C,1,5,240,eighth,False,False,False,False
P1,4,C,C,,2,480,quarter,False,False,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,5,D,D,,5,480,quarter,False,False,False,False
P1,5,D,D,,4,480,quarter,False,False,False,False
P1,5,F,F,,4,480,quarter,False,False,False,False
P1,5,G,G,,4,480,quarter,False,False,False,False
P1,5,D,D,,4,480,quarter,False,False,False,False
P1,5,F,F,,4,480,quarter,False,False,False,False
P1,5,G,G,,4,480,quarter,False,False,False,False
P1,5,G,G,,2,480,quarter,False,False,False,False
P1,5,,,,,480,quarter,False,True,False,False
P1,5,D,D,,2,480,quarter,False,False,False,False
P1,6,D,D,,4,480,quarter,False,False,False,False
P1,6,F,F,,4,480,quarter,False,False,False,False
P1,6,G,G,,4,480,quarter,False,False,False,False
P1,6,D,D,,4,480,quarter,False,False,False,False
P1,6,F,F,,4,480,quarter,False,False,False,False
P1,6,G,G,,4,480,quarter,False,False,False,False
P1,6,D,D,,4,480,quarter,False,False,False,False
P1,6,F,F,,4,480,quarter,False,False,False,False
P1,6,G,G,,4,480,quarter,False,False,False,False
P1,6,G,G,,2,480,quarter,False,False,False,False
P1,6,,,,,480,quarter,False,True,False,False
P1,6,D,D,,2,480,quarter,False,False,False,False
P1,7,D,D,,4,480,quarter,False,False,False,False
P1,7,F,F,,4,480,quarter,False,False,False,False
P1,7,G,G,,4,480,quarter,False,False,False,False
P1,7,D,D,,4,480,quarter,False,False,False,False
P1,7,F,F,,4,480,quarter,False,False,False,False
P1,7,G,G,,4,480,quarter,False,False,False,False
P1,7,D,D,,4,480,quarter,False,False,False,False
P1,7,F,F,,4,480,quarter,False,False,False,False
P1,7,G,G,,4,480,quarter,False,False,False,False
P1,7,G,G,,2,480,quarter,False,False,False,False
P1,7,B,B,,1,240,eighth,False,False,False,False
P1,7,C,C,,2,240,eighth,False,False,False,False
P1,7,D,D,,2,240,eighth,False,False,False,False
P1,7,B,B,,1,240,eighth,False,False,False,False
P1,8,D,D,,4,480,quarter,False,False,False,False
P1,8,F,F,,4,480,quarter,False,False,False,False
P1,8,G,G,,4,480,quarter,False,False,False,False
P1,8,D,D,,4,480,quarter,False,False,False,False
P1,8,F,F,,4,480,quarter,False,False,False,False
P1,8,G,G,,4,480,quarter,False,False,False,False
P1,8,C,C,,4,480,quarter,False,False,False,False
P1,8,E,E,,4,480,quarter,False,False,False,False
P1,8,G,G,,1,480,quarter,False,False,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,8,Bb,B,-1,2,480,quarter,False,False,False,False
P1,9,C,C,,4,480,quarter,False,False,False,False
P1,9,F,F,,4,480,quarter,False,False,False,False
P1,9,A,A,,4,480,quarter,False,False,False,False
P1,9,C,C,,4,480,quarter,False,False,False,False
P1,9,E,E,,4,480,quarter,False,False,False,False
P1,9,A,A,,2,480,quarter,False,False,False,False
P1,9,F,F,,2,480,quarter,False,False,False,False
P1,9,Bb,B,-1,2,480,quarter,False,False,False,False
P1,10,C,C,,4,480,quarter,False,False,False,False
P1,10,F,F,,4,480,quarter,False,False,False,False
P1,10,A,A,,4,480,quarter,False,False,False,False
P1,10,D,D,,4,480,quarter,False,False,False,False
P1,10,F#,F,1,4,480,quarter,False,False,False,False
P1,10,A,A,,2,480,quarter,False,False,False,False
P1,10,F,F,,2,480,quarter,False,False,False,False
P1,10,C,C,,3,480,quarter,False,False,False,False
P1,11,D,D,,4,480,quarter,False,False,False,False
P1,11,G,G,,4,480,quarter,False,False,False,False
P1,11,B,B,,4,480,quarter,False,False,False,False
P1,11,D,D,,4,480,quarter,False,False,False,False
P1,11,F#,F,1,4,480,quarter,False,False,False,False
P1,11,B,B,,2,480,quarter,False,False,False,False
P1,11,G,G,,2,480,quarter,False,False,False,False
P1,11,C,C,,3,480,quarter,False,False,False,False
P1,12,D,D,,4,480,quarter,False,False,False,False
P1,12,G,G,,4,480,quarter,False,False,False,False
