part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,B,B,,4,960,half,False,False,False,False
P1,1,E,E,,4,960,half,False,False,False,False
P1,1,E,E,,5,960,half,False,False,False,False
P1,1,,,,,240,eighth,False,True,False,False
P1,1,E,E,,3,240,eighth,False,False,False,False
P1,1,G#,G,1,3,240,eighth,False,False,False,False
P1,1,B,B,,3,240,eighth,False,False,False,False
P1,1,E,E,,3,240,eighth,False,False,False,False
P1,1,G#,G,1,3,240,eighth,False,False,False,False
P1,1,B,B,,3,240,eighth,False,False,False,False
P1,1,E,E,,3,240,eighth,False,False,False,False
P1,1,G#,G,1,3,240,eighth,False,False,False,False
P1,1,B,B,,3,240,eighth,False,False,False,False
P1,1,,,,,240,eighth,False,True,False,False
P1,1,E,E,,3,240,eighth,False,False,False,False
P1,1,G#,G,1,3,240,eighth,False,False,False,False
P1,1,B,B,,3,240,eighth,False,False,False,False
P1,1,E,E,,3,240,eighth,False,False,False,False
P1,1,G#,G,1,3,240,eighth,False,False,False,False
P1,1,B,B,,3,240,eighth,False,False,False,False
P1,1,E,E,,3,240,eighth,False,False,False,False
P1,1,G#,G,1,3,240,eighth,False,False,False,False
P1,1,B,B,,3,240,eighth,False,False,False,False
P1,2,C#,C,1,5,960,half,False,False,False,False
P1,2,F#,F,1,4,960,half,False,False,False,False
P1,2,F#,F,1,5,960,half,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,E,E,,3,240,eighth,False,False,False,False
P1,2,A,A,,3,240,eighth,False,False,False,False
P1,2,C#,C,1,4,240,eighth,False,False,False,False
P1,2,E,E,,3,240,eighth,False,False,False,False
P1,2,A,A,,3,240,eighth,False,False,False,False
P1,2,C#,C,1,4,240,eighth,False,False,False,False
P1,2,E,E,,3,240,eighth,False,False,False,False
P1,2,A,A,,3,240,eighth,False,False,False,False
P1,2,C#,C,1,4,240,eighth,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,E,E,,3,240,eighth,False,False,False,False
P1,2,A,A,,3,240,eighth,False,False,False,False
P1,2,C#,C,1,4,240,eighth,False,False,False,False
P1,2,E,E,,3,240,eighth,False,False,False,False
P1,2,A,A,,3,240,eighth,False,False,False,False
P1,2,C#,C,1,4,240,eighth,False,False,False,False
P1,2,E,E,,3,240,eighth,False,False,False,False
P1,2,A,A,,3,240,eighth,False,False,False,False
P1,2,C#,C,1,4,240,eighth,False,False,False,False
P1,3,D#,D,1,5,960,half,False,False,False,False
P1,3,B,B,,4,960,half,False,False,False,False
P1,3,B,B,,5,960,half,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,E,E,,3,240,eighth,False,False,False,False
P1,3,F#,F,1,3,240,eighth,False,False,False,False
P1,3,A,A,,3,240,eighth,False,False,False,False
P1,3,D#,D,1,4,240,eighth,False,False,False,False
P1,3,E,E,,3,240,eighth,False,False,False,False
P1,3,F#,F,1,3,240,eighth,False,False,False,False
P1,3,A,A,,3,240,eighth,False,False,False,False
P1,3,D#,D,1,4,240,eighth,False,False,False,False
P1,3,E,E,,3,240,eighth,False,False,False,False
P1,3,F#,F,1,3,240,eighth,False,False,False,False
P1,3,A,A,,3,240,eighth,False,False,False,False
P1,3,D#,D,1,4,240,eighth,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,E,E,,3,240,eighth,False,False,False,False
P1,3,F#,F,1,3,240,eighth,False,False,False,False
P1,3,A,A,,3,240,eighth,False,False,False,False
P1,3,D#,D,1,4,240,eighth,False,False,False,False
P1,3,E,E,,3,240,eighth,False,False,False,False
P1,3,F#,F,1,3,240,eighth,False,False,False,False
P1,3,A,A,,3,240,eighth,False,False,False,False
P1,3,D#,D,1,4,240,eighth,False,False,False,False
P1,3,E,E,,3,240,eighth,False,False,False,False
P1,3,F#,F,1,3,240,eighth,False,False,False,False
P1,3,A,A,,3,240,eighth,False,False,False,False
P1,3,D#,D,1,4,240,eighth,False,False,False,False
P1,4,B,B,,5,720,quarter,True,False,False,False
P1,4,C#,C,1,6,120,16th,False,False,False,False
P1,4,D#,D,1,6,120,16th,False,False,False,False
P1,4,E,E,,6,480,quarter,False,False,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,4,E,E,,3,1440,half,True,False,False,False
P1,4,G#,G,1,3,1440,half,True,False,False,False
P1,4,B,B,,3,1440,half,True,False,False,False
P1,4,E,E,,4,1440,half,True,False,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,5,,,,,960,half,False,True,False,False
P1,5,,,,,480,quarter,False,True,False,False
P1,5,,,,,480,quarter,False,True,False,False
P1,5,G#,G,1,5,120,16th,False,False,False,False
P1,5,E,E,,5,120,16th,False,False,False,False
P1,5,A,A,,5,120,16th,False,False,False,False
P1,5,F#,F,1,5,120,16th,False,False,False,False
P1,5,B,B,,5,120,16th,False,False,False,False
P1,5,G#,G,1,5,120,16th,False,False,False,False
P1,5,C#,C,1,6,120,16th,False,False,False,False
P1,5,A,A,,5,120,16th,False,False,False,False
P1,5,B,B,,5,480,quarter,False,False,False,False
P1,5,,,,,480,quarter,False,True,False,False
P1,5,,,,,960,half,False,True,False,False
P1,5,G#,G,1,4,120,16th,False,False,False,False
P1,5,E,E,,4,120,16th,False,False,False,False
