part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,0,C,C,,4,360,eighth,True,False,False,False
P1,0,E,E,,4,360,eighth,True,False,False,False
P1,0,C,C,,5,360,eighth,True,False,False,False
P1,0,C,C,,4,120,16th,False,False,False,False
P1,0,E,E,,4,120,16th,False,False,False,False
P1,0,A,A,,4,120,16th,False,False,False,False
P1,0,C,C,,5,120,16th,False,False,False,False
P1,0,A,A,,1,360,eighth,True,False,False,False
P1,0,A,A,,2,360,eighth,True,False,False,False
P1,0,A,A,,1,120,16th,False,False,False,False
P1,0,A,A,,2,120,16th,False,False,False,False
P1,1,C,C,,4,480,quarter,False,False,False,False
P1,1,E,E,,4,480,quarter,False,False,False,False
P1,1,A,A,,4,480,quarter,False,False,False,False
P1,1,C,C,,5,480,quarter,False,False,False,False
P1,1,,,,,480,quarter,False,True,False,False
P1,1,,,,,480,quarter,False,True,False,False
P1,1,A,A,,1,480,quarter,False,False,False,False
P1,1,A,A,,2,480,quarter,False,False,False,False
P1,1,,,,,480,quarter,False,True,False,False
P1,1,,,,,480,quarter,False,True,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,2,C,C,,4,480,quarter,False,False,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,2,A,A,,3,480,quarter,False,False,False,False
P1,3,C,C,,4,480,quarter,False,False,False,False
P1,3,,,,,480,quarter,False,True,False,False
P1,3,,,,,480,quarter,False,True,False,False
P1,3,A,A,,3,480,quarter,False,False,False,False
P1,3,,,,,480,quarter,False,True,False,False
P1,3,,,,,480,quarter,False,True,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,4,D,D,,4,360,eighth,True,False,False,False
P1,4,G,G,,4,360,eighth,True,False,False,False
P1,4,B,B,,4,360,eighth,True,False,False,False
P1,4,D,D,,5,360,eighth,True,False,False,False
P1,4,D,D,,4,120,16th,False,False,False,False
P1,4,G,G,,4,120,16th,False,False,False,False
P1,4,B,B,,4,120,16th,False,False,False,False
P1,4,D,D,,5,120,16th,False,False,False,False
