part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,,,,,480,quarter,False,True,False,False
P1,1,,,,,120,16th,False,True,False,False
P1,1,D,D,,4,120,16th,False,False,False,False
P1,1,D,D,,5,120,16th,False,False,False,False
P1,1,A#,A,1,4,120,16th,False,False,False,False
P1,1,,,,,480,quarter,False,True,False,False
P1,1,,,,,480,quarter,False,True,False,False
P1,1,,,,,480,quarter,False,True,False,False
P1,1,,,,,480,quarter,False,True,False,False
P1,1,,,,,480,quarter,False,True,False,False
P1,1,,,,,480,quarter,False,True,False,False
P1,2,B,B,,4,120,16th,False,False,False,False
P1,2,F#,F,1,4,120,16th,False,False,False,False
P1,2,G,G,,4,360,eighth,True,False,False,False
P1,2,D,D,,4,120,16th,False,False,False,False
P1,2,D,D,,5,120,16th,False,False,False,False
P1,2,A#,A,1,4,120,16th,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,G,G,,2,120,16th,False,False,False,False
P1,2,B,B,,2,120,16th,False,False,False,False
P1,2,D,D,,3,480,quarter,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,,,,,120,16th,False,True,False,False
P1,2,B,B,,2,120,16th,False,False,False,False
P1,2,B,B,,2,480,quarter,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,G,G,,2,240,eighth,False,False,False,False
P1,2,G,G,,2,480,quarter,False,False,False,False
P1,3,B,B,,4,120,16th,False,False,False,False
P1,3,F#,F,1,4,120,16th,False,False,False,False
P1,3,G,G,,4,360,eighth,True,False,False,False
P1,3,E,E,,4,120,16th,False,False,False,False
P1,3,E,E,,5,120,16th,False,False,False,False
P1,3,B,B,,4,120,16th,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,G,G,,3,120,16th,False,False,False,False
P1,3,B,B,,3,120,16th,False,False,False,False
P1,3,D,D,,4,480,quarter,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,,,,,120,16th,False,True,False,False
P1,3,B,B,,3,120,16th,False,False,False,False
P1,3,B,B,,3,480,quarter,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,G,G,,3,240,eighth,False,False,False,False
P1,3,G,G,,3,480,quarter,False,False,False,False
P1,4,C,C,,5,120,16th,False,False,False,False
P1,4,G#,G,1,4,120,16th,False,False,False,False
P1,4,A,A,,4,360,eighth,True,False,False,False
P1,4,E,E,,4,120,16th,False,False,False,False
P1,4,E,E,,5,120,16th,False,False,False,False
P1,4,B,B,,4,120,16th,False,False,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,4,G,G,,2,120,16th,False,False,False,False
P1,4,C,C,,3,120,16th,False,False,False,False
P1,4,E,E,,3,480,quarter,False,False,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,4,,,,,120,16th,False,True,False,False
P1,4,C,C,,3,120,16th,False,False,False,False
P1,4,C,C,,3,480,quarter,False,False,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,4,G,G,,2,240,eighth,False,False,False,False
P1,4,G,G,,2,480,quarter,False,False,False,False
P1,5,C,C,,5,120,16th,False,False,False,False
P1,5,G#,G,1,4,120,16th,False,False,False,False
P1,5,A,A,,4,360,eighth,True,False,False,False
P1,5,A,A,,4,120,16th,False,False,False,False
P1,5,C,C,,6,120,16th,False,False,False,False
P1,5,B,B,,5,120,16th,False,False,False,False
P1,5,,,,,240,eighth,False,True,False,False
P1,5,G,G,,3,120,16th,False,False,False,False
