part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,0,B,B,,4,480,quarter,False,False,False,False
P1,0,D#,D,1,4,480,quarter,False,False,False,False
P1,0,D#,D,1,5,480,quarter,False,False,False,False
P1,0,G#,G,1,3,160,eighth,False,False,False,False
P1,0,B,B,,3,160,eighth,False,False,False,False
P1,0,E,E,,4,160,eighth,False,False,False,False
P1,0,F#,F,1,3,160,eighth,False,False,False,False
P1,0,A,A,,3,160,eighth,False,False,False,False
P1,0,B,B,,3,160,eighth,False,False,False,False
P1,1,E,E,,4,960,half,False,False,False,False
P1,1,E,E,,5,960,half,False,False,False,False
P1,1,E,E,,4,480,quarter,False,False,False,False
P1,1,E,E,,5,480,quarter,False,False,False,False
P1,1,E,E,,4,480,quarter,False,False,False,False
P1,1,E,E,,5,480,quarter,False,False,False,False
P1,1,E,E,,3,160,eighth,False,False,False,False
P1,1,G#,G,1,3,160,eighth,False,False,False,False
P1,1,B,B,,3,160,eighth,False,False,False,False
P1,1,D#,D,1,3,160,eighth,False,False,False,False
P1,1,F#,F,1,3,160,eighth,False,False,False,False
P1,1,B,B,,3,160,eighth,False,False,False,False
P1,1,C#,C,1,3,160,eighth,False,False,False,False
P1,1,E,E,,3,160,eighth,False,False,False,False
P1,1,A,A,,3,160,eighth,False,False,False,False
P1,1,B,B,,2,160,eighth,False,False,False,False
P1,1,D#,D,1,3,160,eighth,False,False,False,False
P1,1,G#,G,1,3,160,eighth,False,False,False,False
P1,2,F#,F,1,4,720,quarter,True,False,False,False
P1,2,F#,F,1,5,720,quarter,True,False,False,False
P1,2,G#,G,1,4,240,eighth,False,False,False,False
P1,2,G#,G,1,5,240,eighth,False,False,False,False
P1,2,A,A,,4,480,quarter,False,False,False,False
P1,2,A,A,,5,480,quarter,False,False,False,False
P1,2,A,A,,4,480,quarter,False,False,False,False
P1,2,A,A,,5,480,quarter,False,False,False,False
P1,2,A,A,,2,160,eighth,False,False,False,False
P1,2,C#,C,1,3,160,eighth,False,False,False,False
P1,2,F#,F,1,3,160,eighth,False,False,False,False
P1,2,G#,G,1,2,160,eighth,False,False,False,False
P1,2,B,B,,2,160,eighth,False,False,False,False
P1,2,E,E,,3,160,eighth,False,False,False,False
P1,2,F#,F,1,2,160,eighth,False,False,False,False
P1,2,A,A,,2,160,eighth,False,False,False,False
P1,2,D#,D,1,3,160,eighth,False,False,False,False
P1,2,E,E,,2,160,eighth,False,False,False,False
P1,2,G#,G,1,2,160,eighth,False,False,False,False
P1,2,C#,C,1,3,160,eighth,False,False,False,False
P1,3,A,A,,4,480,quarter,False,False,False,False
P1,3,A,A,,5,480,quarter,False,False,False,False
P1,3,A,A,,4,480,quarter,False,False,False,False
P1,3,A,A,,5,480,quarter,False,False,False,False
P1,3,A,A,,4,480,quarter,False,False,False,False
P1,3,A,A,,5,480,quarter,False,False,False,False
P1,3,A,A,,4,480,quarter,False,False,False,False
P1,3,A,A,,5,480,quarter,False,False,False,False
P1,3,D#,D,1,2,160,eighth,False,False,False,False
P1,3,F#,F,1,2,160,eighth,False,False,False,False
P1,3,B,B,,2,160,eighth,False,False,False,False
P1,3,E,E,,2,160,eighth,False,False,False,False
P1,3,G#,G,1,2,160,eighth,False,False,False,False
P1,3,B,B,,2,160,eighth,False,False,False,False
P1,3,D#,D,1,2,160,eighth,False,False,False,False
P1,3,F#,F,1,2,160,eighth,False,False,False,False
P1,3,B,B,,2,160,eighth,False,False,False,False
P1,3,C#,C,1,2,160,eighth,False,False,False,False
P1,3,E,E,,2,160,eighth,False,False,False,False
P1,3,B,B,,2,160,eighth,False,False,False,False
P1,4,,,,,1920,whole,False,True,False,False
P1,4,A,A,,4,960,half,False,False,False,False
P1,4,A,A,,5,960,half,False,False,False,False
P1,4,A,A,,5,120,16th,False,False,False,False
P1,4,G#,G,1,5,120,16th,False,False,False,False
P1,4,F#,F,1,5,120,16th,False,False,False,False
P1,4,E,E,,5,120,16th,False,False,False,False
P1,4,D#,D,1,5,120,16th,False,False,False,False
P1,4,C#,C,1,5,120,16th,False,False,False,False
P1,4,B,B,,4,120,16th,False,False,False,False
