part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,0,B,B,,3,120,16th,False,False,False,False
P1,0,C,C,,4,120,16th,False,False,False,False
P1,0,,,,,240,eighth,False,True,False,False
P1,0,,,,,240,eighth,False,True,False,False
P1,1,D,D,,4,240,eighth,False,False,False,False
P1,1,E,E,,4,120,16th,False,False,False,False
P1,1,F#,F,1,4,120,16th,False,False,False,False
P1,1,G,G,,4,240,eighth,False,False,False,False
P1,1,,,,,720,whole,False,True,False,False
P1,1,,,,,720,whole,False,True,False,False
P1,2,A,A,,4,120,16th,False,False,False,False
P1,2,B,B,,4,120,16th,False,False,False,False
P1,2,C,C,,5,240,eighth,False,False,False,False
P1,2,C#,C,1,5,240,eighth,False,False,False,False
P1,2,,,,,720,whole,False,True,False,False
P1,2,,,,,720,whole,False,True,False,False
P1,3,D,D,,5,480,quarter,False,False,False,False
P1,3,E,E,,5,120,16th,False,False,False,False
P1,3,C#,C,1,5,120,16th,False,False,False,False
P1,3,B,B,,3,480,quarter,False,False,False,False
P1,3,C,C,,4,120,16th,False,False,False,False
P1,3,A#,A,1,3,120,16th,False,False,False,False
P1,3,G,G,,3,720,quarter,True,False,False,False
P1,4,D,D,,5,240,eighth,False,False,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,4,B,B,,4,120,16th,False,False,False,False
P1,4,C,C,,5,120,16th,False,False,False,False
P1,4,B,B,,3,240,eighth,False,False,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,4,G,G,,3,240,eighth,False,False,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,5,D,D,,5,240,eighth,False,False,False,False
P1,5,E,E,,5,120,16th,False,False,False,False
P1,5,F#,F,1,5,120,16th,False,False,False,False
P1,5,G,G,,5,240,eighth,False,False,False,False
P1,5,,,,,720,whole,False,True,False,False
P1,5,,,,,720,whole,False,True,False,False
P1,6,A,A,,5,120,16th,False,False,False,False
P1,6,B,B,,5,120,16th,False,False,False,False
P1,6,C,C,,6,240,eighth,False,False,False,False
P1,6,C#,C,1,6,240,eighth,False,False,False,False
P1,6,,,,,720,whole,False,True,False,False
P1,6,,,,,720,whole,False,True,False,False
P1,7,D,D,,5,,16th,False,False,True,False
P1,7,D,D,,6,480,quarter,False,False,False,False
P1,7,C,C,,6,120,16th,False,False,False,False
P1,7,A,A,,5,120,16th,False,False,False,False
P1,7,B,B,,4,480,quarter,False,False,False,False
P1,7,A,A,,4,120,16th,False,False,False,False
P1,7,F#,F,1,4,120,16th,False,False,False,False
P1,7,D,D,,4,720,quarter,True,False,False,False
P1,8,G,G,,5,240,eighth,False,False,False,False
P1,8,,,,,240,eighth,False,True,False,False
P1,8,D,D,,4,80,16th,False,False,False,False
P1,8,E,E,,4,80,16th,False,False,False,False
P1,8,F#,F,1,4,80,16th,False,False,False,False
P1,8,G,G,,4,240,eighth,False,False,False,False
P1,8,,,,,240,eighth,False,True,False,False
P1,8,,,,,240,eighth,False,True,False,False
P1,8,G,G,,4,240,eighth,False,False,False,False
P1,9,G,G,,4,80,16th,False,False,False,False
P1,9,A,A,,4,80,16th,False,False,False,False
P1,9,B,B,,4,80,16th,False,False,False,False
P1,9,C,C,,5,240,eighth,False,False,False,False
P1,9,,,,,240,eighth,False,True,False,False
P1,9,,,,,240,eighth,False,True,False,False
P1,9,,,,,240,eighth,False,True,False,False
P1,9,D,D,,3,240,eighth,False,False,False,False
P1,9,A,A,,3,240,eighth,False,False,False,False
P1,9,C,C,,4,240,eighth,False,False,False,False
P1,10,,,,,240,eighth,False,True,False,False
P1,10,C,C,,6,240,eighth,False,False,False,False
P1,10,D,D,,4,80,16th,False,False,False,False
P1,10,E,E,,4,80,16th,False,False,False,False
P1,10,F#,F,1,4,80,16th,False,False,False,False
P1,10,D,D,,4,240,eighth,False,False,False,False
P1,10,A,A,,4,240,eighth,False,False,False,False
P1,10,C,C,,5,240,eighth,False,False,False,False
P1,10,,,,,240,eighth,False,True,False,False
P1,10,,,,,240,eighth,False,True,False,False
P1,11,G,G,,4,80,16th,False,False,False,False
P1,11,A,A,,4,80,16th,False,False,False,False
P1,11,B,B,,4,80,16th,False,False,False,False
P1,11,C,C,,5,240,eighth,False,False,False,False
P1,11,,,,,240,eighth,False,True,False,False
P1,11,,,,,240,eighth,False,True,False,False
P1,11,,,,,240,eighth,False,True,False,False
P1,11,D,D,,3,240,eighth,False,False,False,False
P1,11,A,A,,3,240,eighth,False,False,False,False
P1,11,C,C,,4,240,eighth,False,False,False,False
P1,12,,,,,240,eighth,False,True,False,False
P1,12,C,C,,6,240,eighth,False,False,False,False
P1,12,D,D,,4,80,16th,False,False,False,False
P1,12,E,E,,4,80,16th,False,False,False,False
P1,12,F#,F,1,4,80,16th,False,False,False,False
P1,12,D,D,,4,240,eighth,False,False,False,False
P1,12,A,A,,4,240,eighth,False,False,False,False
P1,12,C,C,,5,240,eighth,False,False,False,False
P1,12,,,,,240,eighth,False,True,False,False
P1,12,,,,,240,eighth,False,True,False,False
P1,13,G,G,,4,80,16th,False,False,False,False
P1,13,A,A,,4,80,16th,False,False,False,False
P1,13,B,B,,4,80,16th,False,False,False,False
P1,13,C,C,,5,80,16th,False,False,False,False
P1,13,D,D,,5,80,16th,False,False,False,False
P1,13,E,E,,5,80,16th,False,False,False,False
P1,13,F#,F,1,5,60,32nd,False,False,False,False
P1,13,G,G,,5,60,32nd,False,False,False,False
P1,13,A,A,,5,60,32nd,False,False,False,False
P1,13,B,B,,5,60,32nd,False,False,False,False
P1,13,,,,,720,whole,False,True,False,False
P1,14,C,C,,6,240,eighth,False,False,False,False
P1,14,C,C,,6,240,eighth,False,False,False,False
P1,14,C,C,,6,240,eighth,False,False,False,False
P1,14,,,,,240,eighth,False,True,False,False
P1,14,,,,,240,eighth,False,True,False,False
P1,14,D,D,,2,60,32nd,False,False,False,False
P1,14,E,E,,2,60,32nd,False,False,False,False
P1,14,F#,F,1,2,60,32nd,False,False,False,False
P1,14,G,G,,2,60,32nd,False,False,False,False
P1,15,C,C,,6,240,eighth,False,False,False,False
P1,15,A,A,,5,240,eighth,False,False,False,False
P1,15,G,G,,5,240,eighth,False,False,False,False
P1,15,A,A,,2,80,16th,False,False,False,False
P1,15,B,B,,2,80,16th,False,False,False,False
P1,15,C,C,,3,80,16th,False,False,False,False
P1,15,D,D,,3,80,16th,False,False,False,False
P1,15,E,E,,3,80,16th,False,False,False,False
P1,15,F#,F,1,3,80,16th,False,False,False,False
P1,15,G,G,,3,80,16th,False,False,False,False
P1,15,A,A,,3,80,16th,False,False,False,False
P1,15,B,B,,3,80,16th,False,False,False,False
P1,16,A,A,,4,480,quarter,False,False,False,False
P1,16,F#,F,1,5,480,quarter,False,False,False,False
P1,16,B,B,,4,120,16th,False,False,False,False
P1,16,C,C,,5,120,16th,False,False,False,False
P1,16,C,C,,4,480,quarter,False,False,False,False
P1,16,D,D,,4,480,quarter,False,False,False,False
P1,16,,,,,240,eighth,False,True,False,False
P1,17,D,D,,5,240,eighth,False,False,False,False
P1,17,E,E,,5,120,16th,False,False,False,False
P1,17,F#,F,1,5,120,16th,False,False,False,False
P1,17,G,G,,5,240,eighth,False,False,False,False
P1,17,,,,,720,whole,False,True,False,False
P1,17,,,,,720,whole,False,True,False,False
P1,17,,,,,720,whole,False,True,False,False
P1,18,A,A,,5,120,16th,False,False,False,False
P1,18,B,B,,5,120,16th,False,False,False,False
P1,18,C,C,,6,240,eighth,False,False,False,False
P1,18,C#,C,1,6,240,eighth,False,False,False,False
P1,18,,,,,720,whole,False,True,False,False
P1,18,,,,,720,whole,False,True,False,False
P1,18,,,,,720,whole,False,True,False,False
P1,19,D,D,,6,480,quarter,False,False,False,False
P1,19,E,E,,6,120,16th,False,False,False,False
P1,19,C#,C,1,6,120,16th,False,False,False,False
P1,19,,,,,720,whole,False,True,False,False
P1,19,B,B,,4,480,quarter,False,False,False,False
