part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,Eb,E,-1,4,480,quarter,False,False,False,False
P1,1,,,,,480,quarter,False,True,False,False
P1,1,,,,,960,half,False,True,False,False
P1,2,Bb,B,-1,3,480,quarter,False,False,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,2,,,,,960,half,False,True,False,False
P1,3,Eb,E,-1,3,480,quarter,False,False,False,False
P1,3,,,,,480,quarter,False,True,False,False
P1,3,,,,,960,half,False,True,False,False
P1,4,,,,,960,half,False,True,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,4,B,B,,3,240,eighth,False,False,False,False
P1,4,C,C,,4,240,eighth,False,False,False,False
P1,4,Bb,B,-1,3,240,eighth,False,False,False,False
P1,5,Ab,A,-1,3,240,eighth,False,False,False,False
P1,5,G,G,,3,240,eighth,False,False,False,False
P1,5,F,F,,3,240,eighth,False,False,False,False
P1,5,G,G,,3,240,eighth,False,False,False,False
P1,5,Ab,A,-1,3,480,quarter,False,False,False,False
P1,5,A,A,,3,480,quarter,False,False,False,False
P1,6,Bb,B,-1,3,480,quarter,False,False,False,False
P1,6,,,,,480,quarter,False,True,False,False
P1,6,Bb,B,-1,3,480,quarter,False,False,False,False
P1,6,,,,,480,quarter,False,True,False,False
P1,7,Eb,E,-1,4,480,quarter,False,False,False,False
P1,7,,,,,480,quarter,False,True,False,False
P1,7,Bb,B,-1,4,240,eighth,False,False,False,False
P1,7,Ab,A,-1,4,240,eighth,False,False,False,False
P1,7,Ab,A,-1,4,240,eighth,False,False,False,False
P1,7,G,G,,4,240,eighth,False,False,False,False
P1,8,,,,,960,half,False,True,False,False
P1,8,,,,,240,eighth,False,True,False,False
P1,8,B,B,,3,240,eighth,False,False,False,False
P1,8,C,C,,4,240,eighth,False,False,False,False
P1,8,Bb,B,-1,3,240,eighth,False,False,False,False
P1,9,Ab,A,-1,3,240,eighth,False,False,False,False
P1,9,G,G,,3,240,eighth,False,False,False,False
P1,9,F,F,,3,240,eighth,False,False,False,False
P1,9,G,G,,3,240,eighth,False,False,False,False
P1,9,Ab,A,-1,3,480,quarter,False,False,False,False
P1,9,A,A,,3,480,quarter,False,False,False,False
P1,10,Bb,B,-1,3,480,quarter,False,False,False,False
P1,10,,,,,480,quarter,False,True,False,False
P1,10,Bb,B,-1,3,480,quarter,False,False,False,False
P1,10,Bb,B,-1,3,480,quarter,False,False,False,False
P1,11,Eb,E,-1,3,480,quarter,False,False,False,False
P1,11,Bb,B,-1,3,480,quarter,False,False,False,False
P1,11,Eb,E,-1,4,480,quarter,False,False,False,False
P1,11,,,,,480,quarter,False,True,False,False
P1,11,,,,,960,half,False,True,False,False
P1,12,Bb,B,-1,3,480,quarter,False,False,False,False
P1,12,,,,,480,quarter,False,True,False,False
P1,12,Eb,E,-1,4,480,quarter,False,False,False,False
P1,12,Eb,E,-1,4,480,quarter,False,False,False,False
P1,13,D,D,,4,480,quarter,False,False,False,False
P1,13,,,,,480,quarter,False,True,False,False
P1,13,,,,,960,half,False,True,False,False
P1,14,Bb,B,-1,3,480,quarter,False,False,False,False
P1,14,,,,,480,quarter,False,True,False,False
P1,14,Bb,B,-1,3,480,quarter,False,False,False,False
P1,14,Bb,B,-1,3,480,quarter,False,False,False,False
P1,15,Eb,E,-1,4,480,quarter,False,False,False,False
P1,15,,,,,240,eighth,False,True,False,False
P1,15,Eb,E,-1,3,240,eighth,False,False,False,False
P1,15,G,G,,3,240,eighth,False,False,False,False
P1,15,Eb,E,-1,3,240,eighth,False,False,False,False
P1,15,G,G,,3,240,eighth,False,False,False,False
P1,15,Bb,B,-1,3,240,eighth,False,False,False,False
P1,16,Bb,B,-1,3,480,quarter,False,False,False,False
P1,16,,,,,480,quarter,False,True,False,False
P1,16,Bb,B,-1,3,480,quarter,False,False,False,False
P1,16,Bb,B,-1,3,480,quarter,False,False,False,False
P1,17,Bb,B,-1,3,480,quarter,False,False,False,False
P1,17,,,,,240,eighth,False,True,False,False
P1,17,Bb,B,-1,3,240,eighth,False,False,False,False
P1,17,D,D,,4,240,eighth,False,False,False,False
P1,17,Bb,B,-1,3,240,eighth,False,False,False,False
P1,17,D,D,,4,240,eighth,False,False,False,False
P1,17,F,F,,4,240,eighth,False,False,False,False
P1,18,Ab,A,-1,4,480,quarter,False,False,False,False
P1,18,,,,,480,quarter,False,True,False,False
P1,18,D,D,,4,480,quarter,False,False,False,False
P1,18,D,D,,4,480,quarter,False,False,False,False
P1,19,,,,,240,eighth,False,True,False,False
P1,19,D,D,,4,240,eighth,False,False,False,False
P1,19,D,D,,4,240,eighth,False,False,False,False
P1,19,D,D,,4,240,eighth,False,False,False,False
P1,19,D,D,,4,240,eighth,False,False,False,False
P1,19,D,D,,4,240,eighth,False,False,False,False
P1,19,C,C,,4,240,eighth,False,False,False,False
P1,19,C,C,,4,240,eighth,False,False,False,False
P1,20,,,,,240,eighth,False,True,False,False
P1,20,B,B,,3,240,eighth,False,False,False,False
P1,20,B,B,,3,240,eighth,False,False,False,False
P1,20,B,B,,3,240,eighth,False,False,False,False
P1,20,B,B,,3,240,eighth,False,False,False,False
P1,20,B,B,,3,240,eighth,False,False,False,False
P1,20,B,B,,3,240,eighth,False,False,False,False
P1,20,B,B,,3,240,eighth,False,False,False,False
P1,21,,,,,240,eighth,False,True,False,False
P1,21,C,C,,4,240,eighth,False,False,False,False
P1,21,C,C,,4,240,eighth,False,False,False,False
P1,21,C,C,,4,240,eighth,False,False,False,False
P1,21,C,C,,4,240,eighth,False,False,False,False
P1,21,C,C,,4,240,eighth,False,False,False,False
P1,21,Bb,B,-1,3,240,eighth,False,False,False,False
P1,21,Bb,B,-1,3,240,eighth,False,False,False,False
P1,22,,,,,240,eighth,False,True,False,False
P1,22,A,A,,3,240,eighth,False,False,False,False
P1,22,A,A,,3,240,eighth,False,False,False,False
P1,22,A,A,,3,240,eighth,False,False,False,False
P1,22,A,A,,3,240,eighth,False,False,False,False
P1,22,A,A,,3,240,eighth,False,False,False,False
P1,22,A,A,,3,240,eighth,False,False,False,False
P1,22,A,A,,3,240,eighth,False,False,False,False
P1,23,,,,,240,eighth,False,True,False,False
P1,23,Bb,B,-1,3,240,eighth,False,False,False,False
P1,23,Bb,B,-1,3,240,eighth,False,False,False,False
P1,23,Bb,B,-1,3,240,eighth,False,False,False,False
P1,23,D,D,,4,480,quarter,False,False,False,False
P1,23,F,F,,4,480,quarter,False,False,False,False
P1,24,G,G,,4,480,quarter,False,False,False,False
P1,24,,,,,480,quarter,False,True,False,False
P1,24,G,G,,3,480,quarter,False,False,False,False
P1,24,,,,,480,quarter,False,True,False,False
P1,25,F,F,,3,240,eighth,False,False,False,False
P1,25,F,F,,3,240,eighth,False,False,False,False
P1,25,F,F,,3,240,eighth,False,False,False,False
P1,25,F,F,,3,240,eighth,False,False,False,False
P1,25,A,A,,3,240,eighth,False,False,False,False
P1,25,F,F,,3,240,eighth,False,False,False,False
P1,25,Bb,B,-1,3,240,eighth,False,False,False,False
P1,25,F,F,,3,240,eighth,False,False,False,False
P1,26,F,F,,4,480,quarter,False,False,False,False
P1,26,,,,,480,quarter,False,True,False,False
P1,26,,,,,960,half,False,True,False,False
P1,27,,,,,240,eighth,False,True,False,False
P1,27,F,F,,3,240,eighth,False,False,False,False
P1,27,F,F,,3,240,eighth,False,False,False,False
P1,27,F,F,,3,240,eighth,False,False,False,False
P1,27,A,A,,3,240,eighth,False,False,False,False
P1,27,F,F,,3,240,eighth,False,False,False,False
P1,27,Bb,B,-1,3,240,eighth,False,False,False,False
P1,27,F,F,,3,240,eighth,False,False,False,False
P1,28,F,F,,4,480,quarter,False,False,False,False
P1,28,,,,,480,quarter,False,True,False,False
P1,28,,,,,960,half,False,True,False,False
P1,29,F,F,,3,480,quarter,False,False,False,False
P1,29,F,F,,3,480,quarter,False,False,False,False
P1,29,F,F,,3,480,quarter,False,False,False,False
P1,29,,,,,480,quarter,False,True,False,False
P1,30,,,,,1920,,False,True,False,False
P1,31,,,,,1920,,False,True,False,False
P1,32,,,,,1920,,False,True,False,False
P1,33,,,,,1920,,False,True,False,False
P1,34,,,,,1920,,False,True,False,False
P1,35,,,,,1920,,False,True,False,False
P1,36,,,,,480,quarter,False,True,False,False
P1,36,D,D,,4,480,quarter,False,False,False,False
P1,36,C,C,,4,480,quarter,False,False,False,False
P1,36,F,F,,3,480,quarter,False,False,False,False
P1,37,Bb,B,-1,3,480,quarter,False,False,False,False
P1,37,D,D,,4,480,quarter,False,False,False,False
P1,37,C,C,,4,480,quarter,False,False,False,False
P1,37,F,F,,3,480,quarter,False,False,False,False
P1,38,Bb,B,-1,3,480,quarter,False,False,False,False
P1,38,D,D,,4,480,quarter,False,False,False,False
P1,38,C,C,,4,480,quarter,False,False,False,False
P1,38,F,F,,3,480,quarter,False,False,False,False
P1,39,Bb,B,-1,3,480,quarter,False,False,False,False
P1,39,,,,,480,quarter,False,True,False,False
P1,39,,,,,960,half,False,True,False,False
P1,40,F,F,,4,480,quarter,False,False,False,False
P1,40,,,,,480,quarter,False,True,False,False
P1,40,Eb,E,-1,4,480,quarter,False,False,False,False
P1,40,,,,,480,quarter,False,True,False,False
P1,41,D,D,,4,480,quarter,False,False,False,False
P1,41,,,,,480,quarter,False,True,False,False
P1,41,,,,,960,half,False,True,False,False
P1,42,F,F,,4,480,quarter,False,False,False,False
P1,42,,,,,480,quarter,False,True,False,False
P1,42,Eb,E,-1,4,480,quarter,False,False,False,False
P1,42,,,,,480,quarter,False,True,False,False
P1,43,D,D,,4,480,quarter,False,False,False,False
P1,43,,,,,480,quarter,False,True,False,False
P1,43,,,,,960,half,False,True,False,False
P1,44,,,,,1920,,False,True,False,False
P1,45,,,,,1920,,False,True,False,False
P1,46,,,,,1920,,False,True,False,False
P1,47,,,,,1920,,False,True,False,False
P1,48,,,,,1920,,False,True,False,False
P1,49,,,,,1920,,False,True,False,False
P1,50,,,,,1920,,False,True,False,False
P1,51,,,,,1920,,False,True,False,False
P1,52,,,,,960,half,False,True,False,False
P1,52,,,,,480,quarter,False,True,False,False
P1,52,,,,,240,eighth,False,True,False,False
P1,52,F,F,,4,240,eighth,False,False,False,False
P1,53,Bb,B,-1,4,240,eighth,False,False,False,False
P1,53,A,A,,4,240,eighth,False,False,False,False
P1,53,G,G,,4,240,eighth,False,False,False,False
P1,53,F,F,,4,240,eighth,False,False,False,False
P1,53,G,G,,4,240,eighth,False,False,False,False
P1,53,F,F,,4,240,eighth,False,False,False,False
P1,53,Eb,E,-1,4,240,eighth,False,False,False,False
P1,53,D,D,,4,240,eighth,False,False,False,False
P1,54,Eb,E,-1,4,240,eighth,False,False,False,False
P1,54,D,D,,4,240,eighth,False,False,False,False
P1,54,C#,C,1,4,240,eighth,False,False,False,False
P1,54,D,D,,4,240,eighth,False,False,False,False
P1,54,C#,C,1,4,240,eighth,False,False,False,False
P1,54,D,D,,4,240,eighth,False,False,False,False
P1,54,Eb,E,-1,4,240,eighth,False,False,False,False
P1,54,C,C,,4,240,eighth,False,False,False,False
P1,55,Bb,B,-1,3,720,quarter,True,False,False,False
P1,55,D,D,,4,240,eighth,False,False,False,False
P1,55,D,D,,4,240,eighth,False,False,False,False
P1,55,C,C,,4,240,eighth,False,False,False,False
P1,55,Bb,B,-1,3,240,eighth,False,False,False,False
P1,55,A,A,,3,240,eighth,False,False,False,False
P1,56,Bb,B,-1,3,480,quarter,False,False,False,False
P1,56,,,,,480,quarter,False,True,False,False
P1,56,Eb,E,-1,3,960,half,False,False,False,False
P1,57,D,D,,3,960,half,False,False,False,False
P1,57,F,F,,3,960,half,False,False,False,False
P1,58,Bb,B,-1,3,960,half,False,False,False,False
P1,58,Eb,E,-1,3,960,half,False,False,False,False
P1,59,D,D,,3,960,half,False,False,False,False
P1,59,F,F,,3,960,half,False,False,False,False
P1,60,Bb,B,-1,3,480,quarter,False,False,False,False
P1,60,,,,,480,quarter,False,True,False,False
P1,60,C,C,,4,480,quarter,False,False,False,False
P1,60,,,,,480,quarter,False,True,False,False
P1,61,Bb,B,-1,3,480,quarter,False,False,False,False
P1,61,,,,,480,quarter,False,True,False,False
P1,61,C,C,,4,480,quarter,False,False,False,False
P1,61,,,,,480,quarter,False,True,False,False
P1,62,Bb,B,-1,3,480,quarter,False,False,False,False
P1,62,,,,,480,quarter,False,True,False,False
P1,62,,,,,960,half,False,True,False,False
P1,63,,,,,240,eighth,False,True,False,False
P1,63,C,C,,4,240,eighth,False,False,False,False
P1,63,C,C,,4,240,eighth,False,False,False,False
P1,63,C,C,,4,240,eighth,False,False,False,False
P1,63,Bb,B,-1,3,240,eighth,False,False,False,False
P1,63,C,C,,4,240,eighth,False,False,False,False
P1,63,C,C,,4,240,eighth,False,False,False,False
P1,63,C,C,,4,240,eighth,False,False,False,False
P1,64,Bb,B,-1,3,480,quarter,False,False,False,False
P1,64,,,,,480,quarter,False,True,False,False
P1,64,Bb,B,-1,3,480,quarter,False,False,False,False
P1,64,F,F,,4,480,quarter,False,False,False,False
P1,64,Bb,B,-1,4,480,quarter,False,False,False,False
P1,64,,,,,480,quarter,False,True,False,False
P1,65,Bb,B,-1,3,480,quarter,False,False,False,False
P1,65,,,,,480,quarter,False,True,False,False
P1,65,,,,,960,half,False,True,False,False
P1,66,,,,,1920,whole,False,True,False,False
P1,67,Gb,G,-1,3,1920,whole,False,False,False,False
P1,68,Ab,A,-1,3,1920,whole,False,False,False,False
P1,69,F,F,,3,1920,whole,False,False,False,False
P1,70,Gb,G,-1,3,1920,whole,False,False,False,False
P1,71,Eb,E,-1,3,1920,whole,False,False,False,False
P1,72,F,F,,3,1920,whole,False,False,False,False
P1,73,D,D,,3,1920,whole,False,False,False,False
P1,74,Eb,E,-1,3,1440,half,True,False,False,False
P1,74,Eb,E,-1,3,480,quarter,False,False,False,False
P1,75,Cb,C,-1,4,1440,half,True,False,False,False
P1,75,Bb,B,-1,3,240,eighth,False,False,False,False
P1,75,Ab,A,-1,3,240,eighth,False,False,False,False
P1,76,Ab,A,-1,3,480,quarter,False,False,False,False
P1,76,G,G,,3,960,half,False,False,False,False
P1,76,G,G,,3,240,eighth,False,False,False,False
P1,76,Ab,A,-1,3,240,eighth,False,False,False,False
P1,77,Bb,B,-1,3,480,quarter,False,False,False,False
P1,77,Bb,B,-1,3,480,quarter,False,False,False,False
P1,77,Bb,B,-1,3,480,quarter,False,False,False,False
P1,77,Bb,B,-1,3,480,quarter,False,False,False,False
P1,78,Cb,C,-1,4,1920,whole,False,False,False,False
P1,79,C,C,,4,1920,whole,False,False,False,False
P1,80,Bb,B,-1,3,480,quarter,False,False,False,False
P1,80,,,,,480,quarter,False,True,False,False
P1,80,,,,,960,half,False,True,False,False
P1,81,,,,,480,quarter,False,True,False,False
P1,81,Bb,B,-1,3,480,quarter,False,False,False,False
P1,81,Bb,B,-1,3,480,quarter,False,False,False,False
P1,81,Bb,B,-1,3,480,quarter,False,False,False,False
P1,82,,,,,480,quarter,False,True,False,False
P1,82,Bb,B,-1,3,480,quarter,False,False,False,False
P1,82,Bb,B,-1,3,480,quarter,False,False,False,False
