part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,,,,,960,whole,False,True,False,False
P1,1,,,,,960,whole,False,True,False,False
P1,2,,,,,960,whole,False,True,False,False
P1,2,,,,,960,whole,False,True,False,False
P1,3,,,,,960,whole,False,True,False,False
P1,3,,,,,960,whole,False,True,False,False
P1,4,,,,,960,whole,False,True,False,False
P1,4,,,,,960,whole,False,True,False,False
P1,5,,,,,960,whole,False,True,False,False
P1,5,,,,,960,whole,False,True,False,False
P1,6,,,,,960,whole,False,True,False,False
P1,6,,,,,960,whole,False,True,False,False
P1,7,,,,,960,whole,False,True,False,False
P1,7,,,,,960,whole,False,True,False,False
P1,8,,,,,960,whole,False,True,False,False
P1,8,,,,,960,whole,False,True,False,False
P1,9,,,,,960,whole,False,True,False,False
P1,9,,,,,960,whole,False,True,False,False
P1,10,,,,,960,whole,False,True,False,False
P1,10,,,,,960,whole,False,True,False,False
P1,11,,,,,960,whole,False,True,False,False
P1,11,,,,,960,whole,False,True,False,False
P1,12,,,,,960,whole,False,True,False,False
P1,12,,,,,960,whole,False,True,False,False
P1,13,,,,,960,whole,False,True,False,False
P1,13,,,,,960,whole,False,True,False,False
P1,14,,,,,960,whole,False,True,False,False
P1,14,,,,,960,whole,False,True,False,False
P1,15,,,,,960,whole,False,True,False,False
P1,15,,,,,960,whole,False,True,False,False
P1,16,,,,,960,whole,False,True,False,False
P1,16,,,,,960,whole,False,True,False,False
P1,17,,,,,960,whole,False,True,False,False
P1,17,,,,,960,whole,False,True,False,False
P1,18,,,,,960,whole,False,True,False,False
P1,18,,,,,240,eighth,False,True,False,False
P1,18,D,D,,6,240,eighth,False,False,False,False
P1,18,G,G,,6,240,eighth,False,False,False,False
P1,18,D,D,,6,240,eighth,False,False,False,False
P1,18,G,G,,6,240,eighth,False,False,False,False
P1,18,D,D,,6,240,eighth,False,False,False,False
P1,18,F,F,,6,240,eighth,False,False,False,False
P1,19,,,,,960,whole,False,True,False,False
P1,19,Ab,A,-1,5,480,quarter,False,False,False,False
P1,19,C,C,,6,480,quarter,False,False,False,False
P1,19,,,,,480,quarter,False,True,False,False
P1,20,,,,,960,whole,False,True,False,False
P1,20,C,C,,6,480,quarter,False,False,False,False
P1,20,,,,,480,quarter,False,True,False,False
P1,21,,,,,960,whole,False,True,False,False
P1,21,B,B,,5,480,quarter,False,False,False,False
P1,21,G,G,,6,480,quarter,False,False,False,False
P1,21,,,,,480,quarter,False,True,False,False
P1,22,,,,,240,eighth,False,True,False,False
P1,22,Ab,A,-1,5,240,eighth,False,False,False,False
P1,22,Ab,A,-1,5,240,eighth,False,False,False,False
P1,22,Ab,A,-1,5,240,eighth,False,False,False,False
P1,23,F,F,,5,960,half,False,False,False,False
P1,24,F,F,,5,960,half,False,False,False,False
P1,25,,,,,960,whole,False,True,False,False
P1,26,,,,,960,whole,False,True,False,False
P1,27,,,,,960,whole,False,True,False,False
P1,28,,,,,960,whole,False,True,False,False
P1,29,,,,,960,whole,False,True,False,False
P1,30,,,,,960,whole,False,True,False,False
P1,31,,,,,960,whole,False,True,False,False
P1,32,,,,,960,whole,False,True,False,False
P1,33,,,,,960,whole,False,True,False,False
P1,34,,,,,960,whole,False,True,False,False
P1,35,,,,,960,whole,False,True,False,False
P1,36,,,,,960,whole,False,True,False,False
P1,37,,,,,960,whole,False,True,False,False
P1,38,,,,,960,whole,False,True,False,False
P1,39,C,C,,6,480,quarter,False,False,False,False
P1,39,,,,,480,quarter,False,True,False,False
P1,40,C,C,,6,480,quarter,False,False,False,False
P1,40,,,,,480,quarter,False,True,False,False
P1,41,C,C,,6,480,quarter,False,False,False,False
P1,41,,,,,480,quarter,False,True,False,False
P1,42,C,C,,6,480,quarter,False,False,False,False
P1,42,,,,,480,quarter,False,True,False,False
P1,43,B,B,,5,480,quarter,False,False,False,False
P1,43,D,D,,6,480,quarter,False,False,False,False
P1,43,,,,,480,quarter,False,True,False,False
P1,44,C,C,,6,960,half,False,False,False,False
P1,44,Eb,E,-1,6,960,half,False,False,False,False
P1,45,C,C,,6,960,half,False,False,False,False
P1,45,Eb,E,-1,6,960,half,False,False,False,False
P1,46,C,C,,6,960,half,False,False,False,False
P1,46,Eb,E,-1,6,960,half,False,False,False,False
P1,47,C,C,,6,960,half,False,False,False,False
P1,47,Eb,E,-1,6,960,half,False,False,False,False
P1,48,D,D,,6,960,half,False,False,False,False
P1,48,F,F,,6,960,half,False,False,False,False
P1,49,D,D,,6,960,half,False,False,False,False
P1,49,F,F,,6,960,half,False,False,False,False
P1,50,D,D,,6,960,half,False,False,False,False
