part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,0,,,,,240,eighth,False,True,False,False
P1,0,,,,,240,eighth,False,True,False,False
P1,1,,,,,720,whole,False,True,False,False
P1,1,,,,,720,whole,False,True,False,False
P1,2,,,,,720,whole,False,True,False,False
P1,2,,,,,720,whole,False,True,False,False
P1,3,,,,,720,whole,False,True,False,False
P1,3,,,,,720,whole,False,True,False,False
P1,4,,,,,720,whole,False,True,False,False
P1,4,,,,,720,whole,False,True,False,False
P1,5,,,,,720,whole,False,True,False,False
P1,5,,,,,720,whole,False,True,False,False
P1,6,,,,,720,whole,False,True,False,False
P1,6,,,,,720,whole,False,True,False,False
P1,7,,,,,720,whole,False,True,False,False
P1,7,,,,,720,whole,False,True,False,False
P1,8,,,,,720,whole,False,True,False,False
P1,8,,,,,720,whole,False,True,False,False
P1,9,,,,,720,whole,False,True,False,False
P1,9,,,,,720,whole,False,True,False,False
P1,10,,,,,240,eighth,False,True,False,False
P1,10,,,,,240,eighth,False,True,False,False
P1,10,Ab,A,-1,5,180,16th,True,False,False,False
P1,10,C,C,,6,60,32nd,False,False,False,False
P1,10,,,,,720,whole,False,True,False,False
P1,11,Eb,E,-1,6,720,quarter,True,False,False,False
P1,11,,,,,720,whole,False,True,False,False
P1,12,Db,D,-1,6,240,eighth,False,False,False,False
P1,12,C,C,,6,480,quarter,False,False,False,False
P1,12,,,,,720,whole,False,True,False,False
P1,13,Bb,B,-1,5,240,eighth,False,False,False,False
P1,13,Ab,A,-1,5,480,quarter,False,False,False,False
P1,13,,,,,720,whole,False,True,False,False
P1,14,G,G,,5,480,quarter,False,False,False,False
P1,14,G,G,,5,80,16th,False,False,False,False
P1,14,Ab,A,-1,5,80,16th,False,False,False,False
P1,14,Bb,B,-1,5,80,16th,False,False,False,False
P1,14,,,,,720,whole,False,True,False,False
P1,15,Ab,A,-1,5,240,eighth,False,False,False,False
P1,15,,,,,240,eighth,False,True,False,False
P1,15,,,,,240,eighth,False,True,False,False
P1,15,,,,,720,whole,False,True,False,False
P1,16,,,,,720,whole,False,True,False,False
P1,16,,,,,720,whole,False,True,False,False
P1,17,,,,,720,whole,False,True,False,False
P1,17,,,,,720,whole,False,True,False,False
P1,18,,,,,720,whole,False,True,False,False
P1,18,,,,,720,whole,False,True,False,False
P1,19,,,,,240,eighth,False,True,False,False
P1,19,,,,,240,eighth,False,True,False,False
P1,19,G,G,,5,80,16th,False,False,False,False
P1,19,Ab,A,-1,5,80,16th,False,False,False,False
P1,19,Bb,B,-1,5,80,16th,False,False,False,False
P1,19,,,,,720,whole,False,True,False,False
P1,20,Ab,A,-1,5,240,eighth,False,False,False,False
P1,20,,,,,240,eighth,False,True,False,False
P1,20,Bb,B,-1,5,240,eighth,False,False,False,False
P1,20,,,,,240,eighth,False,True,False,False
P1,20,,,,,240,eighth,False,True,False,False
P1,20,G,G,,5,240,eighth,False,False,False,False
P1,21,Ab,A,-1,5,120,16th,False,False,False,False
P1,21,,,,,120,16th,False,True,False,False
P1,21,Ab,A,-1,5,120,16th,False,False,False,False
P1,21,,,,,120,16th,False,True,False,False
P1,21,Ab,A,-1,5,120,16th,False,False,False,False
P1,21,,,,,120,16th,False,True,False,False
P1,21,Ab,A,-1,5,120,16th,False,False,False,False
P1,21,,,,,120,16th,False,True,False,False
P1,21,Ab,A,-1,5,120,16th,False,False,False,False
P1,21,,,,,120,16th,False,True,False,False
P1,21,Ab,A,-1,5,120,16th,False,False,False,False
P1,21,,,,,120,16th,False,True,False,False
P1,22,Ab,A,-1,5,240,eighth,False,False,False,False
P1,22,,,,,240,eighth,False,True,False,False
P1,22,,,,,240,eighth,False,True,False,False
P1,22,Ab,A,-1,4,240,eighth,False,False,False,False
P1,23,,,,,720,whole,False,True,False,False
P1,23,,,,,720,whole,False,True,False,False
P1,24,,,,,720,whole,False,True,False,False
P1,24,,,,,720,whole,False,True,False,False
P1,25,,,,,720,whole,False,True,False,False
P1,25,,,,,720,whole,False,True,False,False
P1,26,,,,,720,whole,False,True,False,False
P1,26,,,,,720,whole,False,True,False,False
P1,27,,,,,720,whole,False,True,False,False
P1,27,,,,,720,whole,False,True,False,False
P1,28,,,,,240,eighth,False,True,False,False
P1,28,,,,,240,eighth,False,True,False,False
P1,28,Eb,E,-1,6,180,16th,True,False,False,False
P1,28,F,F,,6,60,32nd,False,False,False,False
P1,28,,,,,720,whole,False,True,False,False
P1,29,F#,F,1,6,720,quarter,True,False,False,False
P1,29,Eb,E,-1,6,720,quarter,True,False,False,False
P1,30,,,,,720,whole,False,True,False,False
P1,30,E,E,,6,180,16th,True,False,False,False
P1,30,G,G,,6,180,16th,True,False,False,False
P1,30,C,C,,6,60,32nd,False,False,False,False
P1,30,E,E,,6,60,32nd,False,False,False,False
P1,30,G,G,,5,240,eighth,False,False,False,False
P1,30,C,C,,6,240,eighth,False,False,False,False
P1,30,B,B,,5,240,eighth,False,False,False,False
P1,30,D,D,,6,240,eighth,False,False,False,False
P1,31,,,,,720,whole,False,True,False,False
P1,31,E,E,,5,240,eighth,False,False,False,False
P1,31,C,C,,6,240,eighth,False,False,False,False
P1,31,,,,,240,eighth,False,True,False,False
P1,31,,,,,240,eighth,False,True,False,False
P1,32,,,,,720,whole,False,True,False,False
P1,32,,,,,720,whole,False,True,False,False
P1,33,,,,,720,whole,False,True,False,False
P1,33,,,,,720,whole,False,True,False,False
