part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,0,,,,,480,quarter,False,True,False,False
P1,0,,,,,480,quarter,False,True,False,False
P1,1,,,,,1440,whole,False,True,False,False
P1,1,,,,,1440,whole,False,True,False,False
P1,2,,,,,1440,whole,False,True,False,False
P1,2,,,,,1440,whole,False,True,False,False
P1,3,,,,,1440,whole,False,True,False,False
P1,3,,,,,1440,whole,False,True,False,False
P1,4,,,,,1440,whole,False,True,False,False
P1,4,,,,,1440,whole,False,True,False,False
P1,5,,,,,1440,whole,False,True,False,False
P1,5,,,,,1440,whole,False,True,False,False
P1,6,,,,,1440,whole,False,True,False,False
P1,6,,,,,1440,whole,False,True,False,False
P1,7,,,,,1440,whole,False,True,False,False
P1,7,,,,,1440,whole,False,True,False,False
P1,8,,,,,1440,whole,False,True,False,False
P1,8,,,,,1440,whole,False,True,False,False
P1,9,,,,,1440,whole,False,True,False,False
P1,9,,,,,1440,whole,False,True,False,False
P1,10,,,,,1440,whole,False,True,False,False
P1,10,,,,,1440,whole,False,True,False,False
P1,11,,,,,1440,whole,False,True,False,False
P1,11,,,,,1440,whole,False,True,False,False
P1,12,,,,,1440,whole,False,True,False,False
P1,12,,,,,1440,whole,False,True,False,False
P1,13,,,,,1440,whole,False,True,False,False
P1,13,,,,,1440,whole,False,True,False,False
P1,14,,,,,1440,whole,False,True,False,False
P1,14,,,,,1440,whole,False,True,False,False
P1,15,,,,,1440,whole,False,True,False,False
P1,15,G,G,,5,960,half,False,False,False,False
P1,15,B,B,,5,480,quarter,False,False,False,False
P1,16,,,,,1440,whole,False,True,False,False
P1,16,C,C,,6,960,half,False,False,False,False
P1,16,D,D,,6,480,quarter,False,False,False,False
P1,17,,,,,1440,whole,False,True,False,False
P1,17,F,F,,6,960,half,False,False,False,False
P1,17,Eb,E,-1,6,480,quarter,False,False,False,False
P1,18,,,,,1440,whole,False,True,False,False
P1,18,D,D,,6,1440,half,True,False,False,False
P1,19,,,,,1440,whole,False,True,False,False
P1,19,,,,,1440,whole,False,True,False,False
P1,20,,,,,1440,whole,False,True,False,False
P1,20,,,,,1440,whole,False,True,False,False
P1,21,,,,,1440,whole,False,True,False,False
P1,21,,,,,1440,whole,False,True,False,False
P1,22,,,,,1440,whole,False,True,False,False
P1,22,,,,,1440,whole,False,True,False,False
P1,23,,,,,1440,whole,False,True,False,False
P1,23,,,,,1440,whole,False,True,False,False
P1,24,,,,,1440,whole,False,True,False,False
P1,24,,,,,1440,whole,False,True,False,False
P1,25,,,,,1440,whole,False,True,False,False
P1,25,,,,,1440,whole,False,True,False,False
P1,26,,,,,1440,whole,False,True,False,False
P1,26,,,,,1440,whole,False,True,False,False
P1,27,,,,,1440,whole,False,True,False,False
P1,27,Bb,B,-1,5,480,quarter,False,False,False,False
P1,27,Bb,B,-1,5,480,quarter,False,False,False,False
P1,27,Bb,B,-1,5,480,quarter,False,False,False,False
P1,28,,,,,1440,whole,False,True,False,False
P1,28,Bb,B,-1,5,1440,half,True,False,False,False
P1,29,,,,,1440,whole,False,True,False,False
P1,29,Bb,B,-1,5,480,quarter,False,False,False,False
P1,29,Bb,B,-1,5,480,quarter,False,False,False,False
P1,29,Bb,B,-1,5,480,quarter,False,False,False,False
P1,30,,,,,1440,whole,False,True,False,False
P1,30,Bb,B,-1,5,1440,half,True,False,False,False
P1,31,,,,,1440,whole,False,True,False,False
P1,31,Bb,B,-1,5,480,quarter,False,False,False,False
P1,31,Bb,B,-1,5,480,quarter,False,False,False,False
P1,31,Bb,B,-1,5,480,quarter,False,False,False,False
P1,32,,,,,1440,whole,False,True,False,False
P1,32,Gb,G,-1,5,1440,half,True,False,False,False
P1,32,Bb,B,-1,5,1440,half,True,False,False,False
P1,33,,,,,1440,whole,False,True,False,False
