part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,393,C,C,,5,480,quarter,False,False,False,False
P1,393,,,,,480,quarter,False,True,False,False
P1,393,E,E,,5,480,quarter,False,False,False,False
P1,393,,,,,480,quarter,False,True,False,False
P1,394,G,G,,5,480,quarter,False,False,False,False
P1,394,,,,,480,quarter,False,True,False,False
P1,394,,,,,480,quarter,False,True,False,False
P1,394,F,F,,5,240,eighth,False,False,False,False
P1,394,,,,,240,eighth,False,True,False,False
P1,395,E,E,,5,240,eighth,False,False,False,False
P1,395,,,,,240,eighth,False,True,False,False
P1,395,D,D,,5,240,eighth,False,False,False,False
P1,395,,,,,240,eighth,False,True,False,False
P1,395,C,C,,5,240,eighth,False,False,False,False
P1,395,,,,,240,eighth,False,True,False,False
P1,395,D,D,,5,240,eighth,False,False,False,False
P1,395,,,,,240,eighth,False,True,False,False
P1,396,C,C,,5,1440,half,True,False,False,False
P1,396,C,C,,5,360,eighth,True,False,False,False
P1,396,C,C,,5,120,16th,False,False,False,False
P1,397,D,D,,5,1440,half,True,False,False,False
P1,397,D,D,,5,360,eighth,True,False,False,False
P1,397,D,D,,5,120,16th,False,False,False,False
P1,398,E,E,,5,960,half,False,False,False,False
P1,398,E,E,,5,240,eighth,False,False,False,False
P1,398,C,C,,5,240,eighth,False,False,False,False
P1,398,D,D,,5,240,eighth,False,False,False,False
P1,398,E,E,,5,240,eighth,False,False,False,False
P1,399,F,F,,5,240,eighth,False,False,False,False
P1,399,E,E,,5,240,eighth,False,False,False,False
P1,399,F,F,,5,240,eighth,False,False,False,False
P1,399,G,G,,5,240,eighth,False,False,False,False
P1,399,A,A,,5,240,eighth,False,False,False,False
P1,399,G,G,,5,240,eighth,False,False,False,False
P1,399,A,A,,5,240,eighth,False,False,False,False
P1,399,B,B,,5,240,eighth,False,False,False,False
P1,400,C,C,,6,960,half,False,False,False,False
P1,400,C,C,,6,240,eighth,False,False,False,False
P1,400,C,C,,5,240,eighth,False,False,False,False
P1,400,D,D,,5,240,eighth,False,False,False,False
P1,400,E,E,,5,240,eighth,False,False,False,False
P1,401,F,F,,5,240,eighth,False,False,False,False
P1,401,E,E,,5,240,eighth,False,False,False,False
P1,401,F,F,,5,240,eighth,False,False,False,False
P1,401,G,G,,5,240,eighth,False,False,False,False
P1,401,A,A,,5,240,eighth,False,False,False,False
P1,401,G,G,,5,240,eighth,False,False,False,False
P1,401,A,A,,5,240,eighth,False,False,False,False
P1,401,B,B,,5,240,eighth,False,False,False,False
P1,402,C,C,,6,960,half,False,False,False,False
P1,402,C,C,,6,240,eighth,False,False,False,False
P1,402,C,C,,5,240,eighth,False,False,False,False
P1,402,D,D,,5,240,eighth,False,False,False,False
P1,402,E,E,,5,240,eighth,False,False,False,False
P1,403,G,G,,5,,eighth,False,False,True,False
P1,403,F,F,,5,240,eighth,False,False,False,False
P1,403,E,E,,5,240,eighth,False,False,False,False
P1,403,F,F,,5,240,eighth,False,False,False,False
P1,403,G,G,,5,240,eighth,False,False,False,False
P1,403,B,B,,5,,eighth,False,False,True,False
P1,403,A,A,,5,240,eighth,False,False,False,False
P1,403,G,G,,5,240,eighth,False,False,False,False
P1,403,A,A,,5,240,eighth,False,False,False,False
P1,403,B,B,,5,240,eighth,False,False,False,False
P1,404,D,D,,6,,eighth,False,False,True,False
P1,404,C,C,,6,240,eighth,False,False,False,False
P1,404,B,B,,5,240,eighth,False,False,False,False
P1,404,C,C,,6,240,eighth,False,False,False,False
P1,404,D,D,,6,240,eighth,False,False,False,False
P1,404,E,E,,6,480,quarter,False,False,False,False
P1,404,G,G,,5,360,eighth,True,False,False,False
P1,404,E,E,,6,120,16th,False,False,False,False
P1,405,E,E,,6,240,eighth,False,False,False,False
P1,405,D,D,,6,240,eighth,False,False,False,False
P1,405,F,F,,5,360,eighth,True,False,False,False
P1,405,D,D,,6,120,16th,False,False,False,False
P1,405,D,D,,6,240,eighth,False,False,False,False
P1,405,C,C,,6,240,eighth,False,False,False,False
