part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,0,C,C,,5,180,16th,True,False,False,False
P1,0,D,D,,5,60,32nd,False,False,False,False
P1,0,F,F,,4,240,eighth,False,False,False,False
P1,0,A,A,,3,240,eighth,False,False,False,False
P1,0,C,C,,4,240,eighth,False,False,False,False
P1,1,C,C,,5,240,eighth,False,False,False,False
P1,1,Bb,B,-1,4,240,eighth,False,False,False,False
P1,1,A,A,,4,180,16th,True,False,False,False
P1,1,Bb,B,-1,4,60,32nd,False,False,False,False
P1,1,G,G,,4,480,quarter,False,False,False,False
P1,1,C,C,,4,240,eighth,False,False,False,False
P1,1,E,E,,3,480,quarter,False,False,False,False
P1,1,C,C,,4,480,quarter,False,False,False,False
P1,1,F,F,,3,240,eighth,False,False,False,False
P1,1,A,A,,3,240,eighth,False,False,False,False
P1,2,A,A,,4,240,eighth,False,False,False,False
P1,2,G,G,,4,240,eighth,False,False,False,False
P1,2,F,F,,4,180,16th,True,False,False,False
P1,2,F#,F,1,4,60,32nd,False,False,False,False
P1,2,E,E,,4,240,eighth,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,D,D,,4,180,16th,True,False,False,False
P1,2,D,D,,4,60,32nd,False,False,False,False
P1,2,C#,C,1,3,480,quarter,False,False,False,False
P1,2,A,A,,3,480,quarter,False,False,False,False
P1,2,D,D,,3,180,16th,True,False,False,False
P1,2,Bb,B,-1,3,180,16th,True,False,False,False
P1,2,C,C,,3,60,32nd,False,False,False,False
P1,2,Bb,B,-1,3,60,32nd,False,False,False,False
P1,3,G,G,,4,240,eighth,False,False,False,False
P1,3,G,G,,4,180,16th,True,False,False,False
P1,3,C,C,,4,60,32nd,False,False,False,False
P1,3,F#,F,1,4,60,32nd,False,False,False,False
P1,3,A,A,,4,60,32nd,False,False,False,False
P1,3,C,C,,5,,eighth,False,False,True,False
P1,3,D,D,,4,180,16th,True,False,False,False
P1,3,G,G,,4,180,16th,True,False,False,False
P1,3,Bb,B,-1,4,180,16th,True,False,False,False
P1,3,D,D,,4,60,32nd,False,False,False,False
P1,3,G,G,,4,60,32nd,False,False,False,False
P1,3,D,D,,4,240,eighth,False,False,False,False
P1,3,D,D,,4,180,16th,True,False,False,False
P1,3,C,C,,4,60,32nd,False,False,False,False
P1,3,,,,,120,16th,False,True,False,False
P1,3,,,,,120,16th,False,True,False,False
P1,3,Bb,B,-1,2,240,eighth,False,False,False,False
P1,3,Bb,B,-1,3,240,eighth,False,False,False,False
P1,3,Bb,B,-1,2,180,16th,True,False,False,False
P1,3,Bb,B,-1,3,180,16th,True,False,False,False
P1,3,A,A,,2,60,32nd,False,False,False,False
P1,3,A,A,,3,60,32nd,False,False,False,False
P1,3,G,G,,2,180,16th,True,False,False,False
P1,3,G,G,,3,180,16th,True,False,False,False
P1,3,Bb,B,-1,2,60,32nd,False,False,False,False
P1,3,Bb,B,-1,3,60,32nd,False,False,False,False
P1,4,A,A,,3,240,eighth,False,False,False,False
P1,4,C,C,,4,240,eighth,False,False,False,False
P1,4,F,F,,4,240,eighth,False,False,False,False
P1,4,G,G,,3,120,16th,False,False,False,False
P1,4,C,C,,4,120,16th,False,False,False,False
P1,4,E,E,,4,120,16th,False,False,False,False
P1,4,,,,,120,16th,False,True,False,False
P1,4,C,C,,5,180,16th,True,False,False,False
P1,4,D,D,,5,60,32nd,False,False,False,False
P1,4,,,,,120,16th,False,True,False,False
P1,4,,,,,120,16th,False,True,False,False
P1,4,,,,,120,16th,False,True,False,False
P1,4,,,,,120,16th,False,True,False,False
P1,4,F,F,,4,240,eighth,False,False,False,False
P1,4,C,C,,3,240,eighth,False,False,False,False
P1,4,C,C,,2,120,16th,False,False,False,False
P1,4,,,,,120,16th,False,True,False,False
P1,4,A,A,,3,240,eighth,False,False,False,False
P1,4,C,C,,4,240,eighth,False,False,False,False
P1,5,C,C,,5,240,eighth,False,False,False,False
P1,5,Bb,B,-1,4,240,eighth,False,False,False,False
P1,5,A,A,,4,180,16th,True,False,False,False
P1,5,Bb,B,-1,4,60,32nd,False,False,False,False
