part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,,,,,960,half,False,True,False,False
P1,1,Db,D,-1,3,480,quarter,False,False,False,False
P1,1,F,F,,3,480,quarter,False,False,False,False
P1,1,Ab,A,-1,3,480,quarter,False,False,False,False
P1,1,Db,D,-1,3,480,quarter,False,False,False,False
P1,1,Gb,G,-1,3,480,quarter,False,False,False,False
P1,1,Bb,B,-1,3,480,quarter,False,False,False,False
P1,1,Db,D,-1,2,480,quarter,False,False,False,False
P1,1,Gb,G,-1,1,480,quarter,False,False,False,False
P1,2,,,,,960,half,False,True,False,False
P1,2,Db,D,-1,3,720,quarter,True,False,False,False
P1,2,F,F,,3,720,quarter,True,False,False,False
P1,2,Ab,A,-1,3,720,quarter,True,False,False,False
P1,2,Db,D,-1,3,240,eighth,False,False,False,False
P1,2,Eb,E,-1,3,240,eighth,False,False,False,False
P1,2,Bb,B,-1,3,240,eighth,False,False,False,False
P1,2,Db,D,-1,2,720,quarter,True,False,False,False
P1,2,Gb,G,-1,1,240,eighth,False,False,False,False
P1,3,,,,,960,half,False,True,False,False
P1,3,Db,D,-1,3,480,quarter,False,False,False,False
P1,3,Eb,E,-1,3,480,quarter,False,False,False,False
P1,3,Ab,A,-1,3,480,quarter,False,False,False,False
P1,3,C,C,,3,480,quarter,False,False,False,False
P1,3,Eb,E,-1,3,480,quarter,False,False,False,False
P1,3,Ab,A,-1,3,480,quarter,False,False,False,False
P1,3,Ab,A,-1,1,480,quarter,False,False,False,False
P1,3,Ab,A,-1,2,420,eighth,True,False,False,False
P1,3,Gb,G,-1,2,60,32nd,False,False,False,False
P1,4,,,,,960,half,False,True,False,False
P1,4,Db,D,-1,3,960,half,False,False,False,False
P1,4,F,F,,3,960,half,False,False,False,False
P1,4,Ab,A,-1,3,960,half,False,False,False,False
P1,4,F,F,,2,360,eighth,True,False,False,False
P1,4,Gb,G,-1,2,120,16th,False,False,False,False
P1,4,Ab,A,-1,2,180,16th,True,False,False,False
P1,4,Gb,G,-1,2,60,32nd,False,False,False,False
P1,4,F,F,,2,180,16th,True,False,False,False
P1,4,Eb,E,-1,2,60,32nd,False,False,False,False
P1,5,,,,,960,half,False,True,False,False
P1,5,Ab,A,-1,3,480,quarter,False,False,False,False
P1,5,Db,D,-1,4,480,quarter,False,False,False,False
P1,5,Gb,G,-1,3,480,quarter,False,False,False,False
P1,5,Bb,B,-1,3,480,quarter,False,False,False,False
P1,5,Db,D,-1,4,480,quarter,False,False,False,False
P1,5,Db,D,-1,2,480,quarter,False,False,False,False
P1,5,Db,D,-1,3,480,quarter,False,False,False,False
P1,5,F,F,,3,480,quarter,False,False,False,False
P1,5,Gb,G,-1,1,480,quarter,False,False,False,False
P1,5,Gb,G,-1,2,480,quarter,False,False,False,False
P1,6,,,,,960,half,False,True,False,False
P1,6,F,F,,3,720,quarter,True,False,False,False
P1,6,Ab,A,-1,3,720,quarter,True,False,False,False
P1,6,Db,D,-1,4,720,quarter,True,False,False,False
P1,6,E,E,,3,240,eighth,False,False,False,False
P1,6,G,G,,3,240,eighth,False,False,False,False
P1,6,Db,D,-1,4,240,eighth,False,False,False,False
P1,6,Db,D,-1,2,720,quarter,True,False,False,False
P1,6,Db,D,-1,3,720,quarter,True,False,False,False
P1,6,Bbb,B,-2,1,240,eighth,False,False,False,False
P1,6,Bbb,B,-2,2,240,eighth,False,False,False,False
P1,7,,,,,960,half,False,True,False,False
P1,7,Eb,E,-1,3,480,quarter,False,False,False,False
P1,7,Gb,G,-1,3,480,quarter,False,False,False,False
P1,7,Db,D,-1,4,480,quarter,False,False,False,False
P1,7,Eb,E,-1,3,480,quarter,False,False,False,False
P1,7,Gb,G,-1,3,480,quarter,False,False,False,False
P1,7,C,C,,4,480,quarter,False,False,False,False
P1,7,Ab,A,-1,1,240,eighth,False,False,False,False
P1,7,Ab,A,-1,2,240,eighth,False,False,False,False
P1,7,,,,,240,eighth,False,True,False,False
P1,7,Ab,A,-1,2,480,quarter,False,False,False,False
P1,8,,,,,960,half,False,True,False,False
P1,8,Db,D,-1,3,720,quarter,True,False,False,False
