part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,0,D,D,,5,360,eighth,True,False,False,False
P1,0,Eb,E,-1,5,120,16th,False,False,False,False
P1,0,,,,,480,quarter,False,True,False,False
P1,1,D,D,,5,480,quarter,False,False,False,False
P1,1,C,C,,5,480,quarter,False,False,False,False
P1,1,Bb,B,-1,4,480,quarter,False,False,False,False
P1,1,Bb,B,-1,3,480,quarter,False,False,False,False
P1,1,D,D,,4,480,quarter,False,False,False,False
P1,1,A,A,,3,480,quarter,False,False,False,False
P1,1,D,D,,4,480,quarter,False,False,False,False
P1,1,G,G,,3,480,quarter,False,False,False,False
P1,1,D,D,,4,480,quarter,False,False,False,False
P1,2,A,A,,4,480,quarter,False,False,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,2,A,A,,4,360,eighth,True,False,False,False
P1,2,C,C,,5,120,16th,False,False,False,False
P1,2,F#,F,1,3,480,quarter,False,False,False,False
P1,2,D,D,,4,480,quarter,False,False,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,3,Bb,B,-1,4,480,quarter,False,False,False,False
P1,3,A,A,,4,480,quarter,False,False,False,False
P1,3,G,G,,4,480,quarter,False,False,False,False
P1,3,G,G,,3,480,quarter,False,False,False,False
P1,3,D,D,,4,480,quarter,False,False,False,False
P1,3,F,F,,3,480,quarter,False,False,False,False
P1,3,D,D,,4,480,quarter,False,False,False,False
P1,3,Eb,E,-1,3,480,quarter,False,False,False,False
P1,3,C#,C,1,4,480,quarter,False,False,False,False
P1,4,F#,F,1,4,480,quarter,False,False,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,4,D,D,,4,240,eighth,False,False,False,False
P1,4,F#,F,1,4,240,eighth,False,False,False,False
P1,4,D,D,,3,480,quarter,False,False,False,False
P1,4,D,D,,4,480,quarter,False,False,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,5,A,A,,4,240,eighth,False,False,False,False
P1,5,D,D,,5,240,eighth,False,False,False,False
P1,5,F#,F,1,5,240,eighth,False,False,False,False
P1,5,D,D,,5,240,eighth,False,False,False,False
P1,5,G,G,,5,240,eighth,False,False,False,False
P1,5,D,D,,5,240,eighth,False,False,False,False
P1,5,D,D,,3,480,quarter,False,False,False,False
P1,5,C,C,,3,480,quarter,False,False,False,False
P1,5,Bb,B,-1,2,480,quarter,False,False,False,False
P1,6,D,D,,5,240,eighth,False,False,False,False
P1,6,C,C,,5,240,eighth,False,False,False,False
P1,6,C,C,,5,240,eighth,False,False,False,False
P1,6,A,A,,4,240,eighth,False,False,False,False
P1,6,C,C,,5,240,eighth,False,False,False,False
P1,6,Bb,B,-1,4,240,eighth,False,False,False,False
P1,6,A,A,,2,480,quarter,False,False,False,False
P1,6,F#,F,1,2,480,quarter,False,False,False,False
P1,6,G,G,,2,480,quarter,False,False,False,False
P1,7,Bb,B,-1,4,240,eighth,False,False,False,False
P1,7,A,A,,4,240,eighth,False,False,False,False
P1,7,C,C,,5,240,eighth,False,False,False,False
P1,7,Bb,B,-1,4,240,eighth,False,False,False,False
P1,7,A,A,,4,240,eighth,False,False,False,False
P1,7,G,G,,4,240,eighth,False,False,False,False
P1,7,C,C,,3,480,quarter,False,False,False,False
P1,7,Eb,E,-1,3,480,quarter,False,False,False,False
P1,7,C#,C,1,3,480,quarter,False,False,False,False
P1,8,F#,F,1,4,480,quarter,False,False,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,8,D,D,,5,360,eighth,True,False,False,False
P1,8,Eb,E,-1,5,120,16th,False,False,False,False
P1,8,D,D,,3,480,quarter,False,False,False,False
P1,8,D,D,,2,480,quarter,False,False,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,9,D,D,,5,480,quarter,False,False,False,False
P1,9,C,C,,5,480,quarter,False,False,False,False
P1,9,Bb,B,-1,4,480,quarter,False,False,False,False
P1,9,Bb,B,-1,3,480,quarter,False,False,False,False
P1,9,D,D,,4,480,quarter,False,False,False,False
P1,9,A,A,,3,480,quarter,False,False,False,False
P1,9,D,D,,4,480,quarter,False,False,False,False
P1,9,G,G,,3,480,quarter,False,False,False,False
P1,9,D,D,,4,480,quarter,False,False,False,False
P1,10,A,A,,4,480,quarter,False,False,False,False
P1,10,,,,,480,quarter,False,True,False,False
P1,10,A,A,,4,360,eighth,True,False,False,False
P1,10,C,C,,5,120,16th,False,False,False,False
P1,10,F#,F,1,3,480,quarter,False,False,False,False
P1,10,D,D,,4,480,quarter,False,False,False,False
P1,10,,,,,480,quarter,False,True,False,False
P1,10,,,,,480,quarter,False,True,False,False
P1,11,Bb,B,-1,4,480,quarter,False,False,False,False
P1,11,A,A,,4,480,quarter,False,False,False,False
P1,11,G,G,,4,480,quarter,False,False,False,False
P1,11,G,G,,3,480,quarter,False,False,False,False
P1,11,D,D,,4,480,quarter,False,False,False,False
P1,11,F,F,,3,480,quarter,False,False,False,False
P1,11,D,D,,4,480,quarter,False,False,False,False
P1,11,Eb,E,-1,3,480,quarter,False,False,False,False
P1,11,C#,C,1,4,480,quarter,False,False,False,False
P1,12,F#,F,1,4,480,quarter,False,False,False,False
P1,12,,,,,480,quarter,False,True,False,False
P1,12,D,D,,4,240,eighth,False,False,False,False
P1,12,F#,F,1,4,240,eighth,False,False,False,False
P1,12,D,D,,3,480,quarter,False,False,False,False
P1,12,D,D,,4,480,quarter,False,False,False,False
P1,12,,,,,480,quarter,False,True,False,False
