part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,0,D,D,,5,360,eighth,True,False,False,False
P1,0,F,F,,5,120,16th,False,False,False,False
P1,1,A,A,,5,960,half,False,False,False,False
P1,1,E,E,,5,480,quarter,False,False,False,False
P1,2,F,F,,5,480,quarter,False,False,False,False
P1,2,C#,C,1,5,480,quarter,False,False,False,False
P1,2,D,D,,5,480,quarter,False,False,False,False
P1,3,E,E,,5,240,eighth,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,F,F,,5,240,eighth,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,G,G,,5,240,eighth,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,4,F,F,,5,960,half,False,False,False,False
P1,4,E,E,,5,240,eighth,False,False,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,5,F,F,,5,480,quarter,False,False,False,False
P1,5,G,G,,5,240,eighth,False,False,False,False
P1,5,F,F,,5,240,eighth,False,False,False,False
P1,5,E,E,,5,240,eighth,False,False,False,False
P1,5,D,D,,5,240,eighth,False,False,False,False
P1,5,,,,,1440,whole,False,True,False,False
P1,6,C#,C,1,5,480,quarter,False,False,False,False
P1,6,,,,,960,half,False,True,False,False
P1,6,,,,,480,quarter,False,True,False,False
P1,6,E,E,,4,480,quarter,False,False,False,False
P1,6,C#,C,1,5,480,quarter,False,False,False,False
P1,6,E,E,,4,480,quarter,False,False,False,False
P1,6,C#,C,1,5,480,quarter,False,False,False,False
P1,7,F,F,,4,240,eighth,False,False,False,False
P1,7,C,C,,5,240,eighth,False,False,False,False
P1,7,A,A,,4,240,eighth,False,False,False,False
P1,7,C,C,,5,240,eighth,False,False,False,False
P1,7,Bb,B,-1,4,240,eighth,False,False,False,False
P1,7,A,A,,4,240,eighth,False,False,False,False
P1,7,G,G,,4,240,eighth,False,False,False,False
P1,7,,,,,480,quarter,False,True,False,False
P1,7,C,C,,4,720,quarter,True,False,False,False
P1,7,,,,,240,eighth,False,True,False,False
P1,8,,,,,960,half,False,True,False,False
P1,8,Bb,B,-1,3,480,quarter,False,False,False,False
P1,8,G,G,,4,480,quarter,False,False,False,False
P1,8,A,A,,3,480,quarter,False,False,False,False
P1,8,F,F,,4,480,quarter,False,False,False,False
P1,9,A,A,,4,360,eighth,True,False,False,False
P1,9,C,C,,5,120,16th,False,False,False,False
P1,10,F,F,,5,960,half,False,False,False,False
P1,10,Eb,E,-1,5,480,quarter,False,False,False,False
P1,11,C#,C,1,5,240,eighth,False,False,False,False
P1,11,D,D,,5,240,eighth,False,False,False,False
P1,11,E,E,,5,240,eighth,False,False,False,False
P1,11,F#,F,1,5,240,eighth,False,False,False,False
P1,11,G,G,,5,240,eighth,False,False,False,False
P1,11,A,A,,5,240,eighth,False,False,False,False
P1,12,Bb,B,-1,5,360,eighth,True,False,False,False
P1,12,A,A,,5,120,16th,False,False,False,False
P1,12,G,G,,5,240,eighth,False,False,False,False
P1,12,,,,,240,eighth,False,True,False,False
P1,12,D,D,,6,240,eighth,False,False,False,False
P1,12,,,,,240,eighth,False,True,False,False
P1,13,F,F,,5,960,half,False,False,False,False
P1,13,E,E,,5,240,eighth,False,False,False,False
P1,13,,,,,240,eighth,False,True,False,False
P1,14,Eb,E,-1,5,480,quarter,False,False,False,False
P1,14,Eb,E,-1,5,480,quarter,False,False,False,False
P1,14,Eb,E,-1,5,480,quarter,False,False,False,False
P1,14,,,,,1440,whole,False,True,False,False
P1,15,Eb,E,-1,5,240,eighth,False,False,False,False
P1,15,D,D,,5,240,eighth,False,False,False,False
P1,15,C#,C,1,5,240,eighth,False,False,False,False
P1,15,Bb,B,-1,5,240,eighth,False,False,False,False
P1,15,A,A,,5,240,eighth,False,False,False,False
P1,15,G,G,,5,240,eighth,False,False,False,False
P1,15,,,,,1440,whole,False,True,False,False
P1,16,F,F,,5,480,quarter,False,False,False,False
P1,16,G,G,,5,,16th,False,False,True,False
P1,16,F,F,,5,,16th,False,False,True,False
P1,16,E,E,,5,,16th,False,False,True,False
P1,16,F,F,,5,,16th,False,False,True,False
P1,16,A,A,,5,240,eighth,False,False,False,False
P1,16,G,G,,5,240,eighth,False,False,False,False
P1,16,F,F,,5,240,eighth,False,False,False,False
P1,16,E,E,,5,240,eighth,False,False,False,False
P1,16,,,,,480,quarter,False,True,False,False
P1,16,A,A,,4,960,half,False,False,False,False
P1,17,,,,,960,half,False,True,False,False
P1,17,G,G,,4,480,quarter,False,False,False,False
P1,17,E,E,,5,480,quarter,False,False,False,False
P1,17,F,F,,4,480,quarter,False,False,False,False
P1,17,D,D,,5,480,quarter,False,False,False,False
P1,18,D,D,,5,360,eighth,True,False,False,False
P1,18,F,F,,5,120,16th,False,False,False,False
P1,18,,,,,480,quarter,False,True,False,False
