part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,0,E,E,,5,120,16th,False,False,False,False
P1,0,D#,D,1,5,120,16th,False,False,False,False
P1,0,,,,,240,eighth,False,True,False,False
P1,1,E,E,,5,120,16th,False,False,False,False
P1,1,D#,D,1,5,120,16th,False,False,False,False
P1,1,E,E,,5,120,16th,False,False,False,False
P1,1,B,B,,4,120,16th,False,False,False,False
P1,1,D,D,,5,120,16th,False,False,False,False
P1,1,C,C,,5,120,16th,False,False,False,False
P1,1,,,,,720,whole,False,True,False,False
P1,2,A,A,,4,240,eighth,False,False,False,False
P1,2,,,,,120,16th,False,True,False,False
P1,2,C,C,,4,120,16th,False,False,False,False
P1,2,E,E,,4,120,16th,False,False,False,False
P1,2,A,A,,4,120,16th,False,False,False,False
P1,2,A,A,,2,120,16th,False,False,False,False
P1,2,E,E,,3,120,16th,False,False,False,False
P1,2,A,A,,3,120,16th,False,False,False,False
P1,2,,,,,120,16th,False,True,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,3,B,B,,4,240,eighth,False,False,False,False
P1,3,,,,,120,16th,False,True,False,False
P1,3,E,E,,4,120,16th,False,False,False,False
P1,3,G#,G,1,4,120,16th,False,False,False,False
P1,3,B,B,,4,120,16th,False,False,False,False
P1,3,E,E,,2,120,16th,False,False,False,False
P1,3,E,E,,3,120,16th,False,False,False,False
P1,3,G#,G,1,3,120,16th,False,False,False,False
P1,3,,,,,120,16th,False,True,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,4,C,C,,5,240,eighth,False,False,False,False
P1,4,,,,,120,16th,False,True,False,False
P1,4,E,E,,4,120,16th,False,False,False,False
P1,4,E,E,,5,120,16th,False,False,False,False
P1,4,D#,D,1,5,120,16th,False,False,False,False
P1,4,A,A,,2,120,16th,False,False,False,False
P1,4,E,E,,3,120,16th,False,False,False,False
P1,4,A,A,,3,120,16th,False,False,False,False
P1,4,,,,,120,16th,False,True,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,5,E,E,,5,120,16th,False,False,False,False
P1,5,D#,D,1,5,120,16th,False,False,False,False
P1,5,E,E,,5,120,16th,False,False,False,False
P1,5,B,B,,4,120,16th,False,False,False,False
P1,5,D,D,,5,120,16th,False,False,False,False
P1,5,C,C,,5,120,16th,False,False,False,False
P1,5,,,,,720,whole,False,True,False,False
P1,6,A,A,,4,240,eighth,False,False,False,False
P1,6,,,,,120,16th,False,True,False,False
P1,6,C,C,,4,120,16th,False,False,False,False
P1,6,E,E,,4,120,16th,False,False,False,False
P1,6,A,A,,4,120,16th,False,False,False,False
P1,6,A,A,,2,120,16th,False,False,False,False
P1,6,E,E,,3,120,16th,False,False,False,False
P1,6,A,A,,3,120,16th,False,False,False,False
P1,6,,,,,120,16th,False,True,False,False
P1,6,,,,,240,eighth,False,True,False,False
P1,7,B,B,,4,240,eighth,False,False,False,False
P1,7,,,,,120,16th,False,True,False,False
P1,7,E,E,,4,120,16th,False,False,False,False
P1,7,C,C,,5,120,16th,False,False,False,False
P1,7,B,B,,4,120,16th,False,False,False,False
P1,7,E,E,,2,120,16th,False,False,False,False
P1,7,E,E,,3,120,16th,False,False,False,False
P1,7,G#,G,1,3,120,16th,False,False,False,False
P1,7,,,,,120,16th,False,True,False,False
P1,7,,,,,240,eighth,False,True,False,False
P1,8,A,A,,4,480,quarter,False,False,False,False
P1,8,A,A,,2,120,16th,False,False,False,False
P1,8,E,E,,3,120,16th,False,False,False,False
P1,8,A,A,,3,120,16th,False,False,False,False
P1,8,,,,,120,16th,False,True,False,False
P1,9,A,A,,4,240,eighth,False,False,False,False
P1,9,,,,,120,16th,False,True,False,False
P1,9,B,B,,4,120,16th,False,False,False,False
P1,9,C,C,,5,120,16th,False,False,False,False
P1,9,D,D,,5,120,16th,False,False,False,False
P1,9,A,A,,2,120,16th,False,False,False,False
P1,9,E,E,,3,120,16th,False,False,False,False
P1,9,A,A,,3,120,16th,False,False,False,False
P1,9,,,,,120,16th,False,True,False,False
P1,9,,,,,240,eighth,False,True,False,False
P1,10,E,E,,5,360,eighth,True,False,False,False
P1,10,G,G,,4,120,16th,False,False,False,False
P1,10,F,F,,5,120,16th,False,False,False,False
P1,10,E,E,,5,120,16th,False,False,False,False
P1,10,C,C,,3,120,16th,False,False,False,False
P1,10,G,G,,3,120,16th,False,False,False,False
P1,10,C,C,,4,120,16th,False,False,False,False
P1,10,,,,,120,16th,False,True,False,False
P1,10,,,,,240,eighth,False,True,False,False
P1,11,D,D,,5,360,eighth,True,False,False,False
P1,11,F,F,,4,120,16th,False,False,False,False
P1,11,E,E,,5,120,16th,False,False,False,False
P1,11,D,D,,5,120,16th,False,False,False,False
P1,11,G,G,,2,120,16th,False,False,False,False
P1,11,G,G,,3,120,16th,False,False,False,False
P1,11,B,B,,3,120,16th,False,False,False,False
P1,11,,,,,120,16th,False,True,False,False
P1,11,,,,,240,eighth,False,True,False,False
P1,12,C,C,,5,360,eighth,True,False,False,False
P1,12,E,E,,4,120,16th,False,False,False,False
P1,12,D,D,,5,120,16th,False,False,False,False
P1,12,C,C,,5,120,16th,False,False,False,False
P1,12,A,A,,2,120,16th,False,False,False,False
P1,12,E,E,,3,120,16th,False,False,False,False
P1,12,A,A,,3,120,16th,False,False,False,False
P1,12,,,,,120,16th,False,True,False,False
P1,12,,,,,240,eighth,False,True,False,False
P1,13,B,B,,4,240,eighth,False,False,False,False
P1,13,,,,,120,16th,False,True,False,False
P1,13,E,E,,4,120,16th,False,False,False,False
P1,13,E,E,,5,120,16th,False,False,False,False
P1,13,,,,,120,16th,False,True,False,False
P1,13,,,,,120,16th,False,True,False,False
P1,13,E,E,,5,120,16th,False,False,False,False
P1,13,E,E,,6,120,16th,False,False,False,False
P1,13,,,,,120,16th,False,True,False,False
P1,13,,,,,120,16th,False,True,False,False
P1,13,D#,D,1,5,120,16th,False,False,False,False
P1,13,E,E,,5,120,16th,False,False,False,False
P1,13,,,,,120,16th,False,True,False,False
P1,13,,,,,120,16th,False,True,False,False
P1,13,D#,D,1,5,120,16th,False,False,False,False
P1,13,E,E,,5,120,16th,False,False,False,False
P1,13,D#,D,1,5,120,16th,False,False,False,False
P1,13,E,E,,2,120,16th,False,False,False,False
P1,13,E,E,,3,120,16th,False,False,False,False
P1,13,E,E,,4,120,16th,False,False,False,False
P1,13,,,,,120,16th,False,True,False,False
P1,13,,,,,120,16th,False,True,False,False
P1,13,E,E,,4,120,16th,False,False,False,False
P1,13,E,E,,5,120,16th,False,False,False,False
P1,13,,,,,120,16th,False,True,False,False
P1,13,,,,,120,16th,False,True,False,False
P1,13,D#,D,1,5,120,16th,False,False,False,False
P1,13,E,E,,5,120,16th,False,False,False,False
P1,13,,,,,120,16th,False,True,False,False
P1,13,,,,,120,16th,False,True,False,False
P1,13,D#,D,1,5,120,16th,False,False,False,False
P1,13,E,E,,5,120,16th,False,False,False,False
P1,13,,,,,120,16th,False,True,False,False
P1,13,,,,,240,eighth,False,True,False,False
P1,14,E,E,,5,120,16th,False,False,False,False
P1,14,D#,D,1,5,120,16th,False,False,False,False
P1,14,E,E,,5,120,16th,False,False,False,False
P1,14,B,B,,4,120,16th,False,False,False,False
P1,14,D,D,,5,120,16th,False,False,False,False
P1,14,C,C,,5,120,16th,False,False,False,False
P1,14,,,,,720,quarter,True,True,False,False
P1,15,A,A,,4,240,eighth,False,False,False,False
P1,15,,,,,120,16th,False,True,False,False
P1,15,C,C,,4,120,16th,False,False,False,False
P1,15,E,E,,4,120,16th,False,False,False,False
P1,15,A,A,,4,120,16th,False,False,False,False
P1,15,A,A,,2,120,16th,False,False,False,False
P1,15,E,E,,3,120,16th,False,False,False,False
P1,15,A,A,,3,120,16th,False,False,False,False
P1,15,,,,,120,16th,False,True,False,False
P1,15,,,,,240,eighth,False,True,False,False
P1,16,B,B,,4,240,eighth,False,False,False,False
P1,16,,,,,120,16th,False,True,False,False
P1,16,E,E,,4,120,16th,False,False,False,False
P1,16,G#,G,1,4,120,16th,False,False,False,False
P1,16,B,B,,4,120,16th,False,False,False,False
P1,16,E,E,,2,120,16th,False,False,False,False
P1,16,E,E,,3,120,16th,False,False,False,False
P1,16,G#,G,1,3,120,16th,False,False,False,False
P1,16,,,,,120,16th,False,True,False,False
P1,16,,,,,240,eighth,False,True,False,False
P1,17,C,C,,5,240,eighth,False,False,False,False
P1,17,,,,,120,16th,False,True,False,False
P1,17,E,E,,4,120,16th,False,False,False,False
P1,17,E,E,,5,120,16th,False,False,False,False
P1,17,D#,D,1,5,120,16th,False,False,False,False
P1,17,A,A,,2,120,16th,False,False,False,False
