part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,A,A,,5,960,half,False,False,False,False
P1,1,F#,F,1,5,120,16th,False,False,False,False
P1,1,G,G,,5,120,16th,False,False,False,False
P1,1,F#,F,1,5,120,16th,False,False,False,False
P1,1,E,E,,5,120,16th,False,False,False,False
P1,1,F#,F,1,5,240,eighth,False,False,False,False
P1,1,G,G,,5,240,eighth,False,False,False,False
P1,2,B,B,,5,240,eighth,False,False,False,False
P1,2,A,A,,5,240,eighth,False,False,False,False
P1,2,A,A,,5,720,quarter,True,False,False,False
P1,2,B,B,,5,120,16th,False,False,False,False
P1,2,A,A,,5,120,16th,False,False,False,False
P1,2,G#,G,1,5,120,16th,False,False,False,False
P1,2,A,A,,5,120,16th,False,False,False,False
P1,2,B,B,,5,120,16th,False,False,False,False
P1,2,C#,C,1,6,120,16th,False,False,False,False
P1,3,D,D,,6,480,quarter,False,False,False,False
P1,3,D,D,,6,720,quarter,True,False,False,False
P1,3,C#,C,1,6,240,eighth,False,False,False,False
P1,3,B,B,,5,240,eighth,False,False,False,False
P1,3,A,A,,5,240,eighth,False,False,False,False
P1,4,A,A,,5,720,quarter,True,False,False,False
P1,4,F#,F,1,5,240,eighth,False,False,False,False
P1,4,G,G,,5,480,quarter,False,False,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,5,G,G,,5,960,half,False,False,False,False
P1,5,E,E,,5,120,16th,False,False,False,False
P1,5,F#,F,1,5,120,16th,False,False,False,False
P1,5,E,E,,5,120,16th,False,False,False,False
P1,5,D#,D,1,5,120,16th,False,False,False,False
P1,5,E,E,,5,120,16th,False,False,False,False
P1,5,G,G,,5,120,16th,False,False,False,False
P1,5,F#,F,1,5,120,16th,False,False,False,False
P1,5,A,A,,5,120,16th,False,False,False,False
P1,6,G,G,,5,480,quarter,False,False,False,False
P1,6,G,G,,5,720,quarter,True,False,False,False
P1,6,A,A,,5,120,16th,False,False,False,False
P1,6,B,B,,5,120,16th,False,False,False,False
P1,6,A,A,,5,120,16th,False,False,False,False
P1,6,G,G,,5,120,16th,False,False,False,False
P1,6,F#,F,1,5,120,16th,False,False,False,False
P1,6,E,E,,5,120,16th,False,False,False,False
P1,7,D,D,,5,240,eighth,False,False,False,False
P1,7,C#,C,1,5,240,eighth,False,False,False,False
P1,7,C#,C,1,5,240,eighth,False,False,False,False
P1,7,D,D,,5,240,eighth,False,False,False,False
P1,7,E,E,,5,240,eighth,False,False,False,False
P1,7,F#,F,1,5,240,eighth,False,False,False,False
P1,7,G,G,,5,240,eighth,False,False,False,False
P1,7,A,A,,5,240,eighth,False,False,False,False
P1,8,G,G,,5,720,quarter,True,False,False,False
P1,8,E,E,,5,240,eighth,False,False,False,False
P1,8,F#,F,1,5,480,quarter,False,False,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,9,G,G,,5,720,quarter,True,False,False,False
P1,9,A,A,,5,240,eighth,False,False,False,False
P1,9,F#,F,1,5,480,quarter,False,False,False,False
P1,9,,,,,240,eighth,False,True,False,False
P1,9,F#,F,1,5,240,eighth,False,False,False,False
P1,10,G,G,,5,720,quarter,True,False,False,False
P1,10,A,A,,5,240,eighth,False,False,False,False
P1,10,F#,F,1,5,480,quarter,False,False,False,False
P1,10,,,,,240,eighth,False,True,False,False
P1,10,F#,F,1,5,240,eighth,False,False,False,False
P1,11,G,G,,5,240,eighth,False,False,False,False
P1,11,A,A,,5,240,eighth,False,False,False,False
P1,11,B,B,,5,960,half,False,False,False,False
P1,11,D,D,,5,240,eighth,False,False,False,False
P1,11,C#,C,1,5,120,16th,False,False,False,False
P1,11,D,D,,5,120,16th,False,False,False,False
P1,12,C#,C,1,5,480,quarter,False,False,False,False
P1,12,E,E,,5,480,quarter,False,False,False,False
P1,12,A,A,,5,480,quarter,False,False,False,False
P1,12,,,,,480,quarter,False,True,False,False
P1,13,C#,C,1,5,480,quarter,False,False,False,False
P1,13,A,A,,4,480,quarter,False,False,False,False
P1,13,,,,,480,quarter,False,True,False,False
P1,13,E,E,,5,480,quarter,False,False,False,False
P1,14,E,E,,5,480,quarter,False,False,False,False
P1,14,D,D,,5,960,half,False,False,False,False
P1,14,C#,C,1,5,480,quarter,False,False,False,False
P1,15,D,D,,5,480,quarter,False,False,False,False
P1,15,D,D,,5,960,half,False,False,False,False
P1,15,E,E,,5,240,eighth,False,False,False,False
P1,15,F#,F,1,5,240,eighth,False,False,False,False
P1,16,C#,C,1,5,960,half,False,False,False,False
P1,16,B,B,,4,480,quarter,False,False,False,False
P1,16,G#,G,1,5,480,quarter,False,False,False,False
P1,17,A,A,,5,240,eighth,False,False,False,False
P1,17,B,B,,5,120,16th,False,False,False,False
P1,17,A,A,,5,120,16th,False,False,False,False
P1,17,G#,G,1,5,240,eighth,False,False,False,False
P1,17,A,A,,5,240,eighth,False,False,False,False
P1,17,B,B,,5,720,quarter,True,False,False,False
P1,17,G#,G,1,5,240,eighth,False,False,False,False
P1,18,A,A,,5,240,eighth,False,False,False,False
P1,18,B,B,,5,120,16th,False,False,False,False
P1,18,A,A,,5,120,16th,False,False,False,False
P1,18,G#,G,1,5,240,eighth,False,False,False,False
P1,18,A,A,,5,240,eighth,False,False,False,False
P1,18,B,B,,5,720,quarter,True,False,False,False
P1,18,G#,G,1,5,240,eighth,False,False,False,False
P1,19,A,A,,5,480,quarter,False,False,False,False
P1,19,,,,,480,quarter,False,True,False,False
P1,19,A,A,,5,960,half,False,False,False,False
P1,20,A,A,,5,240,eighth,False,False,False,False
P1,20,C#,C,1,6,240,eighth,False,False,False,False
P1,20,C#,C,1,6,240,eighth,False,False,False,False
P1,20,A,A,,5,240,eighth,False,False,False,False
P1,20,A,A,,5,240,eighth,False,False,False,False
P1,20,E,E,,5,240,eighth,False,False,False,False
P1,20,C#,C,1,5,240,eighth,False,False,False,False
P1,20,E,E,,5,240,eighth,False,False,False,False
P1,21,D,D,,5,480,quarter,False,False,False,False
P1,21,F#,F,1,5,360,eighth,True,False,False,False
P1,21,B,B,,5,120,16th,False,False,False,False
P1,21,E,E,,5,480,quarter,False,False,False,False
P1,21,G#,G,1,5,480,quarter,False,False,False,False
P1,22,A,A,,5,240,eighth,False,False,False,False
P1,22,,,,,240,eighth,False,True,False,False
P1,22,C#,C,1,5,240,eighth,False,False,False,False
P1,22,A,A,,5,240,eighth,False,False,False,False
P1,22,A,A,,5,240,eighth,False,False,False,False
P1,22,G#,G,1,5,240,eighth,False,False,False,False
P1,22,G#,G,1,5,240,eighth,False,False,False,False
P1,22,F#,F,1,5,240,eighth,False,False,False,False
P1,23,F#,F,1,5,240,eighth,False,False,False,False
P1,23,E,E,,5,240,eighth,False,False,False,False
P1,23,G#,G,1,5,120,16th,False,False,False,False
P1,23,A,A,,5,120,16th,False,False,False,False
P1,23,B,B,,5,120,16th,False,False,False,False
P1,23,C#,C,1,6,120,16th,False,False,False,False
P1,23,D,D,,6,120,16th,False,False,False,False
P1,23,C#,C,1,6,120,16th,False,False,False,False
P1,23,B,B,,5,120,16th,False,False,False,False
P1,23,A,A,,5,120,16th,False,False,False,False
P1,23,G#,G,1,5,120,16th,False,False,False,False
P1,23,F#,F,1,5,120,16th,False,False,False,False
P1,23,E,E,,5,120,16th,False,False,False,False
P1,23,D,D,,5,120,16th,False,False,False,False
P1,24,C#,C,1,5,240,eighth,False,False,False,False
P1,24,,,,,240,eighth,False,True,False,False
P1,24,C#,C,1,5,240,eighth,False,False,False,False
P1,24,F#,F,1,5,240,eighth,False,False,False,False
P1,24,F#,F,1,5,240,eighth,False,False,False,False
P1,24,E,E,,5,240,eighth,False,False,False,False
P1,24,E,E,,5,240,eighth,False,False,False,False
P1,24,D,D,,5,240,eighth,False,False,False,False
P1,25,D,D,,5,240,eighth,False,False,False,False
P1,25,C#,C,1,5,240,eighth,False,False,False,False
P1,25,D,D,,5,120,16th,False,False,False,False
P1,25,C#,C,1,5,120,16th,False,False,False,False
P1,25,B,B,,4,120,16th,False,False,False,False
P1,25,A,A,,4,120,16th,False,False,False,False
P1,25,G#,G,1,4,240,eighth,False,False,False,False
P1,25,,,,,240,eighth,False,True,False,False
P1,25,G#,G,1,5,240,eighth,False,False,False,False
P1,25,,,,,240,eighth,False,True,False,False
P1,26,A,A,,5,240,eighth,False,False,False,False
P1,26,,,,,240,eighth,False,True,False,False
P1,26,G,G,,5,240,eighth,False,False,False,False
P1,26,,,,,240,eighth,False,True,False,False
P1,26,F#,F,1,5,720,quarter,True,False,False,False
P1,26,F,F,,5,240,eighth,False,False,False,False
P1,27,E,E,,5,240,eighth,False,False,False,False
P1,27,,,,,240,eighth,False,True,False,False
P1,27,G,G,,5,240,eighth,False,False,False,False
P1,27,,,,,240,eighth,False,True,False,False
P1,27,F#,F,1,5,720,quarter,True,False,False,False
P1,27,F,F,,5,240,eighth,False,False,False,False
P1,28,E,E,,5,480,quarter,False,False,False,False
P1,28,,,,,480,quarter,False,True,False,False
P1,28,D,D,,5,480,quarter,False,False,False,False
P1,28,,,,,480,quarter,False,True,False,False
P1,29,C#,C,1,5,480,quarter,False,False,False,False
P1,29,,,,,240,eighth,False,True,False,False
P1,29,G,G,,5,240,eighth,False,False,False,False
P1,29,G,G,,5,240,eighth,False,False,False,False
P1,29,F#,F,1,5,240,eighth,False,False,False,False
P1,29,F#,F,1,5,240,eighth,False,False,False,False
P1,29,E#,E,1,5,240,eighth,False,False,False,False
P1,30,E#,E,1,5,240,eighth,False,False,False,False
P1,30,F#,F,1,5,240,eighth,False,False,False,False
P1,30,F#,F,1,5,240,eighth,False,False,False,False
P1,30,F#,F,1,5,240,eighth,False,False,False,False
P1,30,F#,F,1,5,240,eighth,False,False,False,False
P1,30,E,E,,5,240,eighth,False,False,False,False
P1,30,E,E,,5,240,eighth,False,False,False,False
P1,30,D#,D,1,5,240,eighth,False,False,False,False
P1,31,D#,D,1,5,240,eighth,False,False,False,False
P1,31,E,E,,5,240,eighth,False,False,False,False
P1,31,E,E,,5,240,eighth,False,False,False,False
P1,31,,,,,240,eighth,False,True,False,False
P1,31,C#,C,1,5,240,eighth,False,False,False,False
P1,31,D,D,,5,240,eighth,False,False,False,False
P1,31,D,D,,5,240,eighth,False,False,False,False
P1,31,,,,,240,eighth,False,True,False,False
P1,32,B#,B,1,4,240,eighth,False,False,False,False
P1,32,C#,C,1,5,240,eighth,False,False,False,False
P1,32,C#,C,1,5,240,eighth,False,False,False,False
P1,32,,,,,240,eighth,False,True,False,False
P1,32,B,B,,4,120,16th,False,False,False,False
P1,32,C#,C,1,5,120,16th,False,False,False,False
P1,32,D,D,,5,120,16th,False,False,False,False
P1,32,C#,C,1,5,120,16th,False,False,False,False
P1,32,E,E,,5,120,16th,False,False,False,False
P1,32,D,D,,5,120,16th,False,False,False,False
P1,32,C#,C,1,5,120,16th,False,False,False,False
P1,32,B,B,,4,120,16th,False,False,False,False
P1,33,A,A,,4,240,eighth,False,False,False,False
P1,33,A,A,,4,120,16th,False,False,False,False
P1,33,E,E,,4,120,16th,False,False,False,False
P1,33,C#,C,1,5,240,eighth,False,False,False,False
P1,33,A,A,,4,240,eighth,False,False,False,False
P1,33,E,E,,5,240,eighth,False,False,False,False
P1,33,C#,C,1,5,240,eighth,False,False,False,False
P1,33,A,A,,5,240,eighth,False,False,False,False
P1,33,E,E,,5,240,eighth,False,False,False,False
P1,34,C#,C,1,6,240,eighth,False,False,False,False
P1,34,A,A,,5,240,eighth,False,False,False,False
P1,34,E,E,,6,720,quarter,True,False,False,False
P1,34,D#,D,1,6,240,eighth,False,False,False,False
P1,34,D,D,,6,240,eighth,False,False,False,False
P1,34,C#,C,1,6,240,eighth,False,False,False,False
P1,35,B,B,,5,1920,whole,False,False,False,False
P1,36,A,A,,5,480,quarter,False,False,False,False
P1,36,,,,,480,quarter,False,True,False,False
P1,36,E,E,,5,120,16th,False,False,False,False
P1,36,D,D,,5,120,16th,False,False,False,False
P1,36,C#,C,1,5,120,16th,False,False,False,False
P1,36,D,D,,5,120,16th,False,False,False,False
P1,36,E,E,,5,120,16th,False,False,False,False
P1,36,E#,E,1,5,120,16th,False,False,False,False
P1,36,F#,F,1,5,120,16th,False,False,False,False
