part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,0,G,G,,4,360,eighth,True,False,False,False
P1,0,B,B,,4,360,eighth,True,False,False,False
P1,0,A,A,,4,120,16th,False,False,False,False
P1,0,C,C,,5,120,16th,False,False,False,False
P1,0,,,,,480,quarter,False,True,False,False
P1,1,B,B,,4,360,eighth,True,False,False,False
P1,1,D,D,,5,360,eighth,True,False,False,False
P1,1,A#,A,1,4,120,16th,False,False,False,False
P1,1,C#,C,1,5,120,16th,False,False,False,False
P1,1,B,B,,4,360,eighth,True,False,False,False
P1,1,D,D,,5,360,eighth,True,False,False,False
P1,1,A#,A,1,4,120,16th,False,False,False,False
P1,1,C#,C,1,5,120,16th,False,False,False,False
P1,1,B,B,,4,360,eighth,True,False,False,False
P1,1,D,D,,5,360,eighth,True,False,False,False
P1,1,A#,A,1,4,120,16th,False,False,False,False
P1,1,C#,C,1,5,120,16th,False,False,False,False
P1,1,G,G,,2,480,quarter,False,False,False,False
P1,1,B,B,,2,480,quarter,False,False,False,False
P1,1,D,D,,3,480,quarter,False,False,False,False
P1,2,B,B,,4,960,half,False,False,False,False
P1,2,D,D,,5,960,half,False,False,False,False
P1,2,C,C,,5,360,eighth,True,False,False,False
P1,2,E,E,,5,360,eighth,True,False,False,False
P1,2,G#,G,1,4,120,16th,False,False,False,False
P1,2,B,B,,4,120,16th,False,False,False,False
P1,2,G,G,,3,480,quarter,False,False,False,False
P1,2,G,G,,2,480,quarter,False,False,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,3,A,A,,4,960,half,False,False,False,False
P1,3,C,C,,5,960,half,False,False,False,False
P1,3,B,B,,4,360,eighth,True,False,False,False
P1,3,D,D,,5,360,eighth,True,False,False,False
P1,3,F#,F,1,4,120,16th,False,False,False,False
P1,3,A,A,,4,120,16th,False,False,False,False
P1,3,D,D,,3,480,quarter,False,False,False,False
P1,3,D,D,,2,480,quarter,False,False,False,False
P1,3,,,,,480,quarter,False,True,False,False
P1,4,G,G,,4,480,quarter,False,False,False,False
P1,4,B,B,,4,480,quarter,False,False,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,4,B,B,,3,360,eighth,True,False,False,False
P1,4,G,G,,4,360,eighth,True,False,False,False
P1,4,D,D,,4,120,16th,False,False,False,False
P1,4,A,A,,4,120,16th,False,False,False,False
P1,4,G,G,,2,480,quarter,False,False,False,False
P1,4,G,G,,1,480,quarter,False,False,False,False
