part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,Bb,B,-1,3,1440,half,True,False,False,False
P1,1,G,G,,4,,16th,False,False,True,False
P1,1,F,F,,4,240,eighth,False,False,False,False
P1,1,E,E,,4,120,16th,False,False,False,False
P1,1,F,F,,4,120,16th,False,False,False,False
P1,2,D,D,,4,480,quarter,False,False,False,False
P1,2,Bb,B,-1,4,480,quarter,False,False,False,False
P1,2,F,F,,4,480,quarter,False,False,False,False
P1,2,D,D,,5,480,quarter,False,False,False,False
P1,3,Bb,B,-1,4,1440,half,True,False,False,False
P1,3,G,G,,5,,16th,False,False,True,False
P1,3,F,F,,5,240,eighth,False,False,False,False
P1,3,E,E,,5,120,16th,False,False,False,False
P1,3,F,F,,5,120,16th,False,False,False,False
P1,4,D,D,,5,480,quarter,False,False,False,False
P1,4,Bb,B,-1,5,480,quarter,False,False,False,False
P1,4,F,F,,5,480,quarter,False,False,False,False
P1,4,D,D,,6,480,quarter,False,False,False,False
P1,5,Bb,B,-1,5,1440,half,True,False,False,False
P1,5,,,,,480,quarter,False,True,False,False
P1,6,,,,,1920,whole,False,True,False,False
P1,7,,,,,960,half,False,True,False,False
P1,7,,,,,480,quarter,False,True,False,False
P1,7,C,C,,6,,16th,False,False,True,False
P1,7,Bb,B,-1,5,240,eighth,False,False,False,False
P1,7,A,A,,5,120,16th,False,False,False,False
P1,7,Bb,B,-1,5,120,16th,False,False,False,False
P1,8,C,C,,6,480,quarter,False,False,False,False
P1,8,F,F,,5,480,quarter,False,False,False,False
P1,8,C,C,,6,480,quarter,False,False,False,False
P1,8,F,F,,5,480,quarter,False,False,False,False
P1,9,D,D,,6,960,half,False,False,False,False
P1,9,Bb,B,-1,5,480,quarter,False,False,False,False
P1,9,,,,,480,quarter,False,True,False,False
P1,10,,,,,1920,whole,False,True,False,False
P1,11,,,,,1920,whole,False,True,False,False
P1,12,,,,,1920,whole,False,True,False,False
P1,13,,,,,960,half,False,True,False,False
P1,13,,,,,480,quarter,False,True,False,False
P1,13,D,D,,6,,16th,False,False,True,False
P1,13,C,C,,6,240,eighth,False,False,False,False
P1,13,B,B,,5,120,16th,False,False,False,False
P1,13,C,C,,6,120,16th,False,False,False,False
P1,14,F,F,,6,480,quarter,False,False,False,False
P1,14,,,,,480,quarter,False,True,False,False
P1,14,,,,,960,half,False,True,False,False
P1,15,,,,,960,half,False,True,False,False
P1,15,,,,,480,quarter,False,True,False,False
P1,15,D,D,,6,,16th,False,False,True,False
P1,15,C,C,,6,240,eighth,False,False,False,False
P1,15,B,B,,5,120,16th,False,False,False,False
P1,15,C,C,,6,120,16th,False,False,False,False
P1,16,F,F,,6,480,quarter,False,False,False,False
P1,16,,,,,480,quarter,False,True,False,False
P1,16,,,,,960,half,False,True,False,False
P1,17,,,,,1920,whole,False,True,False,False
P1,18,,,,,1920,whole,False,True,False,False
P1,19,Bb,B,-1,3,1440,half,True,False,False,False
P1,19,G,G,,4,,16th,False,False,True,False
P1,19,F,F,,4,240,eighth,False,False,False,False
P1,19,E,E,,4,120,16th,False,False,False,False
P1,19,F,F,,4,120,16th,False,False,False,False
P1,20,D,D,,4,480,quarter,False,False,False,False
P1,20,Bb,B,-1,4,480,quarter,False,False,False,False
P1,20,F,F,,4,480,quarter,False,False,False,False
P1,20,D,D,,5,480,quarter,False,False,False,False
P1,21,Bb,B,-1,4,1440,half,True,False,False,False
P1,21,G,G,,5,,16th,False,False,True,False
P1,21,F,F,,5,240,eighth,False,False,False,False
P1,21,E,E,,5,120,16th,False,False,False,False
P1,21,F,F,,5,120,16th,False,False,False,False
P1,22,D,D,,5,480,quarter,False,False,False,False
P1,22,Bb,B,-1,5,480,quarter,False,False,False,False
P1,22,F,F,,5,480,quarter,False,False,False,False
P1,22,D,D,,6,480,quarter,False,False,False,False
P1,23,Bb,B,-1,5,1440,half,True,False,False,False
P1,23,,,,,480,quarter,False,True,False,False
P1,24,,,,,1920,whole,False,True,False,False
P1,25,,,,,960,half,False,True,False,False
P1,25,,,,,480,quarter,False,True,False,False
