part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,Eb,E,-1,5,4,16th,False,False,False,False
P1,1,G,G,,5,4,16th,False,False,False,False
P1,1,G,G,,5,4,16th,False,False,False,False
P1,1,G,G,,5,4,16th,False,False,False,False
P1,1,G,G,,5,4,16th,False,False,False,False
P1,1,Bb,B,-1,5,4,16th,False,False,False,False
P1,1,Bb,B,-1,5,4,16th,False,False,False,False
P1,1,Bb,B,-1,5,4,16th,False,False,False,False
P1,2,Bb,B,-1,5,4,16th,False,False,False,False
P1,2,Ab,A,-1,5,4,16th,False,False,False,False
P1,2,Ab,A,-1,5,4,16th,False,False,False,False
P1,2,F,F,,5,4,16th,False,False,False,False
P1,2,F,F,,5,4,16th,False,False,False,False
P1,2,D,D,,5,4,16th,False,False,False,False
P1,2,D,D,,5,4,16th,False,False,False,False
P1,2,Bb,B,-1,4,4,16th,False,False,False,False
P1,3,Bb,B,-1,4,4,16th,False,False,False,False
P1,3,Eb,E,-1,5,4,16th,False,False,False,False
P1,3,Eb,E,-1,5,4,16th,False,False,False,False
P1,3,D,D,,5,1,64th,False,False,False,False
P1,3,Eb,E,-1,5,1,64th,False,False,False,False
P1,3,F,F,,5,1,64th,False,False,False,False
P1,3,Eb,E,-1,5,1,64th,False,False,False,False
P1,3,Bb,B,-1,4,4,16th,False,False,False,False
P1,3,F,F,,5,4,16th,False,False,False,False
P1,3,F,F,,5,4,16th,False,False,False,False
P1,3,E,E,,5,1,64th,False,False,False,False
P1,3,F,F,,5,1,64th,False,False,False,False
P1,3,G,G,,5,1,64th,False,False,False,False
P1,3,F,F,,5,1,64th,False,False,False,False
P1,4,Bb,B,-1,4,4,16th,False,False,False,False
P1,4,F#,F,1,5,1,64th,False,False,False,False
P1,4,G,G,,5,1,64th,False,False,False,False
P1,4,Ab,A,-1,5,1,64th,False,False,False,False
P1,4,G,G,,5,1,64th,False,False,False,False
P1,4,C,C,,5,4,16th,False,False,False,False
P1,4,Ab,A,-1,5,2,32nd,False,False,False,False
P1,4,Bb,B,-1,5,1,64th,False,False,False,False
P1,4,C,C,,6,1,64th,False,False,False,False
P1,4,F,F,,5,8,eighth,False,False,False,False
P1,4,,,,,8,eighth,False,True,False,False
P1,5,,,,,16,quarter,False,True,False,False
P1,5,Bb,B,-1,5,8,eighth,False,False,False,False
P1,5,Bb,B,-1,5,2,32nd,False,False,False,False
P1,5,G,G,,5,2,32nd,False,False,False,False
P1,5,F,F,,5,2,32nd,False,False,False,False
P1,5,Eb,E,-1,5,2,32nd,False,False,False,False
P1,6,Eb,E,-1,5,4,16th,False,False,False,False
P1,6,D,D,,5,4,16th,False,False,False,False
P1,6,D,D,,5,2,32nd,False,False,False,False
P1,6,Eb,E,-1,5,2,32nd,False,False,False,False
P1,6,F,F,,5,2,32nd,False,False,False,False
P1,6,G,G,,5,2,32nd,False,False,False,False
P1,6,Ab,A,-1,5,8,eighth,False,False,False,False
P1,6,Ab,A,-1,5,2,32nd,False,False,False,False
P1,6,F,F,,5,2,32nd,False,False,False,False
P1,6,Bb,B,-1,5,2,32nd,False,False,False,False
P1,6,Bb,B,-1,5,2,32nd,False,False,False,False
P1,7,Bb,B,-1,5,6,16th,True,False,False,False
P1,7,G,G,,5,2,32nd,False,False,False,False
P1,7,Eb,E,-1,5,4,16th,False,False,False,False
P1,7,,,,,4,16th,False,True,False,False
P1,7,C,C,,6,6,16th,True,False,False,False
P1,7,Ab,A,-1,5,2,32nd,False,False,False,False
P1,7,F,F,,5,4,16th,False,False,False,False
P1,7,,,,,4,16th,False,True,False,False
P1,8,,,,,4,16th,False,True,False,False
P1,8,Eb,E,-1,5,4,16th,False,False,False,False
P1,8,,,,,4,16th,False,True,False,False
P1,8,D,D,,5,4,16th,False,False,False,False
P1,8,Eb,E,-1,5,8,eighth,False,False,False,False
P1,8,,,,,4,16th,False,True,False,False
P1,8,Bb,B,-1,4,4,16th,False,False,False,False
P1,9,F,F,,5,6,16th,True,False,False,False
P1,9,Eb,E,-1,5,2,32nd,False,False,False,False
P1,9,D,D,,5,4,16th,False,False,False,False
P1,9,C,C,,5,4,16th,False,False,False,False
P1,9,Bb,B,-1,4,12,eighth,True,False,False,False
P1,9,Bb,B,-1,4,4,16th,False,False,False,False
P1,10,Bb,B,-1,4,12,16th,False,False,False,False
P1,10,Bb,B,-1,4,12,16th,False,False,False,False
P1,10,Bb,B,-1,4,12,16th,False,False,False,False
P1,10,C,C,,5,12,16th,False,False,False,False
P1,10,F,F,,4,18,16th,True,False,False,False
P1,10,G,G,,4,3,64th,False,False,False,False
P1,10,A,A,,4,3,64th,False,False,False,False
P1,10,Bb,B,-1,4,4,32nd,False,False,False,False
P1,10,C,C,,5,4,32nd,False,False,False,False
P1,10,D,D,,5,4,32nd,False,False,False,False
P1,10,Eb,E,-1,5,4,32nd,False,False,False,False
P1,10,F,F,,5,4,32nd,False,False,False,False
P1,10,G,G,,5,4,32nd,False,False,False,False
P1,11,Ab,A,-1,5,18,16th,True,False,False,False
P1,11,G,G,,5,6,32nd,False,False,False,False
P1,11,F,F,,5,12,16th,False,False,False,False
P1,11,Eb,E,-1,5,12,16th,False,False,False,False
P1,11,D,D,,5,36,eighth,True,False,False,False
P1,11,D,D,,5,12,16th,False,False,False,False
P1,12,Eb,E,-1,5,18,16th,True,False,False,False
P1,12,F,F,,5,6,32nd,False,False,False,False
P1,12,G,G,,5,18,16th,True,False,False,False
