part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,0,F,F,,5,480,quarter,False,False,False,False
P1,0,Eb,E,-1,5,240,eighth,False,False,False,False
P1,1,Eb,E,-1,5,240,eighth,False,False,False,False
P1,1,D,D,,5,240,eighth,False,False,False,False
P1,1,D,D,,5,240,eighth,False,False,False,False
P1,1,C,C,,5,240,eighth,False,False,False,False
P1,1,Bb,B,-1,4,240,eighth,False,False,False,False
P1,1,C,C,,5,240,eighth,False,False,False,False
P1,2,C,C,,5,240,eighth,False,False,False,False
P1,2,Bb,B,-1,4,240,eighth,False,False,False,False
P1,2,Bb,B,-1,4,240,eighth,False,False,False,False
P1,2,A,A,,4,240,eighth,False,False,False,False
P1,2,Bb,B,-1,4,240,eighth,False,False,False,False
P1,2,C,C,,5,240,eighth,False,False,False,False
P1,3,C,C,,5,240,eighth,False,False,False,False
P1,3,D,D,,5,240,eighth,False,False,False,False
P1,3,D,D,,5,240,eighth,False,False,False,False
P1,3,C,C,,5,240,eighth,False,False,False,False
P1,3,D,D,,5,240,eighth,False,False,False,False
P1,3,Eb,E,-1,5,240,eighth,False,False,False,False
P1,4,C,C,,5,480,quarter,False,False,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,4,G,G,,5,480,quarter,False,False,False,False
P1,4,F,F,,5,240,eighth,False,False,False,False
P1,5,F,F,,5,240,eighth,False,False,False,False
P1,5,Eb,E,-1,5,240,eighth,False,False,False,False
P1,5,Eb,E,-1,5,240,eighth,False,False,False,False
P1,5,Eb,E,-1,5,480,quarter,False,False,False,False
P1,5,D,D,,5,240,eighth,False,False,False,False
P1,6,D,D,,5,240,eighth,False,False,False,False
P1,6,C,C,,5,240,eighth,False,False,False,False
P1,6,C,C,,5,240,eighth,False,False,False,False
P1,6,Eb,E,-1,5,480,quarter,False,False,False,False
P1,6,C,C,,5,240,eighth,False,False,False,False
P1,7,C,C,,5,240,eighth,False,False,False,False
P1,7,A,A,,4,480,quarter,False,False,False,False
P1,7,F,F,,4,480,quarter,False,False,False,False
P1,7,Bb,B,-1,4,240,eighth,False,False,False,False
P1,8,Bb,B,-1,4,240,eighth,False,False,False,False
P1,8,Bb,B,-1,3,240,eighth,False,False,False,False
P1,8,Bb,B,-1,3,240,eighth,False,False,False,False
P1,9,D,D,,5,480,quarter,False,False,False,False
P1,9,C#,C,1,5,240,eighth,False,False,False,False
P1,10,C#,C,1,5,240,eighth,False,False,False,False
P1,10,D,D,,5,240,eighth,False,False,False,False
P1,10,D,D,,5,240,eighth,False,False,False,False
P1,10,A,A,,5,480,quarter,False,False,False,False
P1,10,B,B,,5,240,eighth,False,False,False,False
P1,11,B,B,,5,240,eighth,False,False,False,False
P1,11,C,C,,6,240,eighth,False,False,False,False
P1,11,C,C,,6,240,eighth,False,False,False,False
P1,11,C,C,,5,480,quarter,False,False,False,False
P1,11,B,B,,4,240,eighth,False,False,False,False
P1,12,B,B,,4,240,eighth,False,False,False,False
P1,12,C,C,,5,240,eighth,False,False,False,False
P1,12,C,C,,5,240,eighth,False,False,False,False
