part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,D,D,,5,480,quarter,False,False,False,False
P1,1,D,D,,5,240,eighth,False,False,False,False
P1,1,D,D,,5,240,eighth,False,False,False,False
P1,2,D,D,,5,480,quarter,False,False,False,False
P1,2,Bb,B,-1,4,420,eighth,True,False,False,False
P1,2,C,C,,5,60,32nd,False,False,False,False
P1,3,D,D,,5,420,eighth,True,False,False,False
P1,3,Eb,E,-1,5,60,32nd,False,False,False,False
P1,3,F,F,,5,240,eighth,False,False,False,False
P1,3,F,F,,5,240,eighth,False,False,False,False
P1,4,E,E,,5,,16th,False,False,True,False
P1,4,F,F,,5,,16th,False,False,True,False
P1,4,G,G,,5,,16th,False,False,True,False
P1,4,F,F,,5,960,half,False,False,False,False
P1,5,,,,,960,whole,False,True,False,False
P1,6,,,,,960,whole,False,True,False,False
P1,7,,,,,960,whole,False,True,False,False
P1,8,,,,,960,whole,False,True,False,False
P1,9,D,D,,5,480,quarter,False,False,False,False
P1,9,D,D,,5,240,eighth,False,False,False,False
P1,9,D,D,,5,240,eighth,False,False,False,False
P1,10,D,D,,5,480,quarter,False,False,False,False
P1,10,Bb,B,-1,4,420,eighth,True,False,False,False
P1,10,C,C,,5,60,32nd,False,False,False,False
P1,11,D,D,,5,420,eighth,True,False,False,False
P1,11,Eb,E,-1,5,60,32nd,False,False,False,False
P1,11,F,F,,5,240,eighth,False,False,False,False
P1,11,F,F,,5,240,eighth,False,False,False,False
P1,12,F,F,,5,,16th,False,False,True,False
P1,12,F#,F,1,5,,16th,False,False,True,False
P1,12,G,G,,5,,16th,False,False,True,False
P1,12,F#,F,1,5,960,half,False,False,False,False
P1,13,C#,C,1,4,960,half,False,False,False,False
P1,14,G,G,,5,,16th,False,False,True,False
P1,14,A,A,,5,,16th,False,False,True,False
P1,14,Bb,B,-1,5,,16th,False,False,True,False
P1,14,A,A,,5,960,half,False,False,False,False
P1,15,F,F,,4,960,half,False,False,False,False
P1,16,B,B,,5,,16th,False,False,True,False
P1,16,C,C,,6,,16th,False,False,True,False
P1,16,D,D,,6,,16th,False,False,True,False
P1,16,C,C,,6,960,half,False,False,False,False
P1,17,F#,F,1,4,480,quarter,False,False,False,False
P1,17,F#,F,1,4,240,eighth,False,False,False,False
P1,17,F#,F,1,4,240,eighth,False,False,False,False
P1,18,F#,F,1,4,480,quarter,False,False,False,False
P1,18,Eb,E,-1,4,420,eighth,True,False,False,False
P1,18,E,E,,4,60,32nd,False,False,False,False
P1,19,F#,F,1,4,420,eighth,True,False,False,False
P1,19,G#,G,1,4,60,32nd,False,False,False,False
P1,19,A,A,,4,240,eighth,False,False,False,False
P1,19,A,A,,4,240,eighth,False,False,False,False
P1,20,G#,G,1,4,,16th,False,False,True,False
P1,20,A,A,,4,,16th,False,False,True,False
P1,20,B,B,,4,,16th,False,False,True,False
P1,20,A,A,,4,960,half,False,False,False,False
P1,21,,,,,960,whole,False,True,False,False
P1,22,,,,,480,quarter,False,True,False,False
P1,22,,,,,240,eighth,False,True,False,False
P1,22,C#,C,1,5,240,eighth,False,False,False,False
P1,23,F#,F,1,5,480,quarter,False,False,False,False
P1,23,C,C,,5,480,quarter,False,False,False,False
P1,24,C#,C,1,5,480,quarter,False,False,False,False
P1,24,G,G,,4,480,quarter,False,False,False,False
P1,25,,,,,480,quarter,False,True,False,False
P1,25,,,,,240,eighth,False,True,False,False
P1,25,Bb,B,-1,4,240,eighth,False,False,False,False
P1,26,Gb,G,-1,5,480,quarter,False,False,False,False
P1,26,F,F,,5,480,quarter,False,False,False,False
P1,27,Db,D,-1,5,480,quarter,False,False,False,False
P1,27,C,C,,5,480,quarter,False,False,False,False
P1,28,Ab,A,-1,4,480,quarter,False,False,False,False
P1,28,G,G,,4,480,quarter,False,False,False,False
