part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,,,,,120,16th,False,True,False,False
P1,1,G#,G,1,2,120,16th,False,False,False,False
P1,1,C#,C,1,3,120,16th,False,False,False,False
P1,1,E,E,,3,120,16th,False,False,False,False
P1,1,G#,G,1,3,120,16th,False,False,False,False
P1,1,C#,C,1,3,120,16th,False,False,False,False
P1,1,E,E,,3,120,16th,False,False,False,False
P1,1,G#,G,1,3,120,16th,False,False,False,False
P1,1,C#,C,1,4,120,16th,False,False,False,False
P1,1,E,E,,3,120,16th,False,False,False,False
P1,1,G#,G,1,3,120,16th,False,False,False,False
P1,1,C#,C,1,4,120,16th,False,False,False,False
P1,1,E,E,,4,120,16th,False,False,False,False
P1,1,G#,G,1,3,120,16th,False,False,False,False
P1,1,C#,C,1,4,120,16th,False,False,False,False
P1,1,E,E,,4,120,16th,False,False,False,False
P1,2,G#,G,1,4,120,16th,False,False,False,False
P1,2,C#,C,1,4,120,16th,False,False,False,False
P1,2,E,E,,4,120,16th,False,False,False,False
P1,2,G#,G,1,4,120,16th,False,False,False,False
P1,2,C#,C,1,5,120,16th,False,False,False,False
P1,2,E,E,,4,120,16th,False,False,False,False
P1,2,G#,G,1,4,120,16th,False,False,False,False
P1,2,C#,C,1,5,120,16th,False,False,False,False
P1,2,E,E,,5,120,16th,False,False,False,False
P1,2,G#,G,1,4,120,16th,False,False,False,False
P1,2,C#,C,1,5,120,16th,False,False,False,False
P1,2,E,E,,5,120,16th,False,False,False,False
P1,2,G#,G,1,4,240,eighth,False,False,False,False
P1,2,C#,C,1,5,240,eighth,False,False,False,False
P1,2,E,E,,5,240,eighth,False,False,False,False
P1,2,G#,G,1,5,240,eighth,False,False,False,False
P1,2,G#,G,1,4,240,eighth,False,False,False,False
P1,2,C#,C,1,5,240,eighth,False,False,False,False
P1,2,E,E,,5,240,eighth,False,False,False,False
P1,2,G#,G,1,5,240,eighth,False,False,False,False
P1,3,,,,,120,16th,False,True,False,False
P1,3,G#,G,1,2,120,16th,False,False,False,False
P1,3,B#,B,1,2,120,16th,False,False,False,False
P1,3,D#,D,1,3,120,16th,False,False,False,False
P1,3,G#,G,1,3,120,16th,False,False,False,False
P1,3,B#,B,1,2,120,16th,False,False,False,False
P1,3,D#,D,1,3,120,16th,False,False,False,False
P1,3,G#,G,1,3,120,16th,False,False,False,False
P1,3,B#,B,1,3,120,16th,False,False,False,False
P1,3,D#,D,1,3,120,16th,False,False,False,False
P1,3,G#,G,1,3,120,16th,False,False,False,False
P1,3,B#,B,1,3,120,16th,False,False,False,False
P1,3,D#,D,1,4,120,16th,False,False,False,False
P1,3,G#,G,1,3,120,16th,False,False,False,False
P1,3,B#,B,1,3,120,16th,False,False,False,False
P1,3,D#,D,1,4,120,16th,False,False,False,False
P1,4,G#,G,1,4,120,16th,False,False,False,False
P1,4,B#,B,1,3,120,16th,False,False,False,False
P1,4,D#,D,1,4,120,16th,False,False,False,False
P1,4,G#,G,1,4,120,16th,False,False,False,False
P1,4,B#,B,1,4,120,16th,False,False,False,False
P1,4,D#,D,1,4,120,16th,False,False,False,False
P1,4,G#,G,1,4,120,16th,False,False,False,False
P1,4,B#,B,1,4,120,16th,False,False,False,False
P1,4,D#,D,1,5,120,16th,False,False,False,False
P1,4,G#,G,1,4,120,16th,False,False,False,False
P1,4,B#,B,1,4,120,16th,False,False,False,False
P1,4,D#,D,1,5,120,16th,False,False,False,False
P1,4,G#,G,1,4,240,eighth,False,False,False,False
P1,4,B#,B,1,4,240,eighth,False,False,False,False
P1,4,D#,D,1,5,240,eighth,False,False,False,False
P1,4,G#,G,1,5,240,eighth,False,False,False,False
P1,4,G#,G,1,4,240,eighth,False,False,False,False
P1,4,B#,B,1,4,240,eighth,False,False,False,False
P1,4,D#,D,1,5,240,eighth,False,False,False,False
P1,4,G#,G,1,5,240,eighth,False,False,False,False
P1,5,,,,,120,16th,False,True,False,False
P1,5,C#,C,1,1,120,16th,False,False,False,False
P1,5,E#,E,1,1,120,16th,False,False,False,False
P1,5,G#,G,1,1,120,16th,False,False,False,False
P1,5,C#,C,1,2,120,16th,False,False,False,False
P1,5,E#,E,1,1,120,16th,False,False,False,False
P1,5,G#,G,1,1,120,16th,False,False,False,False
P1,5,C#,C,1,2,120,16th,False,False,False,False
P1,5,E#,E,1,2,120,16th,False,False,False,False
P1,5,G#,G,1,1,120,16th,False,False,False,False
P1,5,C#,C,1,2,120,16th,False,False,False,False
P1,5,E#,E,1,2,120,16th,False,False,False,False
P1,5,G#,G,1,2,120,16th,False,False,False,False
P1,5,C#,C,1,2,120,16th,False,False,False,False
P1,5,E#,E,1,2,120,16th,False,False,False,False
P1,5,G#,G,1,2,120,16th,False,False,False,False
P1,6,C#,C,1,3,120,16th,False,False,False,False
