part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,F#,F,1,4,240,eighth,False,False,False,False
P1,1,G,G,,4,240,eighth,False,False,False,False
P1,1,B,B,,4,240,eighth,False,False,False,False
P1,1,,,,,480,quarter,False,True,False,False
P1,1,,,,,480,quarter,False,True,False,False
P1,1,,,,,240,eighth,False,True,False,False
P1,1,A,A,,3,240,eighth,False,False,False,False
P1,1,B,B,,3,480,quarter,False,False,False,False
P1,1,,,,,480,quarter,False,True,False,False
P1,1,,,,,480,quarter,False,True,False,False
P1,1,,,,,240,eighth,False,True,False,False
P1,1,D,D,,4,240,eighth,False,False,False,False
P1,1,D,D,,4,480,quarter,False,False,False,False
P1,1,,,,,480,quarter,False,True,False,False
P1,1,,,,,480,quarter,False,True,False,False
P1,1,,,,,240,eighth,False,True,False,False
P1,1,,,,,240,eighth,False,True,False,False
P1,1,,,,,480,quarter,False,True,False,False
P1,1,,,,,480,quarter,False,True,False,False
P1,1,,,,,480,quarter,False,True,False,False
P1,1,,,,,240,eighth,False,True,False,False
P1,1,D,D,,3,240,eighth,False,False,False,False
P1,1,B,B,,2,240,eighth,False,False,False,False
P1,1,G,G,,2,240,eighth,False,False,False,False
P1,1,,,,,480,quarter,False,True,False,False
P1,1,,,,,480,quarter,False,True,False,False
P1,1,,,,,240,eighth,False,True,False,False
P1,2,F#,F,1,4,240,eighth,False,False,False,False
P1,2,G,G,,4,240,eighth,False,False,False,False
P1,2,B,B,,4,240,eighth,False,False,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,A,A,,3,240,eighth,False,False,False,False
P1,2,B,B,,3,480,quarter,False,False,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,D,D,,4,240,eighth,False,False,False,False
P1,2,D,D,,4,480,quarter,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,,,,,960,half,False,True,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,D,D,,3,240,eighth,False,False,False,False
P1,2,B,B,,2,240,eighth,False,False,False,False
P1,2,G,G,,2,240,eighth,False,False,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,3,B,B,,4,240,eighth,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,,,,,480,quarter,False,True,False,False
P1,3,,,,,480,quarter,False,True,False,False
P1,3,,,,,480,quarter,False,True,False,False
P1,3,A,A,,4,480,quarter,False,False,False,False
P1,3,G,G,,4,240,eighth,False,False,False,False
P1,3A,A,A,,4,240,eighth,False,False,False,False
P1,3A,D,D,,5,240,eighth,False,False,False,False
P1,3A,C#,C,1,5,240,eighth,False,False,False,False
P1,3A,G,G,,5,240,eighth,False,False,False,False
P1,3A,F#,F,1,5,240,eighth,False,False,False,False
P1,3A,B,B,,5,240,eighth,False,False,False,False
P1,3A,A,A,,5,240,eighth,False,False,False,False
P1,3A,E,E,,6,240,eighth,False,False,False,False
P1,3A,,,,,1920,whole,False,True,False,False
P1,3A,F#,F,1,4,480,quarter,False,False,False,False
P1,3A,E,E,,4,480,quarter,False,False,False,False
P1,3A,G,G,,4,480,quarter,False,False,False,False
P1,3A,D,D,,4,480,quarter,False,False,False,False
P1,3A,F#,F,1,4,480,quarter,False,False,False,False
P1,3A,C#,C,1,4,480,quarter,False,False,False,False
P1,3A,E,E,,4,480,quarter,False,False,False,False
P1,4,E,E,,6,120,16th,False,False,False,False
P1,4,D,D,,6,120,16th,False,False,False,False
P1,4,C#,C,1,6,120,16th,False,False,False,False
P1,4,B,B,,5,120,16th,False,False,False,False
