part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,0,Ab,A,-1,4,240,eighth,False,False,False,False
P1,0,Bb,B,-1,4,240,eighth,False,False,False,False
P1,0,,,,,480,quarter,False,True,False,False
P1,0,,,,,480,quarter,False,True,False,False
P1,1,C,C,,5,960,half,False,False,False,False
P1,1,D,D,,5,480,quarter,False,False,False,False
P1,1,Ab,A,-1,4,1440,half,True,False,False,False
P1,1,F,F,,4,1440,half,True,False,False,False
P1,2,Eb,E,-1,5,1440,half,True,False,False,False
P1,2,G,G,,4,960,half,False,False,False,False
P1,2,Bb,B,-1,4,480,quarter,False,False,False,False
P1,2,Eb,E,-1,4,480,quarter,False,False,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,2,G,G,,3,480,quarter,False,False,False,False
P1,3,Eb,E,-1,5,480,quarter,False,False,False,False
P1,3,F,F,,5,480,quarter,False,False,False,False
P1,3,D,D,,5,480,quarter,False,False,False,False
P1,3,C,C,,5,480,quarter,False,False,False,False
P1,3,Ab,A,-1,4,480,quarter,False,False,False,False
P1,3,Ab,A,-1,4,480,quarter,False,False,False,False
P1,3,Ab,A,-1,3,480,quarter,False,False,False,False
P1,3,F,F,,3,480,quarter,False,False,False,False
P1,3,Bb,B,-1,3,480,quarter,False,False,False,False
P1,4,Eb,E,-1,5,480,quarter,False,False,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,4,Db,D,-1,5,240,eighth,False,False,False,False
P1,4,Eb,E,-1,5,240,eighth,False,False,False,False
P1,4,G,G,,4,480,quarter,False,False,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,4,Eb,E,-1,3,480,quarter,False,False,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,5,F,F,,5,960,half,False,False,False,False
P1,5,G,G,,5,480,quarter,False,False,False,False
P1,5,Db,D,-1,5,1440,half,True,False,False,False
P1,5,Bb,B,-1,4,1440,half,True,False,False,False
P1,6,Ab,A,-1,5,1440,half,True,False,False,False
P1,6,C,C,,5,960,half,False,False,False,False
P1,6,Eb,E,-1,5,480,quarter,False,False,False,False
P1,6,Ab,A,-1,4,480,quarter,False,False,False,False
P1,6,,,,,480,quarter,False,True,False,False
P1,6,C,C,,4,480,quarter,False,False,False,False
P1,7,Ab,A,-1,5,480,quarter,False,False,False,False
P1,7,Bb,B,-1,5,480,quarter,False,False,False,False
P1,7,G,G,,5,480,quarter,False,False,False,False
P1,7,F,F,,5,480,quarter,False,False,False,False
P1,7,Db,D,-1,5,480,quarter,False,False,False,False
P1,7,Db,D,-1,5,480,quarter,False,False,False,False
P1,7,Db,D,-1,4,480,quarter,False,False,False,False
P1,7,Bb,B,-1,3,480,quarter,False,False,False,False
P1,7,Eb,E,-1,4,480,quarter,False,False,False,False
P1,8,Ab,A,-1,5,480,quarter,False,False,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,8,Ab,A,-1,4,240,eighth,False,False,False,False
P1,8,Bb,B,-1,4,240,eighth,False,False,False,False
P1,8,C,C,,5,480,quarter,False,False,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,8,Ab,A,-1,3,480,quarter,False,False,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,9,C,C,,5,480,quarter,False,False,False,False
P1,9,Db,D,-1,5,480,quarter,False,False,False,False
P1,9,D,D,,5,480,quarter,False,False,False,False
P1,9,Ab,A,-1,4,1440,half,True,False,False,False
P1,9,F,F,,4,1440,half,True,False,False,False
P1,10,Eb,E,-1,5,1440,half,True,False,False,False
P1,10,G,G,,4,480,quarter,False,False,False,False
P1,10,Ab,A,-1,4,480,quarter,False,False,False,False
P1,10,Bb,B,-1,4,480,quarter,False,False,False,False
P1,10,Eb,E,-1,4,480,quarter,False,False,False,False
P1,10,F,F,,4,480,quarter,False,False,False,False
P1,10,G,G,,4,480,quarter,False,False,False,False
P1,11,Eb,E,-1,5,480,quarter,False,False,False,False
P1,11,F,F,,5,480,quarter,False,False,False,False
P1,11,D,D,,5,480,quarter,False,False,False,False
P1,11,C,C,,5,480,quarter,False,False,False,False
P1,11,Ab,A,-1,4,480,quarter,False,False,False,False
P1,11,Ab,A,-1,4,480,quarter,False,False,False,False
P1,11,Ab,A,-1,3,480,quarter,False,False,False,False
P1,11,F,F,,3,480,quarter,False,False,False,False
P1,11,Bb,B,-1,3,480,quarter,False,False,False,False
P1,12,Eb,E,-1,5,480,quarter,False,False,False,False
P1,12,,,,,480,quarter,False,True,False,False
