part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,Ab,A,-1,5,240,eighth,False,False,False,False
P1,1,D,D,,6,240,eighth,False,False,False,False
P1,1,F,F,,6,240,eighth,False,False,False,False
P1,1,Ab,A,-1,6,240,eighth,False,False,False,False
P1,1,Bb,B,-1,3,120,16th,False,False,False,False
P1,1,A,A,,3,120,16th,False,False,False,False
P1,1,Bb,B,-1,3,120,16th,False,False,False,False
P1,1,D,D,,4,120,16th,False,False,False,False
P1,1,F,F,,4,120,16th,False,False,False,False
P1,1,D,D,,4,120,16th,False,False,False,False
P1,1,F,F,,4,120,16th,False,False,False,False
P1,1,Ab,A,-1,4,120,16th,False,False,False,False
P1,1,F,F,,4,120,16th,False,False,False,False
P1,1,D,D,,4,120,16th,False,False,False,False
P1,1,Bb,B,-1,3,240,eighth,False,False,False,False
P1,1,D,D,,4,240,eighth,False,False,False,False
P1,1,F,F,,4,240,eighth,False,False,False,False
P1,1,Ab,A,-1,4,240,eighth,False,False,False,False
P1,1,Bb,B,-1,2,120,16th,False,False,False,False
P1,1,D,D,,3,120,16th,False,False,False,False
P1,1,Bb,B,-1,2,120,16th,False,False,False,False
P1,1,D,D,,3,120,16th,False,False,False,False
P1,1,D,D,,3,120,16th,False,False,False,False
P1,1,F,F,,3,120,16th,False,False,False,False
P1,1,D,D,,3,120,16th,False,False,False,False
P1,1,F,F,,3,120,16th,False,False,False,False
P1,1,D,D,,3,120,16th,False,False,False,False
P1,1,F,F,,3,120,16th,False,False,False,False
P1,2,Ab,A,-1,4,120,16th,False,False,False,False
P1,2,F,F,,4,120,16th,False,False,False,False
P1,2,Ab,A,-1,4,120,16th,False,False,False,False
P1,2,Bb,B,-1,4,120,16th,False,False,False,False
P1,2,Ab,A,-1,4,120,16th,False,False,False,False
P1,2,F,F,,4,120,16th,False,False,False,False
P1,2,Bb,B,-1,4,120,16th,False,False,False,False
P1,2,Ab,A,-1,4,120,16th,False,False,False,False
P1,2,Bb,B,-1,4,120,16th,False,False,False,False
P1,2,D,D,,5,120,16th,False,False,False,False
P1,2,Bb,B,-1,4,120,16th,False,False,False,False
P1,2,Ab,A,-1,4,120,16th,False,False,False,False
