part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,,,,,480,quarter,False,True,False,False
P1,1,C,C,,4,480,quarter,False,False,False,False
P1,1,Eb,E,-1,4,480,quarter,False,False,False,False
P1,1,C,C,,4,480,quarter,False,False,False,False
P1,1,,,,,160,eighth,False,True,False,False
P1,1,Eb,E,-1,3,160,eighth,False,False,False,False
P1,1,G,G,,3,160,eighth,False,False,False,False
P1,1,,,,,160,eighth,False,True,False,False
P1,1,Eb,E,-1,3,160,eighth,False,False,False,False
P1,1,G,G,,3,160,eighth,False,False,False,False
P1,1,,,,,160,eighth,False,True,False,False
P1,1,Eb,E,-1,3,160,eighth,False,False,False,False
P1,1,G,G,,3,160,eighth,False,False,False,False
P1,1,,,,,160,eighth,False,True,False,False
P1,1,Eb,E,-1,3,160,eighth,False,False,False,False
P1,1,G,G,,3,160,eighth,False,False,False,False
P1,2,,,,,960,half,False,True,False,False
P1,2,B,B,,3,160,eighth,False,False,False,False
P1,2,F,F,,4,160,eighth,False,False,False,False
P1,2,D,D,,4,160,eighth,False,False,False,False
P1,2,Ab,A,-1,4,160,eighth,False,False,False,False
P1,2,F,F,,4,160,eighth,False,False,False,False
P1,2,B,B,,4,160,eighth,False,False,False,False
P1,2,D,D,,3,160,eighth,False,False,False,False
P1,2,Ab,A,-1,3,160,eighth,False,False,False,False
P1,2,F,F,,3,160,eighth,False,False,False,False
P1,2,B,B,,3,160,eighth,False,False,False,False
P1,2,Ab,A,-1,3,160,eighth,False,False,False,False
P1,2,D,D,,4,160,eighth,False,False,False,False
P1,2,,,,,960,half,False,True,False,False
P1,3,,,,,480,quarter,False,True,False,False
P1,3,Eb,E,-1,4,160,eighth,False,False,False,False
P1,3,C,C,,4,160,eighth,False,False,False,False
P1,3,G,G,,4,160,eighth,False,False,False,False
P1,3,Eb,E,-1,4,160,eighth,False,False,False,False
P1,3,C,C,,5,160,eighth,False,False,False,False
P1,3,G,G,,4,160,eighth,False,False,False,False
P1,3,Eb,E,-1,5,160,eighth,False,False,False,False
P1,3,C,C,,5,160,eighth,False,False,False,False
P1,3,G,G,,4,160,eighth,False,False,False,False
P1,3,Eb,E,-1,3,160,eighth,False,False,False,False
P1,3,C,C,,4,160,eighth,False,False,False,False
P1,3,G,G,,3,160,eighth,False,False,False,False
P1,3,,,,,480,quarter,False,True,False,False
P1,3,,,,,960,half,False,True,False,False
P1,4,C,C,,4,160,eighth,False,False,False,False
P1,4,F#,F,1,4,160,eighth,False,False,False,False
P1,4,Eb,E,-1,4,160,eighth,False,False,False,False
P1,4,A,A,,4,160,eighth,False,False,False,False
P1,4,F#,F,1,4,160,eighth,False,False,False,False
P1,4,C,C,,5,160,eighth,False,False,False,False
P1,4,A,A,,4,160,eighth,False,False,False,False
P1,4,Eb,E,-1,5,160,eighth,False,False,False,False
P1,4,C,C,,5,160,eighth,False,False,False,False
P1,4,F#,F,1,5,160,eighth,False,False,False,False
P1,4,Eb,E,-1,5,160,eighth,False,False,False,False
P1,4,A,A,,5,160,eighth,False,False,False,False
P1,4,G,G,,2,1920,whole,False,False,False,False
P1,5,F,F,,4,160,eighth,False,False,False,False
P1,5,B,B,,4,160,eighth,False,False,False,False
P1,5,Ab,A,-1,4,160,eighth,False,False,False,False
P1,5,D,D,,5,160,eighth,False,False,False,False
P1,5,B,B,,4,160,eighth,False,False,False,False
P1,5,F,F,,5,160,eighth,False,False,False,False
P1,5,D,D,,5,160,eighth,False,False,False,False
P1,5,Ab,A,-1,5,160,eighth,False,False,False,False
P1,5,F,F,,5,160,eighth,False,False,False,False
P1,5,B,B,,5,160,eighth,False,False,False,False
P1,5,Ab,A,-1,5,160,eighth,False,False,False,False
P1,5,D,D,,6,160,eighth,False,False,False,False
P1,5,G,G,,2,1920,whole,False,False,False,False
P1,6,B,B,,5,160,eighth,False,False,False,False
P1,6,F,F,,5,160,eighth,False,False,False,False
P1,6,Ab,A,-1,5,160,eighth,False,False,False,False
P1,6,D,D,,5,160,eighth,False,False,False,False
P1,6,F,F,,5,160,eighth,False,False,False,False
P1,6,B,B,,4,160,eighth,False,False,False,False
P1,6,D,D,,5,160,eighth,False,False,False,False
P1,6,Ab,A,-1,4,160,eighth,False,False,False,False
P1,6,B,B,,4,160,eighth,False,False,False,False
P1,6,F,F,,4,160,eighth,False,False,False,False
P1,6,Ab,A,-1,4,160,eighth,False,False,False,False
P1,6,D,D,,4,160,eighth,False,False,False,False
P1,6,G,G,,2,1920,whole,False,False,False,False
P1,7,F,F,,4,160,eighth,False,False,False,False
P1,7,B,B,,3,160,eighth,False,False,False,False
P1,7,D,D,,4,160,eighth,False,False,False,False
P1,7,Ab,A,-1,3,160,eighth,False,False,False,False
P1,7,B,B,,3,160,eighth,False,False,False,False
P1,7,F,F,,3,160,eighth,False,False,False,False
P1,7,Ab,A,-1,3,160,eighth,False,False,False,False
P1,7,D,D,,3,160,eighth,False,False,False,False
P1,7,F,F,,3,160,eighth,False,False,False,False
P1,7,C,C,,3,160,eighth,False,False,False,False
P1,7,F,F,,3,160,eighth,False,False,False,False
P1,7,Ab,A,-1,3,160,eighth,False,False,False,False
P1,7,G,G,,2,1920,whole,False,False,False,False
P1,8,,,,,160,eighth,False,True,False,False
P1,8,F,F,,3,160,eighth,False,False,False,False
P1,8,G,G,,3,160,eighth,False,False,False,False
P1,8,Ab,A,-1,3,160,eighth,False,False,False,False
P1,8,G,G,,3,160,eighth,False,False,False,False
P1,8,F,F,,3,160,eighth,False,False,False,False
P1,8,,,,,160,eighth,False,True,False,False
P1,8,F,F,,3,160,eighth,False,False,False,False
P1,8,Ab,A,-1,3,160,eighth,False,False,False,False
P1,8,,,,,160,eighth,False,True,False,False
P1,8,F,F,,3,160,eighth,False,False,False,False
P1,8,Ab,A,-1,3,160,eighth,False,False,False,False
P1,8,B,B,,2,960,half,False,False,False,False
P1,8,D,D,,3,480,quarter,False,False,False,False
P1,8,C,C,,3,480,quarter,False,False,False,False
P1,9,,,,,160,eighth,False,True,False,False
P1,9,F,F,,3,160,eighth,False,False,False,False
P1,9,G,G,,3,160,eighth,False,False,False,False
P1,9,Ab,A,-1,3,160,eighth,False,False,False,False
P1,9,G,G,,3,160,eighth,False,False,False,False
P1,9,F,F,,3,160,eighth,False,False,False,False
P1,9,,,,,160,eighth,False,True,False,False
P1,9,F,F,,3,160,eighth,False,False,False,False
P1,9,Ab,A,-1,3,160,eighth,False,False,False,False
P1,9,,,,,160,eighth,False,True,False,False
P1,9,F,F,,3,160,eighth,False,False,False,False
P1,9,Ab,A,-1,3,160,eighth,False,False,False,False
P1,9,B,B,,2,960,half,False,False,False,False
P1,9,Db,D,-1,3,480,quarter,False,False,False,False
P1,9,C,C,,3,480,quarter,False,False,False,False
P1,10,B,B,,2,160,eighth,False,False,False,False
P1,10,F,F,,3,160,eighth,False,False,False,False
P1,10,G,G,,3,160,eighth,False,False,False,False
P1,10,Ab,A,-1,3,160,eighth,False,False,False,False
P1,10,G,G,,3,160,eighth,False,False,False,False
P1,10,F,F,,3,160,eighth,False,False,False,False
P1,10,C,C,,3,160,eighth,False,False,False,False
P1,10,Eb,E,-1,3,160,eighth,False,False,False,False
P1,10,C,C,,4,160,eighth,False,False,False,False
P1,10,C,C,,3,160,eighth,False,False,False,False
P1,10,Eb,E,-1,3,160,eighth,False,False,False,False
P1,10,C,C,,4,160,eighth,False,False,False,False
P1,10,G,G,,2,960,half,False,False,False,False
P1,10,Ab,A,-1,2,960,half,False,False,False,False
P1,11,D,D,,3,160,eighth,False,False,False,False
P1,11,Ab,A,-1,3,160,eighth,False,False,False,False
P1,11,C,C,,4,160,eighth,False,False,False,False
P1,11,D,D,,3,160,eighth,False,False,False,False
P1,11,Ab,A,-1,3,160,eighth,False,False,False,False
P1,11,C,C,,4,160,eighth,False,False,False,False
P1,11,D,D,,3,160,eighth,False,False,False,False
P1,11,G,G,,3,160,eighth,False,False,False,False
P1,11,B,B,,3,160,eighth,False,False,False,False
