part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,0,A,A,,4,240,eighth,False,False,False,False
P1,0,A,A,,5,240,eighth,False,False,False,False
P1,0,A,A,,3,240,eighth,False,False,False,False
P1,1,E,E,,4,480,quarter,False,False,False,False
P1,1,E,E,,5,480,quarter,False,False,False,False
P1,1,,,,,240,eighth,False,True,False,False
P1,1,E,E,,4,60,32nd,False,False,False,False
P1,1,D,D,,4,60,32nd,False,False,False,False
P1,1,C#,C,1,4,60,32nd,False,False,False,False
P1,1,B,B,,3,60,32nd,False,False,False,False
P1,1,E,E,,3,480,quarter,False,False,False,False
P1,1,,,,,240,eighth,False,True,False,False
P1,1,E,E,,3,60,32nd,False,False,False,False
P1,1,D,D,,3,60,32nd,False,False,False,False
P1,1,C#,C,1,3,60,32nd,False,False,False,False
P1,1,B,B,,2,60,32nd,False,False,False,False
P1,2,A,A,,3,480,quarter,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,A,A,,4,240,eighth,False,False,False,False
P1,2,A,A,,5,240,eighth,False,False,False,False
P1,2,A,A,,2,480,quarter,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,A,A,,3,240,eighth,False,False,False,False
P1,3,F#,F,1,4,480,quarter,False,False,False,False
P1,3,F#,F,1,5,480,quarter,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,F#,F,1,4,60,32nd,False,False,False,False
P1,3,E,E,,4,60,32nd,False,False,False,False
P1,3,D,D,,4,60,32nd,False,False,False,False
P1,3,C#,C,1,4,60,32nd,False,False,False,False
P1,3,F#,F,1,3,480,quarter,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,F#,F,1,3,60,32nd,False,False,False,False
P1,3,E,E,,3,60,32nd,False,False,False,False
P1,3,D,D,,3,60,32nd,False,False,False,False
P1,3,C#,C,1,3,60,32nd,False,False,False,False
P1,4,B,B,,3,480,quarter,False,False,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,4,D,D,,5,240,eighth,False,False,False,False
P1,4,D,D,,6,240,eighth,False,False,False,False
P1,4,B,B,,2,480,quarter,False,False,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,4,D,D,,4,240,eighth,False,False,False,False
P1,5,B,B,,4,480,quarter,False,False,False,False
P1,5,B,B,,5,480,quarter,False,False,False,False
P1,5,G#,G,1,4,480,quarter,False,False,False,False
P1,5,G#,G,1,5,480,quarter,False,False,False,False
P1,5,B,B,,3,480,quarter,False,False,False,False
P1,5,G#,G,1,3,480,quarter,False,False,False,False
P1,6,E,E,,4,480,quarter,False,False,False,False
P1,6,E,E,,5,480,quarter,False,False,False,False
P1,6,D,D,,4,480,quarter,False,False,False,False
P1,6,D,D,,5,480,quarter,False,False,False,False
P1,6,E,E,,3,480,quarter,False,False,False,False
P1,6,D,D,,3,480,quarter,False,False,False,False
P1,7,B,B,,3,480,quarter,False,False,False,False
P1,7,B,B,,4,480,quarter,False,False,False,False
P1,7,G#,G,1,3,480,quarter,False,False,False,False
P1,7,G#,G,1,4,480,quarter,False,False,False,False
P1,7,B,B,,2,480,quarter,False,False,False,False
P1,7,G#,G,1,2,480,quarter,False,False,False,False
P1,8,E,E,,3,480,quarter,False,False,False,False
P1,8,E,E,,4,480,quarter,False,False,False,False
P1,8,,,,,240,eighth,False,True,False,False
P1,8,A,A,,3,80,16th,False,False,False,False
P1,8,C#,C,1,4,80,16th,False,False,False,False
P1,8,E,E,,4,80,16th,False,False,False,False
P1,8,E,E,,2,480,quarter,False,False,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,9,A,A,,4,240,eighth,False,False,False,False
P1,9,B,B,,4,240,eighth,False,False,False,False
P1,9,C#,C,1,5,240,eighth,False,False,False,False
P1,9,D,D,,5,240,eighth,False,False,False,False
