part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,,,,,240,eighth,False,True,False,False
P1,1,C,C,,3,240,eighth,False,False,False,False
P1,1,E,E,,3,240,eighth,False,False,False,False
P1,1,C,C,,3,240,eighth,False,False,False,False
P1,1,E,E,,3,240,eighth,False,False,False,False
P1,1,C,C,,3,240,eighth,False,False,False,False
P1,1,E,E,,3,240,eighth,False,False,False,False
P1,1,C,C,,3,240,eighth,False,False,False,False
P1,1,E,E,,3,240,eighth,False,False,False,False
P1,1,C,C,,3,240,eighth,False,False,False,False
P1,1,E,E,,3,240,eighth,False,False,False,False
P1,1,C,C,,3,240,eighth,False,False,False,False
P1,1,E,E,,3,240,eighth,False,False,False,False
P1,1,C,C,,3,240,eighth,False,False,False,False
P1,1,E,E,,3,240,eighth,False,False,False,False
P1,1,,,,,240,eighth,False,True,False,False
P1,1,,,,,240,eighth,False,True,False,False
P1,1,,,,,480,quarter,False,True,False,False
P1,1,,,,,480,quarter,False,True,False,False
P1,1,,,,,480,quarter,False,True,False,False
P1,1,C,C,,2,240,eighth,False,False,False,False
P1,1,C,C,,2,240,eighth,False,False,False,False
P1,1,G,G,,2,240,eighth,False,False,False,False
P1,1,C,C,,2,240,eighth,False,False,False,False
P1,1,G,G,,2,240,eighth,False,False,False,False
P1,1,C,C,,2,240,eighth,False,False,False,False
P1,1,G,G,,2,240,eighth,False,False,False,False
P1,1,C,C,,2,240,eighth,False,False,False,False
P1,1,G,G,,2,240,eighth,False,False,False,False
P1,1,C,C,,2,240,eighth,False,False,False,False
P1,1,G,G,,2,240,eighth,False,False,False,False
P1,1,C,C,,2,240,eighth,False,False,False,False
P1,1,G,G,,2,240,eighth,False,False,False,False
P1,1,C,C,,2,240,eighth,False,False,False,False
P1,1,G,G,,2,240,eighth,False,False,False,False
P1,2,C,C,,3,240,eighth,False,False,False,False
P1,2,E,E,,3,240,eighth,False,False,False,False
P1,2,C,C,,3,240,eighth,False,False,False,False
P1,2,E,E,,3,240,eighth,False,False,False,False
P1,2,C,C,,3,240,eighth,False,False,False,False
P1,2,E,E,,3,240,eighth,False,False,False,False
P1,2,C,C,,3,240,eighth,False,False,False,False
P1,2,E,E,,3,240,eighth,False,False,False,False
P1,2,C,C,,3,240,eighth,False,False,False,False
P1,2,E,E,,3,240,eighth,False,False,False,False
P1,2,C,C,,3,240,eighth,False,False,False,False
P1,2,E,E,,3,240,eighth,False,False,False,False
P1,2,D,D,,3,240,eighth,False,False,False,False
P1,2,F#,F,1,3,240,eighth,False,False,False,False
P1,2,D,D,,3,240,eighth,False,False,False,False
P1,2,F#,F,1,3,240,eighth,False,False,False,False
P1,2,,,,,1920,whole,False,True,False,False
P1,2,C,C,,2,240,eighth,False,False,False,False
P1,2,G,G,,2,240,eighth,False,False,False,False
P1,2,C,C,,2,240,eighth,False,False,False,False
P1,2,G,G,,2,240,eighth,False,False,False,False
P1,2,C,C,,2,240,eighth,False,False,False,False
P1,2,G,G,,2,240,eighth,False,False,False,False
P1,2,C,C,,2,240,eighth,False,False,False,False
P1,2,G,G,,2,240,eighth,False,False,False,False
P1,2,C,C,,2,240,eighth,False,False,False,False
P1,2,G,G,,2,240,eighth,False,False,False,False
P1,2,C,C,,2,240,eighth,False,False,False,False
P1,2,G,G,,2,240,eighth,False,False,False,False
P1,2,C,C,,2,240,eighth,False,False,False,False
