part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,B,B,,4,480,quarter,False,False,False,False
P1,1,D,D,,5,240,eighth,False,False,False,False
P1,1,D,D,,5,240,eighth,False,False,False,False
P1,1,G,G,,3,240,eighth,False,False,False,False
P1,1,B,B,,3,240,eighth,False,False,False,False
P1,1,D,D,,4,240,eighth,False,False,False,False
P1,1,G,G,,3,240,eighth,False,False,False,False
P1,1,B,B,,3,240,eighth,False,False,False,False
P1,1,D,D,,4,240,eighth,False,False,False,False
P1,1,G,G,,3,240,eighth,False,False,False,False
P1,1,B,B,,3,240,eighth,False,False,False,False
P1,1,D,D,,4,240,eighth,False,False,False,False
P1,1,G,G,,3,240,eighth,False,False,False,False
P1,1,B,B,,3,240,eighth,False,False,False,False
P1,1,D,D,,4,240,eighth,False,False,False,False
P1,2,G,G,,5,240,eighth,False,False,False,False
P1,2,G,G,,5,240,eighth,False,False,False,False
P1,2,B,B,,5,480,quarter,False,False,False,False
P1,2,G,G,,3,240,eighth,False,False,False,False
P1,2,B,B,,3,240,eighth,False,False,False,False
P1,2,D,D,,4,240,eighth,False,False,False,False
P1,2,G,G,,3,240,eighth,False,False,False,False
P1,2,B,B,,3,240,eighth,False,False,False,False
P1,2,D,D,,4,240,eighth,False,False,False,False
P1,2,G,G,,3,240,eighth,False,False,False,False
P1,2,B,B,,3,240,eighth,False,False,False,False
P1,2,D,D,,4,240,eighth,False,False,False,False
P1,2,G,G,,3,240,eighth,False,False,False,False
P1,2,B,B,,3,240,eighth,False,False,False,False
P1,2,D,D,,4,240,eighth,False,False,False,False
P1,3,D,D,,6,120,16th,False,False,False,False
P1,3,C,C,,6,120,16th,False,False,False,False
P1,3,D,D,,6,120,16th,False,False,False,False
P1,3,C,C,,6,120,16th,False,False,False,False
P1,3,A,A,,5,240,eighth,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,G,G,,3,240,eighth,False,False,False,False
P1,3,C,C,,4,240,eighth,False,False,False,False
P1,3,D,D,,4,240,eighth,False,False,False,False
P1,3,F#,F,1,4,240,eighth,False,False,False,False
P1,3,G,G,,3,240,eighth,False,False,False,False
P1,3,C,C,,4,240,eighth,False,False,False,False
P1,3,D,D,,4,240,eighth,False,False,False,False
P1,3,F#,F,1,4,240,eighth,False,False,False,False
P1,3,G,G,,3,240,eighth,False,False,False,False
P1,3,C,C,,4,240,eighth,False,False,False,False
P1,3,D,D,,4,240,eighth,False,False,False,False
P1,3,F#,F,1,4,240,eighth,False,False,False,False
P1,3,G,G,,3,240,eighth,False,False,False,False
P1,3,C,C,,4,240,eighth,False,False,False,False
P1,3,D,D,,4,240,eighth,False,False,False,False
P1,3,F#,F,1,4,240,eighth,False,False,False,False
P1,4,D,D,,6,120,16th,False,False,False,False
P1,4,C,C,,6,120,16th,False,False,False,False
P1,4,D,D,,6,120,16th,False,False,False,False
P1,4,C,C,,6,120,16th,False,False,False,False
P1,4,A,A,,5,240,eighth,False,False,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,4,G,G,,3,240,eighth,False,False,False,False
P1,4,C,C,,4,240,eighth,False,False,False,False
P1,4,D,D,,4,240,eighth,False,False,False,False
P1,4,F#,F,1,4,240,eighth,False,False,False,False
P1,4,G,G,,3,240,eighth,False,False,False,False
P1,4,C,C,,4,240,eighth,False,False,False,False
P1,4,D,D,,4,240,eighth,False,False,False,False
P1,4,F#,F,1,4,240,eighth,False,False,False,False
P1,4,G,G,,3,240,eighth,False,False,False,False
P1,4,C,C,,4,240,eighth,False,False,False,False
P1,4,D,D,,4,240,eighth,False,False,False,False
P1,4,F#,F,1,4,240,eighth,False,False,False,False
P1,4,G,G,,3,240,eighth,False,False,False,False
P1,4,C,C,,4,240,eighth,False,False,False,False
P1,4,D,D,,4,240,eighth,False,False,False,False
P1,4,F#,F,1,4,240,eighth,False,False,False,False
P1,5,B,B,,4,480,quarter,False,False,False,False
P1,5,D,D,,5,240,eighth,False,False,False,False
P1,5,D,D,,5,240,eighth,False,False,False,False
P1,5,G,G,,3,240,eighth,False,False,False,False
P1,5,B,B,,3,240,eighth,False,False,False,False
P1,5,D,D,,4,240,eighth,False,False,False,False
P1,5,G,G,,3,240,eighth,False,False,False,False
P1,5,B,B,,3,240,eighth,False,False,False,False
P1,5,D,D,,4,240,eighth,False,False,False,False
P1,5,G,G,,3,240,eighth,False,False,False,False
P1,5,B,B,,3,240,eighth,False,False,False,False
P1,5,D,D,,4,240,eighth,False,False,False,False
P1,5,G,G,,3,240,eighth,False,False,False,False
P1,5,B,B,,3,240,eighth,False,False,False,False
P1,5,D,D,,4,240,eighth,False,False,False,False
P1,6,G,G,,5,240,eighth,False,False,False,False
P1,6,G,G,,5,240,eighth,False,False,False,False
P1,6,B,B,,5,480,quarter,False,False,False,False
P1,6,G,G,,3,240,eighth,False,False,False,False
