part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,0,,,,,480,quarter,False,True,False,False
P1,1,,,,,1440,whole,False,True,False,False
P1,2,,,,,1440,whole,False,True,False,False
P1,3,,,,,1440,whole,False,True,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,4,G,G,,5,480,quarter,False,False,False,False
P1,5,G,G,,5,480,quarter,False,False,False,False
P1,5,F,F,,5,480,quarter,False,False,False,False
P1,5,E,E,,5,480,quarter,False,False,False,False
P1,6,E,E,,5,480,quarter,False,False,False,False
P1,6,D,D,,5,480,quarter,False,False,False,False
P1,6,C,C,,5,480,quarter,False,False,False,False
P1,7,D,D,,5,480,quarter,False,False,False,False
P1,7,D,D,,5,480,quarter,False,False,False,False
P1,7,D,D,,5,480,quarter,False,False,False,False
P1,8,D,D,,5,480,quarter,False,False,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,9,,,,,1440,whole,False,True,False,False
P1,10,,,,,1440,whole,False,True,False,False
P1,11,,,,,1440,whole,False,True,False,False
P1,12,,,,,480,quarter,False,True,False,False
P1,12,,,,,480,quarter,False,True,False,False
P1,12,G,G,,5,480,quarter,False,False,False,False
P1,13,G,G,,5,480,quarter,False,False,False,False
P1,13,F#,F,1,5,480,quarter,False,False,False,False
P1,13,G,G,,5,480,quarter,False,False,False,False
P1,14,G#,G,1,5,480,quarter,False,False,False,False
P1,14,A,A,,5,480,quarter,False,False,False,False
P1,14,B,B,,5,480,quarter,False,False,False,False
P1,15,B,B,,5,480,quarter,False,False,False,False
P1,15,C,C,,6,480,quarter,False,False,False,False
P1,15,F#,F,1,5,480,quarter,False,False,False,False
P1,16,G,G,,5,480,quarter,False,False,False,False
P1,16,,,,,480,quarter,False,True,False,False
P1,17,D,D,,4,480,quarter,False,False,False,False
P1,18,G,G,,4,480,quarter,False,False,False,False
P1,18,B,B,,4,480,quarter,False,False,False,False
P1,18,D,D,,5,480,quarter,False,False,False,False
P1,19,G,G,,5,480,quarter,False,False,False,False
P1,19,,,,,480,quarter,False,True,False,False
P1,19,G,G,,4,480,quarter,False,False,False,False
P1,20,B,B,,4,480,quarter,False,False,False,False
P1,20,D,D,,5,480,quarter,False,False,False,False
P1,20,G,G,,5,480,quarter,False,False,False,False
P1,21,B,B,,5,480,quarter,False,False,False,False
P1,21,,,,,480,quarter,False,True,False,False
