part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,,,,,960,,False,True,False,False
P1,2,,,,,960,,False,True,False,False
P1,3,,,,,960,,False,True,False,False
P1,4,,,,,960,,False,True,False,False
P1,5,,,,,960,,False,True,False,False
P1,6,,,,,960,,False,True,False,False
P1,7,,,,,960,,False,True,False,False
P1,8,,,,,960,,False,True,False,False
P1,9,,,,,960,,False,True,False,False
P1,10,,,,,960,,False,True,False,False
P1,11,,,,,960,,False,True,False,False
P1,12,,,,,960,whole,False,True,False,False
P1,13,,,,,960,whole,False,True,False,False
P1,14,A,A,,4,480,quarter,False,False,False,False
P1,14,B,B,,4,480,quarter,False,False,False,False
P1,15,G,G,,4,480,quarter,False,False,False,False
P1,15,A,A,,4,480,quarter,False,False,False,False
P1,16,B,B,,4,480,quarter,False,False,False,False
P1,16,B,B,,4,240,eighth,False,False,False,False
P1,16,B,B,,4,240,eighth,False,False,False,False
P1,17,B,B,,4,240,eighth,False,False,False,False
P1,17,B,B,,4,120,16th,False,False,False,False
P1,17,B,B,,4,120,16th,False,False,False,False
P1,17,B,B,,4,240,eighth,False,False,False,False
P1,17,B,B,,4,240,eighth,False,False,False,False
P1,18,E,E,,4,480,quarter,False,False,False,False
P1,18,F#,F,1,4,360,eighth,True,False,False,False
P1,18,E,E,,4,120,16th,False,False,False,False
P1,19,E,E,,4,240,eighth,False,False,False,False
P1,19,,,,,240,eighth,False,True,False,False
P1,19,,,,,480,quarter,False,True,False,False
P1,20,,,,,960,whole,False,True,False,False
P1,21,G,G,,4,480,quarter,False,False,False,False
P1,21,A,A,,4,480,quarter,False,False,False,False
P1,22,D,D,,4,240,eighth,False,False,False,False
P1,22,E,E,,4,240,eighth,False,False,False,False
P1,22,G,G,,4,480,quarter,False,False,False,False
P1,23,G,G,,4,480,quarter,False,False,False,False
P1,23,G,G,,4,240,eighth,False,False,False,False
P1,23,G,G,,4,240,eighth,False,False,False,False
P1,24,G,G,,4,240,eighth,False,False,False,False
P1,24,F,F,,4,120,16th,False,False,False,False
P1,24,F,F,,4,120,16th,False,False,False,False
P1,24,F,F,,4,240,eighth,False,False,False,False
P1,24,F,F,,4,240,eighth,False,False,False,False
