part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,0,C,C,,4,480,quarter,False,False,False,False
P1,0,,,,,480,quarter,False,True,False,False
P1,1,F,F,,4,480,quarter,False,False,False,False
P1,1,Ab,A,-1,4,480,quarter,False,False,False,False
P1,1,C,C,,5,480,quarter,False,False,False,False
P1,1,F,F,,5,480,quarter,False,False,False,False
P1,1,,,,,1920,whole,False,True,False,False
P1,2,Ab,A,-1,5,720,quarter,True,False,False,False
P1,2,G,G,,5,80,16th,False,False,False,False
P1,2,F,F,,5,80,16th,False,False,False,False
P1,2,E,E,,5,80,16th,False,False,False,False
P1,2,F,F,,5,480,quarter,False,False,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,2,F,F,,3,480,quarter,False,False,False,False
P1,2,Ab,A,-1,3,480,quarter,False,False,False,False
P1,2,C,C,,4,480,quarter,False,False,False,False
P1,2,F,F,,3,480,quarter,False,False,False,False
P1,2,Ab,A,-1,3,480,quarter,False,False,False,False
P1,2,C,C,,4,480,quarter,False,False,False,False
P1,2,F,F,,3,480,quarter,False,False,False,False
P1,2,Ab,A,-1,3,480,quarter,False,False,False,False
P1,2,C,C,,4,480,quarter,False,False,False,False
P1,3,G,G,,4,480,quarter,False,False,False,False
P1,3,C,C,,5,480,quarter,False,False,False,False
P1,3,E,E,,5,480,quarter,False,False,False,False
P1,3,G,G,,5,480,quarter,False,False,False,False
P1,3,E,E,,3,480,quarter,False,False,False,False
P1,3,G,G,,3,480,quarter,False,False,False,False
P1,3,Bb,B,-1,3,480,quarter,False,False,False,False
P1,3,C,C,,4,480,quarter,False,False,False,False
P1,3,,,,,480,quarter,False,True,False,False
P1,3,,,,,960,half,False,True,False,False
P1,4,Bb,B,-1,5,720,quarter,True,False,False,False
P1,4,Ab,A,-1,5,80,16th,False,False,False,False
P1,4,G,G,,5,80,16th,False,False,False,False
P1,4,F,F,,5,80,16th,False,False,False,False
P1,4,G,G,,5,480,quarter,False,False,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,4,E,E,,3,480,quarter,False,False,False,False
P1,4,G,G,,3,480,quarter,False,False,False,False
P1,4,Bb,B,-1,3,480,quarter,False,False,False,False
P1,4,C,C,,4,480,quarter,False,False,False,False
P1,4,E,E,,3,480,quarter,False,False,False,False
P1,4,G,G,,3,480,quarter,False,False,False,False
P1,4,Bb,B,-1,3,480,quarter,False,False,False,False
P1,4,C,C,,4,480,quarter,False,False,False,False
P1,4,E,E,,3,480,quarter,False,False,False,False
P1,4,G,G,,3,480,quarter,False,False,False,False
P1,4,Bb,B,-1,3,480,quarter,False,False,False,False
P1,4,C,C,,4,480,quarter,False,False,False,False
P1,5,C,C,,5,,eighth,False,False,True,False
P1,5,Ab,A,-1,5,720,quarter,True,False,False,False
P1,5,G,G,,5,80,16th,False,False,False,False
P1,5,F,F,,5,80,16th,False,False,False,False
P1,5,E,E,,5,80,16th,False,False,False,False
P1,5,F,F,,5,480,quarter,False,False,False,False
P1,5,,,,,480,quarter,False,True,False,False
P1,5,,,,,480,quarter,False,True,False,False
P1,5,F,F,,3,480,quarter,False,False,False,False
P1,5,Ab,A,-1,3,480,quarter,False,False,False,False
P1,5,C,C,,4,480,quarter,False,False,False,False
P1,5,F,F,,3,480,quarter,False,False,False,False
P1,5,Ab,A,-1,3,480,quarter,False,False,False,False
P1,5,C,C,,4,480,quarter,False,False,False,False
P1,5,F,F,,3,480,quarter,False,False,False,False
P1,5,Ab,A,-1,3,480,quarter,False,False,False,False
P1,5,C,C,,4,480,quarter,False,False,False,False
P1,6,C,C,,5,,eighth,False,False,True,False
P1,6,Bb,B,-1,5,720,quarter,True,False,False,False
P1,6,Ab,A,-1,5,80,16th,False,False,False,False
P1,6,G,G,,5,80,16th,False,False,False,False
P1,6,F,F,,5,80,16th,False,False,False,False
