part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,0,A,A,,4,480,quarter,False,False,False,False
P1,1,D,D,,5,480,quarter,False,False,False,False
P1,1,C#,C,1,5,480,quarter,False,False,False,False
P1,1,D,D,,5,480,quarter,False,False,False,False
P1,1,C#,C,1,5,,eighth,False,False,True,False
P1,2,D,D,,5,,eighth,False,False,True,False
P1,2,E,E,,5,960,half,False,False,False,False
P1,2,F#,F,1,5,480,quarter,False,False,False,False
P1,3,F#,F,1,5,480,quarter,False,False,False,False
P1,3,G,G,,5,480,quarter,False,False,False,False
P1,3,E,E,,5,480,quarter,False,False,False,False
P1,4,D,D,,5,240,eighth,False,False,False,False
P1,4,C#,C,1,5,240,eighth,False,False,False,False
P1,4,A,A,,5,480,quarter,False,False,False,False
P1,4,A,A,,5,120,16th,False,False,False,False
P1,4,F#,F,1,5,120,16th,False,False,False,False
P1,4,G,G,,5,120,16th,False,False,False,False
P1,4,E,E,,5,120,16th,False,False,False,False
P1,5,D,D,,5,480,quarter,False,False,False,False
P1,5,C#,C,1,5,480,quarter,False,False,False,False
P1,5,D,D,,5,480,quarter,False,False,False,False
P1,5,C#,C,1,5,,eighth,False,False,True,False
P1,6,D,D,,5,,eighth,False,False,True,False
P1,6,E,E,,5,960,half,False,False,False,False
P1,6,F#,F,1,5,480,quarter,False,False,False,False
P1,7,F#,F,1,5,480,quarter,False,False,False,False
P1,7,G,G,,5,480,quarter,False,False,False,False
P1,7,E,E,,5,480,quarter,False,False,False,False
P1,8,D,D,,5,480,quarter,False,False,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,9,E,E,,5,480,quarter,False,False,False,False
P1,10,G#,G,1,5,120,16th,False,False,False,False
P1,10,A,A,,5,120,16th,False,False,False,False
P1,10,G#,G,1,5,120,16th,False,False,False,False
P1,10,A,A,,5,120,16th,False,False,False,False
P1,10,A,A,,4,480,quarter,False,False,False,False
P1,10,,,,,480,quarter,False,True,False,False
P1,11,A,A,,4,160,eighth,False,False,False,False
P1,11,C#,C,1,5,160,eighth,False,False,False,False
P1,11,E,E,,5,160,eighth,False,False,False,False
P1,11,A,A,,5,160,eighth,False,False,False,False
P1,11,C#,C,1,6,160,eighth,False,False,False,False
P1,11,E,E,,6,160,eighth,False,False,False,False
P1,11,A,A,,6,480,quarter,False,False,False,False
P1,12,F#,F,1,5,120,16th,False,False,False,False
P1,12,G,G,,5,120,16th,False,False,False,False
P1,12,F#,F,1,5,120,16th,False,False,False,False
P1,12,G,G,,5,120,16th,False,False,False,False
P1,12,A,A,,4,480,quarter,False,False,False,False
P1,12,,,,,480,quarter,False,True,False,False
P1,13,A,A,,4,160,eighth,False,False,False,False
P1,13,C#,C,1,5,160,eighth,False,False,False,False
P1,13,E,E,,5,160,eighth,False,False,False,False
P1,13,A,A,,5,160,eighth,False,False,False,False
P1,13,C#,C,1,6,160,eighth,False,False,False,False
P1,13,E,E,,6,160,eighth,False,False,False,False
P1,13,G,G,,6,480,quarter,False,False,False,False
P1,14,D,D,,5,480,quarter,False,False,False,False
P1,14,C#,C,1,5,480,quarter,False,False,False,False
P1,14,D,D,,5,480,quarter,False,False,False,False
P1,14,C#,C,1,5,,eighth,False,False,True,False
P1,15,D,D,,5,,eighth,False,False,True,False
P1,15,E,E,,5,960,half,False,False,False,False
P1,15,E#,E,1,5,480,quarter,False,False,False,False
P1,16,F#,F,1,5,480,quarter,False,False,False,False
P1,16,E,E,,5,480,quarter,False,False,False,False
P1,16,F#,F,1,5,480,quarter,False,False,False,False
P1,16,E,E,,5,,eighth,False,False,True,False
P1,17,F#,F,1,5,,eighth,False,False,True,False
P1,17,G,G,,5,480,quarter,False,False,False,False
P1,17,G,G,,5,480,quarter,False,False,False,False
P1,17,G#,G,1,5,480,quarter,False,False,False,False
P1,18,A,A,,5,480,quarter,False,False,False,False
P1,18,G#,G,1,5,480,quarter,False,False,False,False
P1,18,A#,A,1,5,480,quarter,False,False,False,False
P1,18,G#,G,1,5,,eighth,False,False,True,False
P1,19,A#,A,1,5,,eighth,False,False,True,False
P1,19,B,B,,5,960,half,False,False,False,False
P1,19,E,E,,6,480,quarter,False,False,False,False
P1,20,E,E,,6,480,quarter,False,False,False,False
P1,20,D,D,,6,480,quarter,False,False,False,False
P1,20,C#,C,1,6,480,quarter,False,False,False,False
P1,21,D,D,,6,240,eighth,False,False,False,False
P1,21,F#,F,1,5,120,16th,False,False,False,False
P1,21,G,G,,5,120,16th,False,False,False,False
P1,21,A,A,,5,480,quarter,False,False,False,False
P1,21,,,,,480,quarter,False,True,False,False
P1,22,,,,,240,eighth,False,True,False,False
P1,22,D,D,,5,120,16th,False,False,False,False
P1,22,E,E,,5,120,16th,False,False,False,False
P1,22,F#,F,1,5,480,quarter,False,False,False,False
P1,22,E,E,,5,480,quarter,False,False,False,False
P1,23,D,D,,5,480,quarter,False,False,False,False
P1,23,,,,,960,half,False,True,False,False
P1,24,,,,,240,eighth,False,True,False,False
P1,24,D,D,,6,120,16th,False,False,False,False
P1,24,E,E,,6,120,16th,False,False,False,False
P1,24,F#,F,1,6,480,quarter,False,False,False,False
P1,24,E,E,,6,480,quarter,False,False,False,False
