part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,,,,,960,half,False,True,False,False
P1,2,,,,,960,half,False,True,False,False
P1,3,,,,,960,half,False,True,False,False
P1,4,,,,,960,half,False,True,False,False
P1,5,,,,,960,half,False,True,False,False
P1,6,,,,,960,half,False,True,False,False
P1,7,,,,,960,half,False,True,False,False
P1,8,,,,,240,eighth,False,True,False,False
P1,8,,,,,120,16th,False,True,False,False
P1,8,D,D,,5,120,16th,False,False,False,False
P1,8,E,E,,5,120,16th,False,False,False,False
P1,8,F#,F,1,5,120,16th,False,False,False,False
P1,8,G,G,,5,120,16th,False,False,False,False
P1,8,A,A,,5,120,16th,False,False,False,False
P1,9,B,B,,5,480,quarter,False,False,False,False
P1,9,A,A,,5,360,eighth,True,False,False,False
P1,9,B,B,,5,60,32nd,False,False,False,False
P1,9,C,C,,6,60,32nd,False,False,False,False
P1,10,D,D,,6,720,quarter,True,False,False,False
P1,10,G,G,,5,240,eighth,False,False,False,False
P1,11,F#,F,1,5,240,eighth,False,False,False,False
P1,11,G,G,,5,240,eighth,False,False,False,False
P1,11,A,A,,5,240,eighth,False,False,False,False
P1,11,C,C,,6,180,16th,True,False,False,False
P1,11,B,B,,5,60,32nd,False,False,False,False
P1,12,B,B,,5,480,quarter,False,False,False,False
P1,12,A,A,,5,240,eighth,False,False,False,False
P1,12,B,B,,5,240,eighth,False,False,False,False
P1,13,C,C,,6,480,quarter,False,False,False,False
P1,13,B,B,,5,480,quarter,False,False,False,False
P1,14,E,E,,6,720,quarter,True,False,False,False
P1,14,A,A,,5,240,eighth,False,False,False,False
P1,15,A,A,,5,240,eighth,False,False,False,False
P1,15,A,A,,5,240,eighth,False,False,False,False
P1,15,A,A,,5,240,eighth,False,False,False,False
P1,15,B,B,,5,180,16th,True,False,False,False
P1,15,A,A,,5,60,32nd,False,False,False,False
P1,16,A,A,,5,240,eighth,False,False,False,False
P1,16,,,,,240,eighth,False,True,False,False
P1,16,,,,,480,quarter,False,True,False,False
P1,17,,,,,960,half,False,True,False,False
P1,18,,,,,960,half,False,True,False,False
P1,19,,,,,960,half,False,True,False,False
P1,20,,,,,960,half,False,True,False,False
P1,21,,,,,960,half,False,True,False,False
P1,22,,,,,960,half,False,True,False,False
P1,23,,,,,960,half,False,True,False,False
P1,24,,,,,480,quarter,False,True,False,False
P1,24,,,,,240,eighth,False,True,False,False
P1,24,D,D,,5,240,eighth,False,False,False,False
P1,25,C,C,,6,480,quarter,False,False,False,False
P1,25,B,B,,5,360,eighth,True,False,False,False
P1,25,G,G,,5,120,16th,False,False,False,False
P1,26,F#,F,1,5,480,quarter,False,False,False,False
P1,26,G,G,,5,240,eighth,False,False,False,False
P1,26,G,G,,5,240,eighth,False,False,False,False
P1,27,E,E,,6,480,quarter,False,False,False,False
P1,27,D,D,,6,360,eighth,True,False,False,False
P1,27,B,B,,5,120,16th,False,False,False,False
P1,28,D,D,,6,240,eighth,False,False,False,False
P1,28,C,C,,6,480,quarter,False,False,False,False
P1,28,B,B,,5,240,eighth,False,False,False,False
P1,29,B,B,,5,120,16th,False,False,False,False
P1,29,A,A,,5,120,16th,False,False,False,False
P1,29,A,A,,5,240,eighth,False,False,False,False
P1,29,A,A,,5,240,eighth,False,False,False,False
P1,29,A,A,,5,240,eighth,False,False,False,False
P1,30,A,A,,5,720,quarter,True,False,False,False
P1,30,B,B,,5,120,16th,False,False,False,False
P1,30,C,C,,6,120,16th,False,False,False,False
P1,31,D,D,,6,480,quarter,False,False,False,False
P1,31,D,D,,6,120,16th,False,False,False,False
P1,31,B,B,,5,120,16th,False,False,False,False
P1,31,C,C,,6,120,16th,False,False,False,False
P1,31,A,A,,5,120,16th,False,False,False,False
P1,32,A,A,,5,480,quarter,False,False,False,False
P1,32,G,G,,5,240,eighth,False,False,False,False
P1,33,D,D,,5,240,eighth,False,False,False,False
P1,34,B,B,,5,120,16th,False,False,False,False
P1,34,D,D,,5,120,16th,False,False,False,False
P1,34,B,B,,4,120,16th,False,False,False,False
P1,34,B,B,,5,120,16th,False,False,False,False
P1,34,A,A,,5,120,16th,False,False,False,False
P1,34,D,D,,5,120,16th,False,False,False,False
P1,34,A,A,,4,120,16th,False,False,False,False
P1,34,A,A,,5,120,16th,False,False,False,False
P1,35,G,G,,5,60,32nd,False,False,False,False
P1,35,G,G,,4,60,32nd,False,False,False,False
P1,35,A,A,,4,60,32nd,False,False,False,False
P1,35,B,B,,4,60,32nd,False,False,False,False
P1,35,C,C,,5,60,32nd,False,False,False,False
P1,35,D,D,,5,60,32nd,False,False,False,False
P1,35,E,E,,5,60,32nd,False,False,False,False
P1,35,F#,F,1,5,60,32nd,False,False,False,False
P1,35,G,G,,5,60,32nd,False,False,False,False
P1,35,A,A,,5,60,32nd,False,False,False,False
P1,35,B,B,,5,60,32nd,False,False,False,False
P1,35,C,C,,6,60,32nd,False,False,False,False
P1,35,D,D,,6,60,32nd,False,False,False,False
P1,35,B,B,,5,60,32nd,False,False,False,False
P1,35,A,A,,5,60,32nd,False,False,False,False
P1,35,G,G,,5,60,32nd,False,False,False,False
P1,36,F#,F,1,5,120,16th,False,False,False,False
P1,36,C,C,,5,120,16th,False,False,False,False
P1,36,G,G,,5,120,16th,False,False,False,False
P1,36,B,B,,4,120,16th,False,False,False,False
P1,36,A,A,,5,120,16th,False,False,False,False
P1,36,A,A,,4,120,16th,False,False,False,False
P1,36,B,B,,5,120,16th,False,False,False,False
P1,36,G,G,,4,120,16th,False,False,False,False
P1,37,B,B,,5,60,32nd,False,False,False,False
P1,37,D,D,,6,60,32nd,False,False,False,False
P1,37,C#,C,1,6,60,32nd,False,False,False,False
P1,37,D,D,,6,60,32nd,False,False,False,False
P1,37,E,E,,6,60,32nd,False,False,False,False
P1,37,D,D,,6,60,32nd,False,False,False,False
P1,37,C,C,,6,60,32nd,False,False,False,False
P1,37,B,B,,5,60,32nd,False,False,False,False
P1,37,A,A,,5,120,16th,False,False,False,False
P1,37,D,D,,5,60,32nd,False,False,False,False
P1,37,E,E,,5,60,32nd,False,False,False,False
P1,37,F#,F,1,5,60,32nd,False,False,False,False
P1,37,G,G,,5,60,32nd,False,False,False,False
P1,37,A,A,,5,60,32nd,False,False,False,False
P1,37,B,B,,5,60,32nd,False,False,False,False
P1,38,C,C,,6,120,16th,False,False,False,False
P1,38,G,G,,5,120,16th,False,False,False,False
P1,38,C,C,,5,120,16th,False,False,False,False
P1,38,C,C,,6,120,16th,False,False,False,False
P1,38,B,B,,5,120,16th,False,False,False,False
P1,38,G,G,,5,120,16th,False,False,False,False
P1,38,B,B,,4,120,16th,False,False,False,False
P1,38,B,B,,5,120,16th,False,False,False,False
P1,39,A,A,,5,60,32nd,False,False,False,False
P1,39,A,A,,4,60,32nd,False,False,False,False
P1,39,B,B,,4,60,32nd,False,False,False,False
P1,39,C#,C,1,5,60,32nd,False,False,False,False
P1,39,D,D,,5,60,32nd,False,False,False,False
P1,39,E,E,,5,60,32nd,False,False,False,False
P1,39,F#,F,1,5,60,32nd,False,False,False,False
P1,39,G,G,,5,60,32nd,False,False,False,False
P1,39,A,A,,5,60,32nd,False,False,False,False
P1,39,B,B,,5,60,32nd,False,False,False,False
P1,39,C#,C,1,6,60,32nd,False,False,False,False
P1,39,D,D,,6,60,32nd,False,False,False,False
P1,39,E,E,,6,60,32nd,False,False,False,False
P1,39,D,D,,6,60,32nd,False,False,False,False
P1,39,C#,C,1,6,60,32nd,False,False,False,False
P1,39,B,B,,5,60,32nd,False,False,False,False
P1,40,A,A,,5,60,32nd,False,False,False,False
P1,40,G#,G,1,5,60,32nd,False,False,False,False
P1,40,B,B,,5,60,32nd,False,False,False,False
P1,40,A,A,,5,60,32nd,False,False,False,False
P1,40,,,,,60,32nd,False,True,False,False
P1,40,G#,G,1,5,60,32nd,False,False,False,False
P1,40,B,B,,5,60,32nd,False,False,False,False
P1,40,A,A,,5,60,32nd,False,False,False,False
P1,40,,,,,60,32nd,False,True,False,False
P1,40,G#,G,1,5,60,32nd,False,False,False,False
P1,40,B,B,,5,60,32nd,False,False,False,False
P1,40,A,A,,5,60,32nd,False,False,False,False
P1,40,,,,,60,32nd,False,True,False,False
P1,40,G#,G,1,5,60,32nd,False,False,False,False
P1,40,B,B,,5,60,32nd,False,False,False,False
P1,40,A,A,,5,60,32nd,False,False,False,False
P1,41,A,A,,5,360,eighth,True,False,False,False
P1,41,B,B,,5,60,32nd,False,False,False,False
P1,41,C#,C,1,6,60,32nd,False,False,False,False
P1,41,D,D,,6,120,16th,False,False,False,False
P1,41,D,D,,5,60,32nd,False,False,False,False
P1,41,E,E,,5,60,32nd,False,False,False,False
P1,41,F#,F,1,5,60,32nd,False,False,False,False
P1,41,G,G,,5,60,32nd,False,False,False,False
P1,41,A,A,,5,60,32nd,False,False,False,False
P1,41,A#,A,1,5,60,32nd,False,False,False,False
P1,42,A,A,,5,360,eighth,True,False,False,False
P1,42,B,B,,5,60,32nd,False,False,False,False
P1,42,C#,C,1,6,60,32nd,False,False,False,False
P1,42,D,D,,6,120,16th,False,False,False,False
P1,42,D,D,,5,60,32nd,False,False,False,False
P1,42,E,E,,5,60,32nd,False,False,False,False
P1,42,F#,F,1,5,60,32nd,False,False,False,False
P1,42,G,G,,5,60,32nd,False,False,False,False
P1,42,A,A,,5,60,32nd,False,False,False,False
P1,42,B,B,,5,60,32nd,False,False,False,False
P1,43,C,C,,6,120,16th,False,False,False,False
P1,43,D,D,,5,120,16th,False,False,False,False
P1,43,A,A,,4,120,16th,False,False,False,False
P1,43,C,C,,6,120,16th,False,False,False,False
P1,43,B,B,,5,120,16th,False,False,False,False
P1,43,B,B,,4,120,16th,False,False,False,False
P1,43,G,G,,5,120,16th,False,False,False,False
P1,43,G,G,,4,120,16th,False,False,False,False
P1,44,F#,F,1,5,120,16th,False,False,False,False
P1,44,C,C,,5,120,16th,False,False,False,False
P1,44,F#,F,1,4,120,16th,False,False,False,False
P1,44,A,A,,5,120,16th,False,False,False,False
P1,44,G,G,,5,120,16th,False,False,False,False
P1,44,G,G,,4,120,16th,False,False,False,False
P1,44,B,B,,5,120,16th,False,False,False,False
P1,44,B,B,,4,120,16th,False,False,False,False
P1,45,E,E,,6,120,16th,False,False,False,False
P1,45,G,G,,5,120,16th,False,False,False,False
P1,45,E,E,,5,120,16th,False,False,False,False
P1,45,E,E,,6,120,16th,False,False,False,False
P1,45,D,D,,6,120,16th,False,False,False,False
P1,45,D,D,,5,120,16th,False,False,False,False
P1,45,B,B,,5,120,16th,False,False,False,False
P1,45,B,B,,4,120,16th,False,False,False,False
P1,46,D,D,,6,120,16th,False,False,False,False
P1,46,B,B,,4,120,16th,False,False,False,False
P1,46,C,C,,6,120,16th,False,False,False,False
P1,46,A,A,,4,120,16th,False,False,False,False
P1,46,D,D,,6,120,16th,False,False,False,False
P1,46,A,A,,4,120,16th,False,False,False,False
P1,46,B,B,,5,120,16th,False,False,False,False
P1,46,G,G,,4,120,16th,False,False,False,False
P1,47,B,B,,5,60,32nd,False,False,False,False
P1,47,A,A,,5,60,32nd,False,False,False,False
P1,47,G#,G,1,5,60,32nd,False,False,False,False
P1,47,A,A,,5,60,32nd,False,False,False,False
P1,47,G#,G,1,5,60,32nd,False,False,False,False
P1,47,A,A,,5,60,32nd,False,False,False,False
P1,47,G#,G,1,5,60,32nd,False,False,False,False
P1,47,A,A,,5,60,32nd,False,False,False,False
P1,47,G#,G,1,5,60,32nd,False,False,False,False
P1,47,A,A,,5,60,32nd,False,False,False,False
P1,47,G#,G,1,5,60,32nd,False,False,False,False
P1,47,A,A,,5,60,32nd,False,False,False,False
P1,47,G#,G,1,5,60,32nd,False,False,False,False
P1,47,A,A,,5,60,32nd,False,False,False,False
P1,47,B,B,,5,60,32nd,False,False,False,False
P1,47,A,A,,5,60,32nd,False,False,False,False
P1,48,A,A,,5,60,32nd,False,False,False,False
P1,48,D,D,,4,60,32nd,False,False,False,False
P1,48,E,E,,4,60,32nd,False,False,False,False
P1,48,F#,F,1,4,60,32nd,False,False,False,False
P1,48,G,G,,4,60,32nd,False,False,False,False
P1,48,A,A,,4,60,32nd,False,False,False,False
P1,48,B,B,,4,60,32nd,False,False,False,False
P1,48,C,C,,5,60,32nd,False,False,False,False
P1,48,D,D,,5,60,32nd,False,False,False,False
P1,48,E,E,,5,60,32nd,False,False,False,False
P1,48,F#,F,1,5,60,32nd,False,False,False,False
P1,48,G,G,,5,60,32nd,False,False,False,False
P1,48,A,A,,5,60,32nd,False,False,False,False
P1,48,B,B,,5,60,32nd,False,False,False,False
P1,48,C,C,,6,60,32nd,False,False,False,False
P1,48,C#,C,1,6,60,32nd,False,False,False,False
P1,49,D,D,,6,60,32nd,False,False,False,False
P1,49,G,G,,6,60,32nd,False,False,False,False
P1,49,F#,F,1,6,60,32nd,False,False,False,False
P1,49,G,G,,6,60,32nd,False,False,False,False
P1,49,F#,F,1,6,60,32nd,False,False,False,False
P1,49,G,G,,6,60,32nd,False,False,False,False
P1,49,D,D,,6,60,32nd,False,False,False,False
P1,49,B,B,,5,60,32nd,False,False,False,False
P1,49,C#,C,1,6,60,32nd,False,False,False,False
