part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,G,G,,3,240,eighth,False,False,False,False
P1,1,Eb,E,-1,4,240,eighth,False,False,False,False
P1,1,Eb,E,-1,5,240,eighth,False,False,False,False
P1,1,G,G,,3,480,quarter,False,False,False,False
P1,1,Eb,E,-1,4,480,quarter,False,False,False,False
P1,1,G,G,,3,480,quarter,False,False,False,False
P1,1,Eb,E,-1,4,480,quarter,False,False,False,False
P1,1,G,G,,3,480,quarter,False,False,False,False
P1,1,Eb,E,-1,4,480,quarter,False,False,False,False
P1,1,G,G,,3,240,eighth,False,False,False,False
P1,1,Eb,E,-1,4,240,eighth,False,False,False,False
P1,1,Eb,E,-1,3,240,eighth,False,False,False,False
P1,1,Bb,B,-1,3,240,eighth,False,False,False,False
P1,1,G,G,,4,240,eighth,False,False,False,False
P1,1,Bb,B,-1,3,480,quarter,False,False,False,False
P1,1,Bb,B,-1,3,480,quarter,False,False,False,False
P1,1,Bb,B,-1,3,480,quarter,False,False,False,False
P1,1,Bb,B,-1,3,240,eighth,False,False,False,False
P1,1,Eb,E,-1,2,240,eighth,False,False,False,False
P1,1,Eb,E,-1,3,240,eighth,False,False,False,False
P1,1,Eb,E,-1,3,240,eighth,False,False,False,False
P1,1,Eb,E,-1,3,240,eighth,False,False,False,False
P1,1,Eb,E,-1,3,240,eighth,False,False,False,False
P1,1,Eb,E,-1,3,240,eighth,False,False,False,False
P1,1,Eb,E,-1,3,240,eighth,False,False,False,False
P1,1,Eb,E,-1,3,240,eighth,False,False,False,False
P1,2,D,D,,4,360,eighth,True,False,False,False
P1,2,F,F,,4,120,16th,False,False,False,False
P1,2,Bb,B,-1,4,480,quarter,False,False,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,Eb,E,-1,4,240,eighth,False,False,False,False
P1,2,Ab,A,-1,3,480,quarter,False,False,False,False
P1,2,Ab,A,-1,3,480,quarter,False,False,False,False
P1,2,D,D,,4,480,quarter,False,False,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,G,G,,3,240,eighth,False,False,False,False
P1,2,F,F,,3,480,quarter,False,False,False,False
P1,2,F,F,,3,480,quarter,False,False,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,Eb,E,-1,3,240,eighth,False,False,False,False
P1,3,D,D,,4,360,eighth,True,False,False,False
P1,3,F,F,,4,120,16th,False,False,False,False
P1,3,Bb,B,-1,4,120,16th,False,False,False,False
P1,3,,,,,120,16th,False,True,False,False
P1,3,Eb,E,-1,4,240,eighth,False,False,False,False
P1,3,D,D,,4,360,eighth,True,False,False,False
P1,3,F,F,,4,120,16th,False,False,False,False
P1,3,Bb,B,-1,4,120,16th,False,False,False,False
P1,3,,,,,120,16th,False,True,False,False
P1,3,Eb,E,-1,4,240,eighth,False,False,False,False
P1,3,Ab,A,-1,3,480,quarter,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,G,G,,3,240,eighth,False,False,False,False
P1,3,Ab,A,-1,3,480,quarter,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,G,G,,3,240,eighth,False,False,False,False
P1,3,F,F,,3,480,quarter,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,Eb,E,-1,3,240,eighth,False,False,False,False
P1,3,F,F,,3,480,quarter,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,Eb,E,-1,3,240,eighth,False,False,False,False
P1,4,D,D,,4,360,eighth,True,False,False,False
P1,4,F,F,,4,120,16th,False,False,False,False
P1,4,Bb,B,-1,4,480,quarter,False,False,False,False
P1,4,,,,,960,half,False,True,False,False
P1,4,Ab,A,-1,3,480,quarter,False,False,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,4,,,,,960,half,False,True,False,False
P1,4,F,F,,3,480,quarter,False,False,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,4,,,,,960,half,False,True,False,False
P1,5,D,D,,4,240,eighth,False,False,False,False
P1,5,Bb,B,-1,4,240,eighth,False,False,False,False
P1,5,Ab,A,-1,5,240,eighth,False,False,False,False
P1,5,Ab,A,-1,3,480,quarter,False,False,False,False
P1,5,Ab,A,-1,3,480,quarter,False,False,False,False
P1,5,Ab,A,-1,3,480,quarter,False,False,False,False
