part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,,,,,960,half,False,True,False,False
P1,2,C,C,,5,480,quarter,False,False,False,False
P1,2,C,C,,5,120,16th,False,False,False,False
P1,2,Db,D,-1,5,60,32nd,False,False,False,False
P1,2,C,C,,5,60,32nd,False,False,False,False
P1,2,Bb,B,-1,4,120,16th,False,False,False,False
P1,2,C,C,,5,120,16th,False,False,False,False
P1,3,Db,D,-1,5,240,eighth,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,,,,,480,quarter,False,True,False,False
P1,4,Bb,B,-1,4,480,quarter,False,False,False,False
P1,4,Bb,B,-1,4,120,16th,False,False,False,False
P1,4,C,C,,5,60,32nd,False,False,False,False
P1,4,Bb,B,-1,4,60,32nd,False,False,False,False
P1,4,Ab,A,-1,4,120,16th,False,False,False,False
P1,4,Bb,B,-1,4,120,16th,False,False,False,False
P1,5,B,B,,4,,32nd,False,False,True,False
P1,5,C,C,,5,240,eighth,False,False,False,False
P1,5,,,,,240,eighth,False,True,False,False
P1,5,,,,,480,quarter,False,True,False,False
P1,6,Eb,E,-1,5,480,quarter,False,False,False,False
P1,6,F,F,,5,,32nd,False,False,True,False
P1,6,Eb,E,-1,5,,32nd,False,False,True,False
P1,6,D,D,,5,,32nd,False,False,True,False
P1,6,Eb,E,-1,5,,32nd,False,False,True,False
P1,6,Ab,A,-1,5,120,16th,False,False,False,False
P1,6,Eb,E,-1,5,120,16th,False,False,False,False
P1,6,Db,D,-1,5,120,16th,False,False,False,False
P1,6,C,C,,5,120,16th,False,False,False,False
P1,7,C,C,,5,180,16th,True,False,False,False
P1,7,Bb,B,-1,4,60,32nd,False,False,False,False
P1,7,Bb,B,-1,4,480,quarter,False,False,False,False
P1,7,Bb,B,-1,4,240,eighth,False,False,False,False
P1,8,Bb,B,-1,4,120,16th,False,False,False,False
P1,8,C,C,,5,60,32nd,False,False,False,False
P1,8,Bb,B,-1,4,60,32nd,False,False,False,False
P1,8,A,A,,4,120,16th,False,False,False,False
P1,8,Bb,B,-1,4,120,16th,False,False,False,False
P1,8,A,A,,4,120,16th,False,False,False,False
P1,8,Bb,B,-1,4,120,16th,False,False,False,False
P1,8,C,C,,5,120,16th,False,False,False,False
P1,8,Ab,A,-1,4,120,16th,False,False,False,False
P1,9,G,G,,4,120,16th,False,False,False,False
P1,9,Eb,E,-1,4,120,16th,False,False,False,False
P1,9,Bb,B,-1,4,120,16th,False,False,False,False
P1,9,G,G,,4,120,16th,False,False,False,False
P1,9,Db,D,-1,5,120,16th,False,False,False,False
P1,9,Bb,B,-1,4,120,16th,False,False,False,False
P1,9,Eb,E,-1,5,120,16th,False,False,False,False
P1,9,Db,D,-1,5,120,16th,False,False,False,False
P1,10,C,C,,5,120,16th,False,False,False,False
P1,10,Eb,E,-1,4,120,16th,False,False,False,False
P1,10,Eb,E,-1,5,120,16th,False,False,False,False
P1,10,Eb,E,-1,4,120,16th,False,False,False,False
P1,10,C,C,,5,120,16th,False,False,False,False
P1,10,Eb,E,-1,4,120,16th,False,False,False,False
P1,10,Eb,E,-1,5,120,16th,False,False,False,False
P1,10,Eb,E,-1,4,120,16th,False,False,False,False
P1,11,C,C,,5,120,16th,False,False,False,False
P1,11,Eb,E,-1,4,120,16th,False,False,False,False
P1,11,Eb,E,-1,5,120,16th,False,False,False,False
P1,11,Eb,E,-1,4,120,16th,False,False,False,False
P1,11,C,C,,5,120,16th,False,False,False,False
P1,11,Eb,E,-1,4,120,16th,False,False,False,False
P1,11,Eb,E,-1,5,120,16th,False,False,False,False
P1,11,Eb,E,-1,4,120,16th,False,False,False,False
P1,12,Db,D,-1,5,120,16th,False,False,False,False
P1,12,Eb,E,-1,4,120,16th,False,False,False,False
P1,12,Eb,E,-1,5,120,16th,False,False,False,False
