part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,0,C,C,,5,240,eighth,False,False,False,False
P1,0,Ab,A,-1,4,240,eighth,False,False,False,False
P1,0,,,,,240,eighth,False,True,False,False
P1,1,C,C,,5,720,quarter,True,False,False,False
P1,1,Bb,B,-1,4,120,16th,False,False,False,False
P1,1,Ab,A,-1,4,120,16th,False,False,False,False
P1,1,Ab,A,-1,4,720,quarter,True,False,False,False
P1,1,G,G,,4,120,16th,False,False,False,False
P1,1,F,F,,4,120,16th,False,False,False,False
P1,1,D,D,,4,960,half,False,False,False,False
P1,2,G,G,,4,240,eighth,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,2,Eb,E,-1,4,240,eighth,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,2,Eb,E,-1,4,240,eighth,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,3,F,F,,4,240,eighth,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,F,F,,4,240,eighth,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,Eb,E,-1,4,240,eighth,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,Eb,E,-1,4,240,eighth,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,Ab,A,-1,3,240,eighth,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,A,A,,3,240,eighth,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,4,F,F,,4,480,quarter,False,False,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,4,C,C,,5,240,eighth,False,False,False,False
P1,4,D,D,,4,480,quarter,False,False,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,4,Ab,A,-1,4,240,eighth,False,False,False,False
P1,4,Bb,B,-1,3,480,quarter,False,False,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,5,C,C,,5,720,quarter,True,False,False,False
P1,5,Bb,B,-1,4,120,16th,False,False,False,False
P1,5,Ab,A,-1,4,120,16th,False,False,False,False
P1,5,Ab,A,-1,4,720,quarter,True,False,False,False
P1,5,G,G,,4,120,16th,False,False,False,False
P1,5,F,F,,4,120,16th,False,False,False,False
P1,5,D,D,,4,960,half,False,False,False,False
P1,6,G,G,,4,240,eighth,False,False,False,False
P1,6,,,,,240,eighth,False,True,False,False
P1,6,,,,,480,quarter,False,True,False,False
P1,6,Eb,E,-1,4,240,eighth,False,False,False,False
P1,6,,,,,240,eighth,False,True,False,False
P1,6,,,,,480,quarter,False,True,False,False
P1,6,Eb,E,-1,4,240,eighth,False,False,False,False
P1,6,,,,,240,eighth,False,True,False,False
P1,6,,,,,480,quarter,False,True,False,False
P1,7,F,F,,4,240,eighth,False,False,False,False
P1,7,,,,,240,eighth,False,True,False,False
P1,7,D,D,,4,240,eighth,False,False,False,False
P1,7,,,,,240,eighth,False,True,False,False
P1,7,C,C,,4,240,eighth,False,False,False,False
P1,7,,,,,240,eighth,False,True,False,False
P1,7,Ab,A,-1,3,240,eighth,False,False,False,False
P1,7,,,,,240,eighth,False,True,False,False
P1,7,Ab,A,-1,2,240,eighth,False,False,False,False
P1,7,,,,,240,eighth,False,True,False,False
P1,7,Bb,B,-1,2,240,eighth,False,False,False,False
P1,7,,,,,240,eighth,False,True,False,False
P1,8,Eb,E,-1,4,480,quarter,False,False,False,False
P1,8,,,,,240,eighth,False,True,False,False
P1,8,Bb,B,-1,4,240,eighth,False,False,False,False
P1,8,G,G,,3,480,quarter,False,False,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,8,Eb,E,-1,2,480,quarter,False,False,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,9,Eb,E,-1,5,480,quarter,False,False,False,False
P1,9,Eb,E,-1,5,120,16th,False,False,False,False
P1,9,D,D,,5,120,16th,False,False,False,False
P1,9,C,C,,5,120,16th,False,False,False,False
P1,9,Bb,B,-1,4,120,16th,False,False,False,False
P1,9,,,,,960,whole,False,True,False,False
P1,9,,,,,960,whole,False,True,False,False
P1,10,Ab,A,-1,4,120,16th,False,False,False,False
P1,10,G,G,,4,120,16th,False,False,False,False
P1,10,F,F,,4,120,16th,False,False,False,False
P1,10,Eb,E,-1,4,120,16th,False,False,False,False
P1,10,D,D,,4,120,16th,False,False,False,False
P1,10,C,C,,4,120,16th,False,False,False,False
P1,10,Bb,B,-1,3,120,16th,False,False,False,False
P1,10,A,A,,3,120,16th,False,False,False,False
P1,10,,,,,960,whole,False,True,False,False
P1,10,,,,,960,whole,False,True,False,False
P1,11,Bb,B,-1,3,120,16th,False,False,False,False
P1,11,C,C,,4,120,16th,False,False,False,False
P1,11,Bb,B,-1,3,120,16th,False,False,False,False
P1,11,C,C,,4,120,16th,False,False,False,False
P1,11,D,D,,4,120,16th,False,False,False,False
P1,11,Eb,E,-1,4,120,16th,False,False,False,False
P1,11,D,D,,4,120,16th,False,False,False,False
P1,11,Eb,E,-1,4,120,16th,False,False,False,False
P1,11,,,,,960,whole,False,True,False,False
P1,11,,,,,960,whole,False,True,False,False
P1,12,F,F,,4,120,16th,False,False,False,False
