part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,,,,,960,whole,False,True,False,False
P1,2,,,,,960,whole,False,True,False,False
P1,3,,,,,960,whole,False,True,False,False
P1,4,,,,,960,whole,False,True,False,False
P1,5,,,,,960,whole,False,True,False,False
P1,6,,,,,960,whole,False,True,False,False
P1,7,,,,,960,whole,False,True,False,False
P1,8,,,,,960,whole,False,True,False,False
P1,9,,,,,960,whole,False,True,False,False
P1,10,,,,,960,whole,False,True,False,False
P1,11,,,,,960,whole,False,True,False,False
P1,12,,,,,960,whole,False,True,False,False
P1,13,,,,,960,whole,False,True,False,False
P1,14,,,,,960,whole,False,True,False,False
P1,15,C,C,,5,720,quarter,True,False,False,False
P1,15,C,C,,5,240,eighth,False,False,False,False
P1,16,C,C,,5,240,eighth,False,False,False,False
P1,16,B,B,,4,240,eighth,False,False,False,False
P1,16,C,C,,5,240,eighth,False,False,False,False
P1,16,D,D,,5,240,eighth,False,False,False,False
P1,17,D,D,,5,720,quarter,True,False,False,False
P1,17,D,D,,5,240,eighth,False,False,False,False
P1,18,D,D,,5,240,eighth,False,False,False,False
P1,18,C#,C,1,5,240,eighth,False,False,False,False
P1,18,D,D,,5,240,eighth,False,False,False,False
P1,18,E,E,,5,240,eighth,False,False,False,False
P1,19,E,E,,5,720,quarter,True,False,False,False
P1,19,E,E,,5,240,eighth,False,False,False,False
P1,20,D,D,,5,240,eighth,False,False,False,False
P1,20,E,E,,5,240,eighth,False,False,False,False
P1,20,F,F,,5,240,eighth,False,False,False,False
P1,20,E,E,,5,240,eighth,False,False,False,False
P1,21,D,D,,5,240,eighth,False,False,False,False
P1,21,C,C,,5,240,eighth,False,False,False,False
P1,21,B,B,,4,240,eighth,False,False,False,False
P1,21,A,A,,4,240,eighth,False,False,False,False
P1,22,E,E,,4,480,quarter,False,False,False,False
P1,22,,,,,480,quarter,False,True,False,False
P1,23,,,,,960,whole,False,True,False,False
P1,24,,,,,960,whole,False,True,False,False
P1,25,,,,,960,whole,False,True,False,False
P1,26,,,,,960,whole,False,True,False,False
P1,27,,,,,960,whole,False,True,False,False
P1,28,,,,,960,whole,False,True,False,False
P1,29,,,,,960,whole,False,True,False,False
P1,30,,,,,960,whole,False,True,False,False
P1,31,,,,,960,whole,False,True,False,False
P1,32,,,,,960,whole,False,True,False,False
P1,33,,,,,960,whole,False,True,False,False
P1,34,,,,,960,whole,False,True,False,False
P1,35,,,,,960,whole,False,True,False,False
P1,36,,,,,960,whole,False,True,False,False
P1,37,B,B,,4,960,half,False,False,False,False
P1,38,C#,C,1,5,720,quarter,True,False,False,False
P1,38,C#,C,1,5,240,eighth,False,False,False,False
P1,39,B,B,,4,480,quarter,False,False,False,False
P1,39,A,A,,4,480,quarter,False,False,False,False
