part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,,,,,1920,whole,False,True,False,False
P1,2,,,,,1920,whole,False,True,False,False
P1,3,,,,,1920,whole,False,True,False,False
P1,4,,,,,1920,whole,False,True,False,False
P1,5,,,,,1920,whole,False,True,False,False
P1,6,,,,,1920,whole,False,True,False,False
P1,7,,,,,1920,whole,False,True,False,False
P1,8,,,,,1920,whole,False,True,False,False
P1,9,,,,,1920,whole,False,True,False,False
P1,10,,,,,1920,whole,False,True,False,False
P1,11,,,,,1920,whole,False,True,False,False
P1,12,,,,,1920,whole,False,True,False,False
P1,13,,,,,1920,whole,False,True,False,False
P1,14,,,,,1920,whole,False,True,False,False
P1,15,,,,,1920,whole,False,True,False,False
P1,16,,,,,1920,whole,False,True,False,False
P1,17,,,,,1920,whole,False,True,False,False
P1,18,,,,,1920,whole,False,True,False,False
P1,19,,,,,1920,whole,False,True,False,False
P1,20,,,,,1920,whole,False,True,False,False
P1,21,,,,,1920,whole,False,True,False,False
P1,22,,,,,1920,whole,False,True,False,False
P1,23,,,,,1920,whole,False,True,False,False
P1,24,,,,,1920,whole,False,True,False,False
P1,25,,,,,1920,whole,False,True,False,False
P1,26,,,,,1920,whole,False,True,False,False
P1,27,,,,,1920,whole,False,True,False,False
P1,28,,,,,1920,whole,False,True,False,False
P1,29,,,,,1920,whole,False,True,False,False
P1,30,,,,,1920,whole,False,True,False,False
P1,31,,,,,1920,whole,False,True,False,False
P1,32,,,,,1920,whole,False,True,False,False
P1,33,,,,,1920,whole,False,True,False,False
P1,34,,,,,1920,whole,False,True,False,False
P1,35,,,,,1920,whole,False,True,False,False
P1,36,,,,,1920,whole,False,True,False,False
P1,37,,,,,1920,whole,False,True,False,False
P1,38,,,,,1920,whole,False,True,False,False
P1,39,,,,,1920,whole,False,True,False,False
P1,40,,,,,1920,whole,False,True,False,False
P1,41,,,,,1920,whole,False,True,False,False
P1,42,,,,,1920,whole,False,True,False,False
P1,43,,,,,1920,whole,False,True,False,False
P1,44,,,,,1920,whole,False,True,False,False
P1,45,,,,,1920,whole,False,True,False,False
P1,46,,,,,1920,whole,False,True,False,False
P1,47,,,,,1920,whole,False,True,False,False
P1,48,,,,,1920,whole,False,True,False,False
P1,49,A,A,,4,720,quarter,True,False,False,False
P1,49,A,A,,4,240,eighth,False,False,False,False
P1,50,G,G,,4,240,eighth,False,False,False,False
P1,50,F,F,,4,240,eighth,False,False,False,False
P1,50,,,,,240,eighth,False,True,False,False
P1,50,F,F,,4,240,eighth,False,False,False,False
P1,51,G,G,,4,240,eighth,False,False,False,False
P1,51,A,A,,4,120,16th,False,False,False,False
P1,51,Bb,B,-1,4,120,16th,False,False,False,False
P1,51,A,A,,4,240,eighth,False,False,False,False
P1,51,G,G,,4,120,16th,False,False,False,False
P1,51,G,G,,4,120,16th,False,False,False,False
P1,52,A,A,,4,180,16th,True,False,False,False
P1,52,F,F,,4,60,32nd,False,False,False,False
P1,52,F,F,,4,240,eighth,False,False,False,False
P1,52,,,,,480,quarter,False,True,False,False
P1,53,,,,,960,whole,False,True,False,False
P1,54,,,,,960,whole,False,True,False,False
P1,55,C,C,,5,240,eighth,False,False,False,False
P1,55,F,F,,5,480,quarter,False,False,False,False
P1,55,A,A,,4,240,eighth,False,False,False,False
P1,56,C,C,,5,240,eighth,False,False,False,False
P1,56,Bb,B,-1,4,240,eighth,False,False,False,False
P1,56,,,,,480,quarter,False,True,False,False
P1,57,,,,,960,whole,False,True,False,False
P1,58,C,C,,5,240,eighth,False,False,False,False
P1,58,G,G,,5,480,quarter,False,False,False,False
P1,58,Bb,B,-1,4,240,eighth,False,False,False,False
P1,59,Bb,B,-1,4,240,eighth,False,False,False,False
P1,59,A,A,,4,120,16th,False,False,False,False
P1,59,D,D,,5,120,16th,False,False,False,False
P1,59,D,D,,5,240,eighth,False,False,False,False
P1,59,C,C,,5,240,eighth,False,False,False,False
P1,60,,,,,960,whole,False,True,False,False
P1,61,,,,,960,whole,False,True,False,False
P1,62,,,,,960,whole,False,True,False,False
P1,63,,,,,960,whole,False,True,False,False
P1,64,,,,,240,eighth,False,True,False,False
P1,64,D,D,,5,480,quarter,False,False,False,False
P1,64,E,E,,5,240,eighth,False,False,False,False
P1,65,D,D,,5,240,eighth,False,False,False,False
P1,65,G,G,,4,240,eighth,False,False,False,False
P1,65,,,,,240,eighth,False,True,False,False
P1,65,E,E,,5,240,eighth,False,False,False,False
P1,66,D,D,,5,240,eighth,False,False,False,False
P1,66,D,D,,5,120,16th,False,False,False,False
P1,66,D,D,,5,120,16th,False,False,False,False
P1,66,E,E,,5,240,eighth,False,False,False,False
P1,66,E,E,,5,120,16th,False,False,False,False
P1,66,E,E,,5,120,16th,False,False,False,False
P1,67,F,F,,5,360,eighth,True,False,False,False
P1,67,D,D,,5,120,16th,False,False,False,False
P1,67,B,B,,4,240,eighth,False,False,False,False
P1,67,,,,,240,eighth,False,True,False,False
P1,68,,,,,960,whole,False,True,False,False
P1,69,,,,,960,whole,False,True,False,False
P1,70,,,,,240,eighth,False,True,False,False
P1,70,C,C,,5,120,16th,False,False,False,False
P1,70,C,C,,5,120,16th,False,False,False,False
P1,70,E,E,,5,120,16th,False,False,False,False
P1,70,D,D,,5,120,16th,False,False,False,False
P1,70,C,C,,5,240,eighth,False,False,False,False
P1,71,,,,,240,eighth,False,True,False,False
P1,71,G,G,,5,120,16th,False,False,False,False
P1,71,E,E,,5,120,16th,False,False,False,False
P1,71,D,D,,5,240,eighth,False,False,False,False
P1,71,C#,C,1,5,240,eighth,False,False,False,False
P1,72,,,,,240,eighth,False,True,False,False
P1,72,D,D,,5,120,16th,False,False,False,False
P1,72,D,D,,5,120,16th,False,False,False,False
P1,72,F,F,,5,120,16th,False,False,False,False
P1,72,E,E,,5,120,16th,False,False,False,False
P1,72,D,D,,5,240,eighth,False,False,False,False
P1,73,,,,,960,whole,False,True,False,False
P1,74,,,,,240,eighth,False,True,False,False
