part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,0,,,,,480,quarter,False,True,False,False
P1,0,G,G,,4,480,quarter,False,False,False,False
P1,0,,,,,480,quarter,False,True,False,False
P1,1,,,,,1920,whole,False,True,False,False
P1,1,C,C,,5,360,eighth,True,False,False,False
P1,1,D,D,,5,120,16th,False,False,False,False
P1,1,Eb,E,-1,5,360,eighth,True,False,False,False
P1,1,F,F,,5,120,16th,False,False,False,False
P1,1,G,G,,5,480,quarter,False,False,False,False
P1,1,G,G,,5,480,quarter,False,False,False,False
P1,1,C,C,,2,240,eighth,False,False,False,False
P1,1,G,G,,3,240,eighth,False,False,False,False
P1,1,C,C,,4,240,eighth,False,False,False,False
P1,1,Eb,E,-1,4,240,eighth,False,False,False,False
P1,1,G,G,,3,240,eighth,False,False,False,False
P1,1,C,C,,3,240,eighth,False,False,False,False
P1,1,G,G,,3,240,eighth,False,False,False,False
P1,1,C,C,,4,240,eighth,False,False,False,False
P1,1,Eb,E,-1,4,240,eighth,False,False,False,False
P1,1,G,G,,4,240,eighth,False,False,False,False
P1,1,G,G,,3,240,eighth,False,False,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,2,G,G,,5,,16th,False,False,True,False
P1,2,Bb,B,-1,5,,16th,False,False,True,False
P1,2,,,,,480,quarter,False,True,False,False
P1,2,,,,,960,half,False,True,False,False
P1,2,F#,F,1,5,360,eighth,True,False,False,False
P1,2,G,G,,5,120,16th,False,False,False,False
P1,2,Ab,A,-1,5,360,eighth,True,False,False,False
P1,2,G,G,,5,120,16th,False,False,False,False
P1,2,C,C,,5,960,half,False,False,False,False
P1,2,C,C,,3,240,eighth,False,False,False,False
P1,2,G,G,,3,240,eighth,False,False,False,False
P1,2,B,B,,3,240,eighth,False,False,False,False
P1,2,F,F,,4,240,eighth,False,False,False,False
P1,2,G,G,,3,240,eighth,False,False,False,False
P1,2,C,C,,3,240,eighth,False,False,False,False
P1,2,G,G,,3,240,eighth,False,False,False,False
P1,2,C,C,,4,240,eighth,False,False,False,False
