part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,0,,,,,480,quarter,False,True,False,False
P1,0,B,B,,3,360,eighth,True,False,False,False
P1,0,B,B,,4,120,16th,False,False,False,False
P1,0,,,,,480,quarter,False,True,False,False
P1,0,,,,,480,quarter,False,True,False,False
P1,1,,,,,1920,whole,False,True,False,False
P1,1,B,B,,4,1440,half,True,False,False,False
P1,1,C,C,,5,480,quarter,False,False,False,False
P1,1,,,,,1920,whole,False,True,False,False
P1,1,G,G,,3,240,eighth,False,False,False,False
P1,1,B,B,,3,240,eighth,False,False,False,False
P1,1,E,E,,4,240,eighth,False,False,False,False
P1,1,G,G,,3,240,eighth,False,False,False,False
P1,1,B,B,,3,240,eighth,False,False,False,False
P1,1,E,E,,4,240,eighth,False,False,False,False
P1,1,G,G,,3,240,eighth,False,False,False,False
P1,1,B,B,,3,240,eighth,False,False,False,False
P1,1,E,E,,4,240,eighth,False,False,False,False
P1,1,G,G,,3,240,eighth,False,False,False,False
P1,1,B,B,,3,240,eighth,False,False,False,False
P1,1,E,E,,4,240,eighth,False,False,False,False
P1,1,G,G,,3,240,eighth,False,False,False,False
P1,1,B,B,,3,240,eighth,False,False,False,False
P1,1,E,E,,4,240,eighth,False,False,False,False
P1,1,G,G,,3,240,eighth,False,False,False,False
P1,1,B,B,,3,240,eighth,False,False,False,False
P1,1,E,E,,4,240,eighth,False,False,False,False
P1,1,G,G,,3,240,eighth,False,False,False,False
P1,1,B,B,,3,240,eighth,False,False,False,False
P1,1,E,E,,4,240,eighth,False,False,False,False
P1,1,G,G,,3,240,eighth,False,False,False,False
P1,1,B,B,,3,240,eighth,False,False,False,False
P1,1,E,E,,4,240,eighth,False,False,False,False
P1,2,,,,,1920,whole,False,True,False,False
P1,2,B,B,,4,1440,half,True,False,False,False
P1,2,C,C,,5,480,quarter,False,False,False,False
P1,2,,,,,1920,whole,False,True,False,False
P1,2,F#,F,1,3,240,eighth,False,False,False,False
P1,2,A,A,,3,240,eighth,False,False,False,False
P1,2,E,E,,4,240,eighth,False,False,False,False
P1,2,F#,F,1,3,240,eighth,False,False,False,False
P1,2,A,A,,3,240,eighth,False,False,False,False
P1,2,E,E,,4,240,eighth,False,False,False,False
P1,2,F#,F,1,3,240,eighth,False,False,False,False
P1,2,A,A,,3,240,eighth,False,False,False,False
P1,2,E,E,,4,240,eighth,False,False,False,False
P1,2,F#,F,1,3,240,eighth,False,False,False,False
P1,2,A,A,,3,240,eighth,False,False,False,False
P1,2,E,E,,4,240,eighth,False,False,False,False
P1,2,F#,F,1,3,240,eighth,False,False,False,False
P1,2,A,A,,3,240,eighth,False,False,False,False
P1,2,Eb,E,-1,4,240,eighth,False,False,False,False
P1,2,F#,F,1,3,240,eighth,False,False,False,False
P1,2,A,A,,3,240,eighth,False,False,False,False
P1,2,Eb,E,-1,4,240,eighth,False,False,False,False
P1,2,F#,F,1,3,240,eighth,False,False,False,False
P1,2,A,A,,3,240,eighth,False,False,False,False
P1,2,Eb,E,-1,4,240,eighth,False,False,False,False
P1,2,F#,F,1,3,240,eighth,False,False,False,False
P1,2,A,A,,3,240,eighth,False,False,False,False
P1,2,Eb,E,-1,4,240,eighth,False,False,False,False
P1,3,,,,,1920,whole,False,True,False,False
P1,3,B,B,,4,1440,half,True,False,False,False
P1,3,C,C,,5,480,quarter,False,False,False,False
P1,3,,,,,1920,whole,False,True,False,False
P1,3,F,F,,3,240,eighth,False,False,False,False
P1,3,A,A,,3,240,eighth,False,False,False,False
P1,3,Eb,E,-1,4,240,eighth,False,False,False,False
P1,3,F,F,,3,240,eighth,False,False,False,False
P1,3,A,A,,3,240,eighth,False,False,False,False
P1,3,Eb,E,-1,4,240,eighth,False,False,False,False
P1,3,F,F,,3,240,eighth,False,False,False,False
P1,3,A,A,,3,240,eighth,False,False,False,False
P1,3,Eb,E,-1,4,240,eighth,False,False,False,False
