part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,C,C,,5,480,quarter,False,False,False,False
P1,1,C,C,,5,120,16th,False,False,False,False
P1,1,E,E,,5,120,16th,False,False,False,False
P1,1,G,G,,5,120,16th,False,False,False,False
P1,1,B,B,,5,120,16th,False,False,False,False
P1,1,C,C,,6,480,quarter,False,False,False,False
P1,1,C,C,,6,120,16th,False,False,False,False
P1,1,B,B,,5,120,16th,False,False,False,False
P1,1,C,C,,6,120,16th,False,False,False,False
P1,1,G,G,,5,120,16th,False,False,False,False
P1,2,A,A,,5,240,eighth,False,False,False,False
P1,2,C,C,,5,120,16th,False,False,False,False
P1,2,D,D,,5,120,16th,False,False,False,False
P1,2,B,B,,4,360,eighth,True,False,False,False
P1,2,C,C,,5,120,16th,False,False,False,False
P1,2,D,D,,5,960,half,False,False,False,False
P1,3,C,C,,5,480,quarter,False,False,False,False
P1,3,C,C,,5,120,16th,False,False,False,False
P1,3,E,E,,5,120,16th,False,False,False,False
P1,3,G,G,,5,120,16th,False,False,False,False
P1,3,B,B,,5,120,16th,False,False,False,False
P1,3,C,C,,6,480,quarter,False,False,False,False
P1,3,C,C,,6,120,16th,False,False,False,False
P1,3,B,B,,5,120,16th,False,False,False,False
P1,3,C,C,,6,120,16th,False,False,False,False
P1,3,G,G,,5,120,16th,False,False,False,False
P1,4,A,A,,5,240,eighth,False,False,False,False
P1,4,C,C,,5,120,16th,False,False,False,False
P1,4,D,D,,5,120,16th,False,False,False,False
P1,4,B,B,,4,360,eighth,True,False,False,False
P1,4,C,C,,5,120,16th,False,False,False,False
P1,4,D,D,,5,720,quarter,True,False,False,False
P1,4,G,G,,5,120,16th,False,False,False,False
P1,4,E,E,,5,120,16th,False,False,False,False
P1,5,F,F,,5,180,16th,True,False,False,False
P1,5,D,D,,5,60,32nd,False,False,False,False
P1,5,E,E,,5,180,16th,True,False,False,False
P1,5,F,F,,5,60,32nd,False,False,False,False
P1,5,G,G,,4,240,eighth,False,False,False,False
P1,5,F,F,,5,240,eighth,False,False,False,False
P1,5,F,F,,5,180,16th,True,False,False,False
P1,5,D,D,,5,60,32nd,False,False,False,False
P1,5,E,E,,5,240,eighth,False,False,False,False
