part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,E,E,,5,120,16th,False,False,False,False
P1,1,F,F,,5,120,16th,False,False,False,False
P1,1,F,F,,5,360,eighth,True,False,False,False
P1,1,E,E,,5,60,32nd,False,False,False,False
P1,1,F,F,,5,60,32nd,False,False,False,False
P1,2,G,G,,5,240,eighth,False,False,False,False
P1,2,C,C,,5,240,eighth,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,3,A,A,,5,120,16th,False,False,False,False
P1,3,B,B,,5,120,16th,False,False,False,False
P1,3,B,B,,5,360,eighth,True,False,False,False
P1,3,A,A,,5,60,32nd,False,False,False,False
P1,3,B,B,,5,60,32nd,False,False,False,False
P1,4,C,C,,6,240,eighth,False,False,False,False
P1,4,C,C,,5,240,eighth,False,False,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,5,F,F,,5,240,eighth,False,False,False,False
P1,5,E,E,,5,240,eighth,False,False,False,False
P1,5,,,,,240,eighth,False,True,False,False
P1,6,F,F,,5,120,16th,False,False,False,False
P1,6,G,G,,5,60,32nd,False,False,False,False
P1,6,A,A,,5,60,32nd,False,False,False,False
P1,6,G,G,,5,240,eighth,False,False,False,False
P1,6,,,,,240,eighth,False,True,False,False
P1,7,B,B,,4,120,16th,False,False,False,False
P1,7,C,C,,5,120,16th,False,False,False,False
P1,7,C,C,,5,360,eighth,True,False,False,False
P1,7,B,B,,4,60,32nd,False,False,False,False
P1,7,C,C,,5,60,32nd,False,False,False,False
P1,8,D,D,,5,240,eighth,False,False,False,False
P1,8,G,G,,4,240,eighth,False,False,False,False
P1,8,,,,,240,eighth,False,True,False,False
P1,9,E,E,,5,120,16th,False,False,False,False
P1,9,F,F,,5,120,16th,False,False,False,False
P1,9,F,F,,5,480,quarter,False,False,False,False
P1,10,G,G,,5,240,eighth,False,False,False,False
P1,10,C,C,,5,240,eighth,False,False,False,False
P1,10,,,,,240,eighth,False,True,False,False
P1,11,A,A,,5,120,16th,False,False,False,False
P1,11,B,B,,5,120,16th,False,False,False,False
P1,11,B,B,,5,480,quarter,False,False,False,False
P1,12,C,C,,6,240,eighth,False,False,False,False
P1,12,C,C,,5,240,eighth,False,False,False,False
P1,12,,,,,240,eighth,False,True,False,False
P1,13,C,C,,6,120,16th,False,False,False,False
P1,13,B,B,,5,120,16th,False,False,False,False
P1,13,A,A,,5,120,16th,False,False,False,False
P1,13,G,G,,5,120,16th,False,False,False,False
P1,13,F,F,,5,120,16th,False,False,False,False
P1,13,E,E,,5,120,16th,False,False,False,False
P1,14,F,F,,5,360,eighth,True,False,False,False
P1,14,G,G,,5,120,16th,False,False,False,False
P1,14,E,E,,5,240,eighth,False,False,False,False
P1,15,E,E,,5,120,16th,False,False,False,False
P1,15,D,D,,5,120,16th,False,False,False,False
P1,15,D,D,,5,360,eighth,True,False,False,False
P1,15,C,C,,5,120,16th,False,False,False,False
P1,16,C,C,,5,720,quarter,True,False,False,False
P1,17,C,C,,5,240,eighth,False,False,False,False
P1,17,B,B,,4,240,eighth,False,False,False,False
P1,17,E,E,,5,240,eighth,False,False,False,False
P1,18,C,C,,5,240,eighth,False,False,False,False
P1,18,B,B,,4,240,eighth,False,False,False,False
P1,18,E,E,,5,240,eighth,False,False,False,False
P1,19,C,C,,5,240,eighth,False,False,False,False
P1,19,B,B,,4,240,eighth,False,False,False,False
P1,19,E,E,,5,240,eighth,False,False,False,False
P1,20,C,C,,5,180,16th,True,False,False,False
P1,20,B,B,,4,60,32nd,False,False,False,False
P1,20,A,A,,4,240,eighth,False,False,False,False
P1,20,,,,,240,eighth,False,True,False,False
P1,21,F,F,,5,240,eighth,False,False,False,False
P1,21,E,E,,5,240,eighth,False,False,False,False
P1,21,A,A,,5,240,eighth,False,False,False,False
P1,22,F,F,,5,240,eighth,False,False,False,False
P1,22,E,E,,5,240,eighth,False,False,False,False
P1,22,A,A,,5,240,eighth,False,False,False,False
P1,23,F,F,,5,240,eighth,False,False,False,False
P1,23,E,E,,5,240,eighth,False,False,False,False
P1,23,A,A,,5,240,eighth,False,False,False,False
P1,24,F,F,,5,180,16th,True,False,False,False
P1,24,E,E,,5,60,32nd,False,False,False,False
P1,24,D,D,,5,240,eighth,False,False,False,False
P1,24,,,,,240,eighth,False,True,False,False
P1,25,D,D,,5,240,eighth,False,False,False,False
P1,25,G,G,,5,240,eighth,False,False,False,False
P1,25,F#,F,1,5,240,eighth,False,False,False,False
P1,26,E,E,,5,180,16th,True,False,False,False
P1,26,D#,D,1,5,60,32nd,False,False,False,False
P1,26,E,E,,5,240,eighth,False,False,False,False
P1,26,,,,,240,eighth,False,True,False,False
P1,27,A,A,,5,240,eighth,False,False,False,False
P1,27,A,A,,5,120,16th,False,False,False,False
P1,27,G,G,,5,120,16th,False,False,False,False
P1,27,F#,F,1,5,120,16th,False,False,False,False
P1,27,E,E,,5,120,16th,False,False,False,False
P1,28,D#,D,1,5,180,16th,True,False,False,False
P1,28,C#,C,1,5,60,32nd,False,False,False,False
P1,28,B,B,,4,240,eighth,False,False,False,False
P1,28,,,,,240,eighth,False,True,False,False
P1,29,G,G,,5,240,eighth,False,False,False,False
P1,29,F#,F,1,5,240,eighth,False,False,False,False
P1,29,B,B,,5,240,eighth,False,False,False,False
P1,30,G,G,,5,240,eighth,False,False,False,False
P1,30,F#,F,1,5,240,eighth,False,False,False,False
P1,30,B,B,,5,240,eighth,False,False,False,False
P1,31,G,G,,5,240,eighth,False,False,False,False
P1,31,F#,F,1,5,240,eighth,False,False,False,False
P1,31,B,B,,5,240,eighth,False,False,False,False
P1,32,G,G,,5,240,eighth,False,False,False,False
