part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,,,,,480,quarter,False,True,False,False
P1,1,A,A,,4,480,quarter,False,False,False,False
P1,1,Bb,B,-1,4,480,quarter,False,False,False,False
P1,2,C,C,,5,1440,half,True,False,False,False
P1,3,C,C,,5,480,quarter,False,False,False,False
P1,3,C,C,,5,480,quarter,False,False,False,False
P1,3,D,D,,5,480,quarter,False,False,False,False
P1,4,E,E,,5,960,half,False,False,False,False
P1,4,F,F,,5,480,quarter,False,False,False,False
P1,5,G,G,,5,480,quarter,False,False,False,False
P1,5,A,A,,5,480,quarter,False,False,False,False
P1,5,F,F,,5,480,quarter,False,False,False,False
P1,6,Bb,B,-1,5,480,quarter,False,False,False,False
P1,6,G,G,,5,480,quarter,False,False,False,False
P1,6,C,C,,6,480,quarter,False,False,False,False
P1,7,A,A,,5,720,quarter,True,False,False,False
P1,7,G,G,,5,240,eighth,False,False,False,False
P1,7,F,F,,5,480,quarter,False,False,False,False
P1,8,,,,,240,eighth,False,True,False,False
P1,8,D,D,,5,240,eighth,False,False,False,False
P1,8,G,G,,4,480,quarter,False,False,False,False
P1,8,A,A,,4,360,eighth,True,False,False,False
P1,8,Bb,B,-1,4,120,16th,False,False,False,False
P1,9,A,A,,4,480,quarter,False,False,False,False
P1,9,A,A,,4,480,quarter,False,False,False,False
P1,9,Bb,B,-1,4,480,quarter,False,False,False,False
P1,10,C,C,,5,1440,half,True,False,False,False
P1,11,C,C,,5,480,quarter,False,False,False,False
P1,11,C,C,,5,480,quarter,False,False,False,False
P1,11,D,D,,5,480,quarter,False,False,False,False
P1,12,E,E,,5,960,half,False,False,False,False
P1,12,F,F,,5,480,quarter,False,False,False,False
P1,13,G,G,,5,480,quarter,False,False,False,False
P1,13,A,A,,5,480,quarter,False,False,False,False
P1,13,F,F,,5,480,quarter,False,False,False,False
P1,14,D,D,,5,960,half,False,False,False,False
P1,14,E,E,,5,480,quarter,False,False,False,False
P1,15,F,F,,5,480,quarter,False,False,False,False
P1,15,D,D,,5,720,quarter,True,False,False,False
P1,15,C,C,,5,240,eighth,False,False,False,False
P1,16,C,C,,5,1440,half,True,False,False,False
P1,17,,,,,480,quarter,False,True,False,False
P1,17,A,A,,5,480,quarter,False,False,False,False
P1,17,G,G,,5,480,quarter,False,False,False,False
P1,18,E,E,,5,360,eighth,True,False,False,False
P1,18,D,D,,5,120,16th,False,False,False,False
P1,18,C,C,,5,480,quarter,False,False,False,False
P1,18,,,,,480,quarter,False,True,False,False
P1,19,,,,,480,quarter,False,True,False,False
P1,19,C,C,,6,480,quarter,False,False,False,False
P1,19,A,A,,5,480,quarter,False,False,False,False
P1,20,Bb,B,-1,5,720,quarter,True,False,False,False
P1,20,A,A,,5,240,eighth,False,False,False,False
P1,20,Bb,B,-1,5,240,eighth,False,False,False,False
P1,20,G,G,,5,240,eighth,False,False,False,False
P1,21,A,A,,5,720,quarter,True,False,False,False
P1,21,G,G,,5,240,eighth,False,False,False,False
P1,21,A,A,,5,240,eighth,False,False,False,False
P1,21,F,F,,5,240,eighth,False,False,False,False
P1,22,G,G,,5,720,quarter,True,False,False,False
P1,22,F,F,,5,240,eighth,False,False,False,False
P1,22,G,G,,5,240,eighth,False,False,False,False
P1,22,E,E,,5,240,eighth,False,False,False,False
P1,23,F,F,,5,480,quarter,False,False,False,False
P1,23,Bb,B,-1,5,480,quarter,False,False,False,False
P1,23,A,A,,5,480,quarter,False,False,False,False
P1,24,G,G,,5,480,quarter,False,False,False,False
P1,24,F,F,,5,480,quarter,False,False,False,False
P1,24,E,E,,5,480,quarter,False,False,False,False
P1,25,F,F,,5,240,eighth,False,False,False,False
P1,25,G,G,,5,240,eighth,False,False,False,False
P1,25,E,E,,5,720,quarter,True,False,False,False
P1,25,D,D,,5,240,eighth,False,False,False,False
P1,26,D,D,,5,480,quarter,False,False,False,False
P1,26,Bb,B,-1,5,360,eighth,True,False,False,False
P1,26,A,A,,5,120,16th,False,False,False,False
P1,26,Bb,B,-1,5,480,quarter,False,False,False,False
P1,27,C,C,,5,480,quarter,False,False,False,False
P1,27,A,A,,5,360,eighth,True,False,False,False
P1,27,G,G,,5,120,16th,False,False,False,False
P1,27,A,A,,5,480,quarter,False,False,False,False
P1,28,Bb,B,-1,4,360,eighth,True,False,False,False
P1,28,A,A,,5,120,16th,False,False,False,False
P1,28,G,G,,5,360,eighth,True,False,False,False
P1,28,F,F,,5,120,16th,False,False,False,False
P1,28,F,F,,5,360,eighth,True,False,False,False
P1,28,E,E,,5,120,16th,False,False,False,False
P1,29,E,E,,5,480,quarter,False,False,False,False
P1,29,C,C,,5,480,quarter,False,False,False,False
P1,29,C,C,,5,480,quarter,False,False,False,False
P1,30,C,C,,5,480,quarter,False,False,False,False
P1,30,D,D,,5,240,eighth,False,False,False,False
P1,30,C,C,,5,240,eighth,False,False,False,False
P1,30,Bb,B,-1,4,240,eighth,False,False,False,False
P1,30,A,A,,4,240,eighth,False,False,False,False
P1,31,G,G,,4,480,quarter,False,False,False,False
P1,31,A,A,,5,480,quarter,False,False,False,False
P1,31,A,A,,5,480,quarter,False,False,False,False
P1,32,A,A,,5,1440,half,True,False,False,False
P1,33,A,A,,5,360,eighth,True,False,False,False
P1,33,G,G,,5,120,16th,False,False,False,False
P1,33,F,F,,5,480,quarter,False,False,False,False
P1,33,Bb,B,-1,5,480,quarter,False,False,False,False
P1,34,Bb,B,-1,5,720,quarter,True,False,False,False
P1,34,G,G,,5,240,eighth,False,False,False,False
P1,34,A,A,,5,480,quarter,False,False,False,False
P1,35,G,G,,5,240,eighth,False,False,False,False
P1,35,F,F,,5,240,eighth,False,False,False,False
P1,35,E,E,,5,720,quarter,True,False,False,False
P1,35,F,F,,5,240,eighth,False,False,False,False
P1,36,A,A,,4,480,quarter,False,False,False,False
P1,36,A,A,,4,480,quarter,False,False,False,False
P1,36,A,A,,4,480,quarter,False,False,False,False
P1,37,F,F,,5,480,quarter,False,False,False,False
P1,37,A,A,,4,480,quarter,False,False,False,False
P1,37,D,D,,5,480,quarter,False,False,False,False
P1,38,C,C,,5,720,quarter,True,False,False,False
P1,38,D,D,,5,240,eighth,False,False,False,False
P1,38,Bb,B,-1,4,480,quarter,False,False,False,False
P1,39,A,A,,4,240,eighth,False,False,False,False
P1,39,G,G,,4,240,eighth,False,False,False,False
P1,39,G,G,,4,720,quarter,True,False,False,False
P1,39,F,F,,4,240,eighth,False,False,False,False
P1,40,F,F,,4,480,quarter,False,False,False,False
P1,40,F,F,,5,480,quarter,False,False,False,False
P1,40,E,E,,5,360,eighth,True,False,False,False
P1,40,D,D,,5,120,16th,False,False,False,False
P1,41,C,C,,5,1440,half,True,False,False,False
P1,42,,,,,480,quarter,False,True,False,False
P1,42,A,A,,5,480,quarter,False,False,False,False
P1,42,G,G,,5,240,eighth,False,False,False,False
P1,42,C,C,,5,240,eighth,False,False,False,False
P1,43,F,F,,5,240,eighth,False,False,False,False
P1,43,A,A,,4,240,eighth,False,False,False,False
P1,43,B,B,,4,720,quarter,True,False,False,False
P1,43,C,C,,5,240,eighth,False,False,False,False
P1,44,C,C,,5,1440,half,True,False,False,False
P2,1,C,C,,4,960,half,False,False,False,False
P2,1,F,F,,4,960,half,False,False,False,False
P2,1,A,A,,4,960,half,False,False,False,False
P2,1,,,,,480,quarter,False,True,False,False
P2,2,,,,,480,quarter,False,True,False,False
P2,2,A,A,,3,480,quarter,False,False,False,False
P2,2,C,C,,4,480,quarter,False,False,False,False
P2,2,Bb,B,-1,3,480,quarter,False,False,False,False
P2,2,E,E,,4,480,quarter,False,False,False,False
P2,3,C,C,,4,960,half,False,False,False,False
P2,3,F,F,,4,960,half,False,False,False,False
P2,3,D,D,,4,480,quarter,False,False,False,False
P2,3,F,F,,4,480,quarter,False,False,False,False
P2,3,G,G,,4,480,quarter,False,False,False,False
P2,4,E,E,,4,480,quarter,False,False,False,False
P2,4,G,G,,4,480,quarter,False,False,False,False
P2,4,C,C,,5,480,quarter,False,False,False,False
P2,4,F,F,,4,480,quarter,False,False,False,False
P2,4,B,B,,4,480,quarter,False,False,False,False
P2,5,G,G,,4,480,quarter,False,False,False,False
P2,5,C,C,,5,480,quarter,False,False,False,False
P2,5,F,F,,4,480,quarter,False,False,False,False
P2,5,A,A,,4,480,quarter,False,False,False,False
P2,5,C,C,,5,480,quarter,False,False,False,False
P2,5,F,F,,4,480,quarter,False,False,False,False
P2,5,Bb,B,-1,4,480,quarter,False,False,False,False
P2,5,D,D,,5,480,quarter,False,False,False,False
P2,6,F,F,,4,480,quarter,False,False,False,False
P2,6,Bb,B,-1,4,480,quarter,False,False,False,False
P2,6,D,D,,5,480,quarter,False,False,False,False
P2,6,F,F,,4,480,quarter,False,False,False,False
P2,6,G,G,,4,480,quarter,False,False,False,False
P2,6,C,C,,5,480,quarter,False,False,False,False
P2,6,E,E,,4,480,quarter,False,False,False,False
P2,7,F,F,,4,480,quarter,False,False,False,False
P2,7,A,A,,4,480,quarter,False,False,False,False
P2,7,C,C,,5,480,quarter,False,False,False,False
P2,7,E,E,,4,240,eighth,False,False,False,False
P2,7,G,G,,4,240,eighth,False,False,False,False
P2,7,Bb,B,-1,4,240,eighth,False,False,False,False
P2,7,A,A,,4,480,quarter,False,False,False,False
P2,8,D,D,,4,480,quarter,False,False,False,False
P2,8,F,F,,4,480,quarter,False,False,False,False
P2,8,G,G,,4,480,quarter,False,False,False,False
P2,8,C,C,,4,480,quarter,False,False,False,False
P2,8,F,F,,4,480,quarter,False,False,False,False
P2,8,G,G,,4,480,quarter,False,False,False,False
P2,8,E,E,,4,480,quarter,False,False,False,False
P2,9,C,C,,4,960,half,False,False,False,False
P2,9,F,F,,4,960,half,False,False,False,False
P2,9,A,A,,4,960,half,False,False,False,False
P2,9,,,,,480,quarter,False,True,False,False
P2,10,,,,,480,quarter,False,True,False,False
P2,10,A,A,,3,480,quarter,False,False,False,False
P2,10,C,C,,4,480,quarter,False,False,False,False
P2,10,Bb,B,-1,3,480,quarter,False,False,False,False
P2,10,E,E,,4,480,quarter,False,False,False,False
P2,11,C,C,,4,960,half,False,False,False,False
P2,11,F,F,,4,960,half,False,False,False,False
P2,11,D,D,,4,480,quarter,False,False,False,False
P2,11,F,F,,4,480,quarter,False,False,False,False
P2,11,G,G,,4,480,quarter,False,False,False,False
P2,12,E,E,,4,480,quarter,False,False,False,False
P2,12,G,G,,4,480,quarter,False,False,False,False
P2,12,C,C,,5,480,quarter,False,False,False,False
P2,12,F,F,,4,480,quarter,False,False,False,False
P2,12,B,B,,4,480,quarter,False,False,False,False
P2,13,G,G,,4,480,quarter,False,False,False,False
P2,13,C,C,,5,480,quarter,False,False,False,False
P2,13,F,F,,4,480,quarter,False,False,False,False
P2,13,A,A,,4,480,quarter,False,False,False,False
P2,13,C,C,,5,480,quarter,False,False,False,False
P2,13,F,F,,4,480,quarter,False,False,False,False
P2,13,A,A,,4,480,quarter,False,False,False,False
P2,13,D,D,,5,480,quarter,False,False,False,False
P2,14,G,G,,4,480,quarter,False,False,False,False
P2,14,B,B,,4,480,quarter,False,False,False,False
P2,14,D,D,,5,480,quarter,False,False,False,False
P2,14,D,D,,5,480,quarter,False,False,False,False
P2,14,G,G,,5,480,quarter,False,False,False,False
P2,14,C,C,,5,480,quarter,False,False,False,False
