part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,B,B,,4,480,quarter,False,False,False,False
P1,1,F#,F,1,4,240,eighth,False,False,False,False
P1,1,D,D,,5,240,eighth,False,False,False,False
P1,1,D,D,,5,480,quarter,False,False,False,False
P1,1,C#,C,1,5,240,eighth,False,False,False,False
P1,1,B,B,,4,240,eighth,False,False,False,False
P1,1,,,,,960,half,False,True,False,False
P1,1,G#,G,1,4,960,half,False,False,False,False
P1,2,F#,F,1,4,480,quarter,False,False,False,False
P1,2,B,B,,4,480,quarter,False,False,False,False
P1,2,A#,A,1,4,180,16th,True,False,False,False
P1,2,E,E,,5,60,32nd,False,False,False,False
P1,2,C#,C,1,5,180,16th,True,False,False,False
P1,2,A#,A,1,4,60,32nd,False,False,False,False
P1,2,C#,C,1,5,120,16th,False,False,False,False
P1,2,B,B,,4,120,16th,False,False,False,False
P1,2,D,D,,5,120,16th,False,False,False,False
P1,2,C#,C,1,5,120,16th,False,False,False,False
P1,2,E,E,,5,120,16th,False,False,False,False
P1,2,D,D,,5,120,16th,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,,,,,1920,whole,False,True,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,B,B,,4,480,quarter,False,False,False,False
P1,3,B,B,,5,480,quarter,False,False,False,False
P1,3,A#,A,1,4,240,eighth,False,False,False,False
P1,3,A#,A,1,5,240,eighth,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,G,G,,5,240,eighth,False,False,False,False
P1,3,A,A,,5,,16th,False,False,True,False
P1,3,G,G,,5,240,eighth,False,False,False,False
P1,3,F#,F,1,5,240,eighth,False,False,False,False
P1,3,,,,,1920,whole,False,True,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,4,G,G,,4,480,quarter,False,False,False,False
P1,4,G,G,,5,480,quarter,False,False,False,False
P1,4,F#,F,1,4,240,eighth,False,False,False,False
P1,4,F#,F,1,5,240,eighth,False,False,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,4,E,E,,5,240,eighth,False,False,False,False
P1,4,F#,F,1,5,,16th,False,False,True,False
