part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,C,C,,5,480,quarter,False,False,False,False
P1,1,C,C,,5,480,quarter,False,False,False,False
P1,2,G,G,,5,480,quarter,False,False,False,False
P1,2,G,G,,5,480,quarter,False,False,False,False
P1,3,A,A,,5,480,quarter,False,False,False,False
P1,3,A,A,,5,480,quarter,False,False,False,False
P1,4,G,G,,5,480,quarter,False,False,False,False
P1,4,G,G,,5,480,quarter,False,False,False,False
P1,5,F,F,,5,480,quarter,False,False,False,False
P1,5,F,F,,5,480,quarter,False,False,False,False
P1,6,E,E,,5,480,quarter,False,False,False,False
P1,6,E,E,,5,480,quarter,False,False,False,False
P1,7,D,D,,5,480,quarter,False,False,False,False
P1,7,D,D,,5,360,eighth,True,False,False,False
P1,7,E,E,,5,120,16th,False,False,False,False
P1,8,C,C,,5,960,half,False,False,False,False
P1,9,G,G,,5,480,quarter,False,False,False,False
P1,9,G,G,,5,480,quarter,False,False,False,False
P1,10,F,F,,5,480,quarter,False,False,False,False
P1,10,F,F,,5,480,quarter,False,False,False,False
P1,11,E,E,,5,480,quarter,False,False,False,False
P1,11,E,E,,5,480,quarter,False,False,False,False
P1,12,D,D,,5,480,quarter,False,False,False,False
P1,12,D,D,,5,480,quarter,False,False,False,False
P1,13,G,G,,5,480,quarter,False,False,False,False
P1,13,G,G,,5,480,quarter,False,False,False,False
P1,14,F,F,,5,480,quarter,False,False,False,False
P1,14,F,F,,5,480,quarter,False,False,False,False
P1,15,E,E,,5,480,quarter,False,False,False,False
P1,15,E,E,,5,360,eighth,True,False,False,False
P1,15,F,F,,5,120,16th,False,False,False,False
P1,16,E,E,,5,480,quarter,False,False,False,False
P1,16,D,D,,5,480,quarter,False,False,False,False
P1,17,C,C,,5,480,quarter,False,False,False,False
P1,17,C,C,,5,480,quarter,False,False,False,False
P1,18,G,G,,5,480,quarter,False,False,False,False
P1,18,G,G,,5,480,quarter,False,False,False,False
P1,19,A,A,,5,480,quarter,False,False,False,False
