part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,0,,,,,480,,False,True,False,False
P1,1,,,,,1920,,False,True,False,False
P1,2,,,,,1920,,False,True,False,False
P1,3,,,,,1920,,False,True,False,False
P1,4,,,,,1920,,False,True,False,False
P1,5,,,,,1920,whole,False,True,False,False
P1,6,,,,,960,half,False,True,False,False
P1,6,,,,,480,quarter,False,True,False,False
P1,6,G,G,,4,240,eighth,False,False,False,False
P1,6,Ab,A,-1,4,,quarter,False,False,True,False
P1,6,Ab,A,-1,4,240,eighth,False,False,False,False
P1,7,Bb,B,-1,4,480,quarter,False,False,False,False
P1,7,Bb,B,-1,4,480,quarter,False,False,False,False
P1,7,Bb,B,-1,4,480,quarter,False,False,False,False
P1,7,Bb,B,-1,4,480,quarter,False,False,False,False
P1,8,Bb,B,-1,4,720,quarter,True,False,False,False
P1,8,Eb,E,-1,5,240,eighth,False,False,False,False
P1,8,Eb,E,-1,5,480,quarter,False,False,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,9,G,G,,4,720,quarter,True,False,False,False
P1,9,Bb,B,-1,4,240,eighth,False,False,False,False
P1,9,Bb,B,-1,4,480,quarter,False,False,False,False
P1,9,,,,,480,quarter,False,True,False,False
P1,10,Eb,E,-1,4,960,half,False,False,False,False
P1,10,Eb,E,-1,4,240,eighth,False,False,False,False
P1,10,F,F,,4,240,eighth,False,False,False,False
P1,10,G,G,,4,240,eighth,False,False,False,False
P1,10,Ab,A,-1,4,240,eighth,False,False,False,False
P1,11,G,G,,4,480,quarter,False,False,False,False
P1,11,F,F,,4,480,quarter,False,False,False,False
P1,11,,,,,480,quarter,False,True,False,False
P1,11,G,G,,4,240,eighth,False,False,False,False
P1,11,Ab,A,-1,4,240,eighth,False,False,False,False
P1,12,Bb,B,-1,4,480,quarter,False,False,False,False
P1,12,Bb,B,-1,4,480,quarter,False,False,False,False
P1,12,Bb,B,-1,4,480,quarter,False,False,False,False
P1,12,Bb,B,-1,4,480,quarter,False,False,False,False
P1,13,Bb,B,-1,4,720,quarter,True,False,False,False
P1,13,Eb,E,-1,5,240,eighth,False,False,False,False
P1,13,Eb,E,-1,5,480,quarter,False,False,False,False
P1,13,,,,,480,quarter,False,True,False,False
P1,14,G,G,,4,960,half,False,False,False,False
P1,14,G,G,,4,240,eighth,False,False,False,False
P1,14,Ab,A,-1,4,240,eighth,False,False,False,False
P1,14,A,A,,4,240,eighth,False,False,False,False
P1,14,Bb,B,-1,4,240,eighth,False,False,False,False
P1,15,Eb,E,-1,4,480,quarter,False,False,False,False
P1,15,Eb,E,-1,4,480,quarter,False,False,False,False
P1,15,G,G,,4,360,eighth,True,False,False,False
P1,15,Ab,A,-1,4,120,16th,False,False,False,False
P1,15,F,F,,4,360,eighth,True,False,False,False
P1,15,G,G,,4,120,16th,False,False,False,False
P1,16,Eb,E,-1,4,480,quarter,False,False,False,False
P1,16,,,,,960,half,False,True,False,False
P1,16,G,G,,4,240,eighth,False,False,False,False
P1,16,A,A,,4,240,eighth,False,False,False,False
P1,17,Bb,B,-1,4,480,quarter,False,False,False,False
P1,17,F,F,,4,480,quarter,False,False,False,False
P1,17,C,C,,5,480,quarter,False,False,False,False
P1,17,F,F,,4,480,quarter,False,False,False,False
P1,18,D,D,,5,480,quarter,False,False,False,False
P1,18,Bb,B,-1,4,480,quarter,False,False,False,False
P1,18,Eb,E,-1,5,480,quarter,False,False,False,False
P1,18,C,C,,5,480,quarter,False,False,False,False
P1,19,G,G,,5,240,eighth,False,False,False,False
P1,19,F,F,,5,240,eighth,False,False,False,False
P1,19,Eb,E,-1,5,240,eighth,False,False,False,False
P1,19,D,D,,5,240,eighth,False,False,False,False
P1,19,D,D,,5,240,eighth,False,False,False,False
P1,19,C,C,,5,240,eighth,False,False,False,False
P1,19,Bb,B,-1,4,240,eighth,False,False,False,False
P1,19,A,A,,4,240,eighth,False,False,False,False
P1,20,Bb,B,-1,4,480,quarter,False,False,False,False
P1,20,,,,,480,quarter,False,True,False,False
P1,20,,,,,960,half,False,True,False,False
P1,21,,,,,960,half,False,True,False,False
P1,21,Eb,E,-1,5,480,quarter,False,False,False,False
P1,21,A,A,,4,480,quarter,False,False,False,False
P1,22,C,C,,5,480,quarter,False,False,False,False
P1,22,Bb,B,-1,4,480,quarter,False,False,False,False
P1,22,,,,,960,half,False,True,False,False
P1,23,,,,,960,half,False,True,False,False
P1,23,Eb,E,-1,5,480,quarter,False,False,False,False
P1,23,A,A,,4,480,quarter,False,False,False,False
P1,24,Bb,B,-1,4,480,quarter,False,False,False,False
P1,24,B,B,,4,480,quarter,False,False,False,False
P1,24,C,C,,5,480,quarter,False,False,False,False
P1,24,D,D,,5,480,quarter,False,False,False,False
P1,25,Eb,E,-1,5,480,quarter,False,False,False,False
P1,25,A,A,,4,480,quarter,False,False,False,False
P1,25,A,A,,4,480,quarter,False,False,False,False
P1,25,A,A,,4,480,quarter,False,False,False,False
P1,26,Bb,B,-1,4,480,quarter,False,False,False,False
P1,26,D,D,,5,480,quarter,False,False,False,False
P1,26,Eb,E,-1,5,480,quarter,False,False,False,False
P1,26,A,A,,4,480,quarter,False,False,False,False
P1,27,Bb,B,-1,4,240,eighth,False,False,False,False
P1,27,D,D,,5,240,eighth,False,False,False,False
P1,27,D,D,,5,240,eighth,False,False,False,False
P1,27,F,F,,5,240,eighth,False,False,False,False
P1,27,Eb,E,-1,5,720,quarter,True,False,False,False
P1,27,A,A,,4,240,eighth,False,False,False,False
P1,28,Bb,B,-1,4,960,half,False,False,False,False
P1,28,,,,,480,quarter,False,True,False,False
P1,28,G,G,,4,240,eighth,False,False,False,False
P1,28,Ab,A,-1,4,240,eighth,False,False,False,False
P1,29,Bb,B,-1,4,480,quarter,False,False,False,False
P1,29,Bb,B,-1,4,480,quarter,False,False,False,False
P1,29,Bb,B,-1,4,480,quarter,False,False,False,False
P1,29,Bb,B,-1,4,480,quarter,False,False,False,False
P1,30,Bb,B,-1,4,720,quarter,True,False,False,False
P1,30,Eb,E,-1,5,240,eighth,False,False,False,False
P1,30,Eb,E,-1,5,480,quarter,False,False,False,False
P1,30,,,,,480,quarter,False,True,False,False
P1,31,G,G,,4,720,quarter,True,False,False,False
P1,31,Bb,B,-1,4,240,eighth,False,False,False,False
P1,31,Bb,B,-1,4,960,half,False,False,False,False
P1,32,Eb,E,-1,4,960,half,False,False,False,False
P1,32,Eb,E,-1,4,240,eighth,False,False,False,False
P1,32,F,F,,4,240,eighth,False,False,False,False
P1,32,G,G,,4,240,eighth,False,False,False,False
P1,32,Ab,A,-1,4,240,eighth,False,False,False,False
P1,33,G,G,,4,480,quarter,False,False,False,False
P1,33,F,F,,4,480,quarter,False,False,False,False
P1,33,,,,,480,quarter,False,True,False,False
P1,33,G,G,,4,240,eighth,False,False,False,False
P1,33,Ab,A,-1,4,240,eighth,False,False,False,False
P1,34,Bb,B,-1,4,480,quarter,False,False,False,False
P1,34,Bb,B,-1,4,480,quarter,False,False,False,False
P1,34,Bb,B,-1,4,480,quarter,False,False,False,False
P1,34,Bb,B,-1,4,480,quarter,False,False,False,False
P1,35,Bb,B,-1,4,240,eighth,False,False,False,False
P1,35,B,B,,4,240,eighth,False,False,False,False
