part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,,,,,960,whole,False,True,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,,,,,120,16th,False,True,False,False
P1,2,G,G,,4,120,16th,False,False,False,False
P1,2,D,D,,5,360,eighth,True,False,False,False
P1,2,Bb,B,-1,4,120,16th,False,False,False,False
P1,3,A,A,,4,240,eighth,False,False,False,False
P1,3,Eb,E,-1,5,240,eighth,False,False,False,False
P1,3,D,D,,5,240,eighth,False,False,False,False
P1,3,F#,F,1,4,240,eighth,False,False,False,False
P1,4,G,G,,4,240,eighth,False,False,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,4,Bb,B,-1,4,240,eighth,False,False,False,False
P1,4,A,A,,4,120,16th,False,False,False,False
P1,4,Bb,B,-1,4,120,16th,False,False,False,False
P1,5,C,C,,5,240,eighth,False,False,False,False
P1,5,Bb,B,-1,4,240,eighth,False,False,False,False
P1,5,Eb,E,-1,5,240,eighth,False,False,False,False
P1,5,D,D,,5,240,eighth,False,False,False,False
P1,6,C,C,,5,480,quarter,False,False,False,False
P1,6,,,,,240,eighth,False,True,False,False
P1,6,C,C,,5,240,eighth,False,False,False,False
P1,7,C,C,,5,720,quarter,True,False,False,False
P1,7,C,C,,5,240,eighth,False,False,False,False
P1,8,C,C,,5,240,eighth,False,False,False,False
P1,8,C,C,,5,240,eighth,False,False,False,False
P1,8,C,C,,5,240,eighth,False,False,False,False
P1,8,C,C,,5,240,eighth,False,False,False,False
P1,9,C,C,,5,240,eighth,False,False,False,False
P1,9,,,,,120,16th,False,True,False,False
P1,9,F,F,,4,120,16th,False,False,False,False
P1,9,F,F,,5,480,quarter,False,False,False,False
P1,10,F,F,,5,120,16th,False,False,False,False
P1,10,G,G,,5,120,16th,False,False,False,False
P1,10,F,F,,5,120,16th,False,False,False,False
P1,10,Eb,E,-1,5,120,16th,False,False,False,False
P1,10,D,D,,5,240,eighth,False,False,False,False
P1,10,C,C,,5,240,eighth,False,False,False,False
P1,11,Bb,B,-1,4,240,eighth,False,False,False,False
P1,11,,,,,120,16th,False,True,False,False
P1,11,Bb,B,-1,4,120,16th,False,False,False,False
P1,11,Bb,B,-1,4,360,eighth,True,False,False,False
P1,11,Bb,B,-1,4,120,16th,False,False,False,False
P1,12,Bb,B,-1,4,180,16th,True,False,False,False
P1,12,Bb,B,-1,4,60,32nd,False,False,False,False
P1,12,B,B,,4,120,16th,False,False,False,False
P1,12,B,B,,4,120,16th,False,False,False,False
P1,12,C,C,,5,120,16th,False,False,False,False
P1,12,C,C,,5,120,16th,False,False,False,False
P1,12,C#,C,1,5,120,16th,False,False,False,False
P1,12,C#,C,1,5,120,16th,False,False,False,False
P1,13,D,D,,5,240,eighth,False,False,False,False
P1,13,,,,,120,16th,False,True,False,False
P1,13,D,D,,5,120,16th,False,False,False,False
P1,13,F#,F,1,5,360,eighth,True,False,False,False
P1,13,F#,F,1,5,120,16th,False,False,False,False
P1,14,G,G,,5,240,eighth,False,False,False,False
P1,14,Eb,E,-1,5,240,eighth,False,False,False,False
P1,14,D,D,,5,240,eighth,False,False,False,False
P1,14,F#,F,1,4,240,eighth,False,False,False,False
P1,15,G,G,,4,480,quarter,False,False,False,False
P1,15,,,,,480,quarter,False,True,False,False
P1,16,,,,,960,whole,False,True,False,False
P1,17,,,,,960,half,False,True,False,False
P2,1,G,G,,4,360,eighth,True,False,False,False
P2,1,A,A,,4,40,32nd,False,False,False,False
P2,1,Bb,B,-1,4,40,32nd,False,False,False,False
P2,1,C,C,,5,40,32nd,False,False,False,False
P2,1,D,D,,5,360,eighth,True,False,False,False
P2,1,Eb,E,-1,5,60,32nd,False,False,False,False
P2,1,F,F,,5,60,32nd,False,False,False,False
P2,1,,,,,480,quarter,False,True,False,False
P2,1,A,A,,4,480,quarter,False,False,False,False
P2,1,G,G,,2,480,quarter,False,False,False,False
P2,1,G,G,,3,480,quarter,False,False,False,False
P2,1,F,F,,2,480,quarter,False,False,False,False
P2,1,F,F,,3,480,quarter,False,False,False,False
P2,2,G,G,,5,240,eighth,False,False,False,False
P2,2,,,,,240,eighth,False,True,False,False
P2,2,,,,,120,16th,False,True,False,False
P2,2,D,D,,4,120,16th,False,False,False,False
P2,2,G,G,,4,120,16th,False,False,False,False
P2,2,D,D,,5,120,16th,False,False,False,False
P2,2,,,,,120,16th,False,True,False,False
P2,2,D,D,,4,120,16th,False,False,False,False
P2,2,G,G,,4,120,16th,False,False,False,False
P2,2,Bb,B,-1,4,120,16th,False,False,False,False
P2,2,G,G,,4,240,eighth,False,False,False,False
P2,2,Bb,B,-1,4,240,eighth,False,False,False,False
P2,2,Eb,E,-1,2,240,eighth,False,False,False,False
P2,2,Eb,E,-1,3,240,eighth,False,False,False,False
P2,2,,,,,240,eighth,False,True,False,False
P2,2,Bb,B,-1,2,120,16th,False,False,False,False
P2,2,,,,,120,16th,False,True,False,False
P2,2,G,G,,2,120,16th,False,False,False,False
P2,2,,,,,120,16th,False,True,False,False
P2,3,,,,,120,16th,False,True,False,False
P2,3,Eb,E,-1,4,120,16th,False,False,False,False
P2,3,G,G,,4,120,16th,False,False,False,False
P2,3,A,A,,4,120,16th,False,False,False,False
P2,3,,,,,120,16th,False,True,False,False
P2,3,G,G,,4,120,16th,False,False,False,False
P2,3,C,C,,5,120,16th,False,False,False,False
P2,3,Eb,E,-1,5,120,16th,False,False,False,False
P2,3,,,,,120,16th,False,True,False,False
P2,3,G,G,,4,120,16th,False,False,False,False
P2,3,Bb,B,-1,4,120,16th,False,False,False,False
P2,3,D,D,,5,120,16th,False,False,False,False
P2,3,,,,,120,16th,False,True,False,False
P2,3,C,C,,4,120,16th,False,False,False,False
P2,3,F#,F,1,4,120,16th,False,False,False,False
P2,3,A,A,,4,120,16th,False,False,False,False
P2,3,C,C,,3,120,16th,False,False,False,False
P2,3,,,,,120,16th,False,True,False,False
P2,3,A,A,,2,120,16th,False,False,False,False
P2,3,,,,,120,16th,False,True,False,False
P2,3,D,D,,3,120,16th,False,False,False,False
P2,3,,,,,120,16th,False,True,False,False
P2,3,D,D,,2,120,16th,False,False,False,False
P2,3,,,,,120,16th,False,True,False,False
P2,4,Bb,B,-1,3,240,eighth,False,False,False,False
P2,4,D,D,,4,240,eighth,False,False,False,False
P2,4,G,G,,4,240,eighth,False,False,False,False
P2,4,,,,,240,eighth,False,True,False,False
P2,4,Bb,B,-1,4,240,eighth,False,False,False,False
P2,4,A,A,,4,120,16th,False,False,False,False
P2,4,Bb,B,-1,4,120,16th,False,False,False,False
P2,4,,,,,480,quarter,False,True,False,False
P2,4,F,F,,4,480,quarter,False,False,False,False
P2,4,G,G,,2,240,eighth,False,False,False,False
P2,4,,,,,240,eighth,False,True,False,False
P2,4,D,D,,4,240,eighth,False,False,False,False
P2,4,C,C,,4,120,16th,False,False,False,False
P2,4,D,D,,4,120,16th,False,False,False,False
P2,5,A,A,,4,240,eighth,False,False,False,False
P2,5,C,C,,5,240,eighth,False,False,False,False
P2,5,Bb,B,-1,4,240,eighth,False,False,False,False
P2,5,A,A,,4,240,eighth,False,False,False,False
P2,5,Eb,E,-1,5,240,eighth,False,False,False,False
P2,5,D,D,,5,240,eighth,False,False,False,False
P2,5,F,F,,4,960,half,False,False,False,False
P2,5,Eb,E,-1,4,240,eighth,False,False,False,False
P2,5,D,D,,4,240,eighth,False,False,False,False
P2,5,C,C,,4,240,eighth,False,False,False,False
P2,5,Bb,B,-1,3,240,eighth,False,False,False,False
P2,6,F,F,,4,240,eighth,False,False,False,False
P2,6,A,A,,4,240,eighth,False,False,False,False
P2,6,C,C,,5,240,eighth,False,False,False,False
P2,6,C,C,,5,240,eighth,False,False,False,False
P2,6,C,C,,6,240,eighth,False,False,False,False
P2,6,C,C,,5,240,eighth,False,False,False,False
P2,6,F,F,,3,120,16th,False,False,False,False
P2,6,C,C,,4,120,16th,False,False,False,False
P2,6,A,A,,3,120,16th,False,False,False,False
P2,6,F,F,,3,120,16th,False,False,False,False
P2,6,E,E,,3,120,16th,False,False,False,False
P2,6,Bb,B,-1,3,120,16th,False,False,False,False
P2,6,G,G,,3,120,16th,False,False,False,False
P2,6,E,E,,3,120,16th,False,False,False,False
P2,7,,,,,240,eighth,False,True,False,False
P2,7,C,C,,5,240,eighth,False,False,False,False
P2,7,C,C,,6,240,eighth,False,False,False,False
P2,7,C,C,,5,240,eighth,False,False,False,False
P2,7,F,F,,3,120,16th,False,False,False,False
P2,7,C,C,,4,120,16th,False,False,False,False
P2,7,A,A,,3,120,16th,False,False,False,False
P2,7,F,F,,3,120,16th,False,False,False,False
P2,7,E,E,,3,120,16th,False,False,False,False
P2,7,Bb,B,-1,3,120,16th,False,False,False,False
P2,7,G,G,,3,120,16th,False,False,False,False
P2,7,E,E,,3,120,16th,False,False,False,False
P2,8,,,,,240,eighth,False,True,False,False
P2,8,C,C,,5,240,eighth,False,False,False,False
P2,8,C,C,,6,240,eighth,False,False,False,False
P2,8,C,C,,5,240,eighth,False,False,False,False
P2,8,F,F,,3,120,16th,False,False,False,False
P2,8,C,C,,4,120,16th,False,False,False,False
P2,8,A,A,,3,120,16th,False,False,False,False
P2,8,F,F,,3,120,16th,False,False,False,False
P2,8,E,E,,3,120,16th,False,False,False,False
P2,8,Bb,B,-1,3,120,16th,False,False,False,False
P2,8,G,G,,3,120,16th,False,False,False,False
P2,8,E,E,,3,120,16th,False,False,False,False
P2,9,F,F,,4,240,eighth,False,False,False,False
P2,9,A,A,,4,240,eighth,False,False,False,False
P2,9,C,C,,5,240,eighth,False,False,False,False
P2,9,,,,,240,eighth,False,True,False,False
P2,9,F,F,,4,480,quarter,False,False,False,False
P2,9,Bb,B,-1,4,480,quarter,False,False,False,False
P2,9,F,F,,5,480,quarter,False,False,False,False
P2,9,Eb,E,-1,3,240,eighth,False,False,False,False
P2,9,F,F,,3,240,eighth,False,False,False,False
P2,9,A,A,,3,240,eighth,False,False,False,False
P2,9,,,,,240,eighth,False,True,False,False
P2,9,D,D,,2,480,quarter,False,False,False,False
P2,9,D,D,,3,480,quarter,False,False,False,False
P2,10,F,F,,4,120,16th,False,False,False,False
P2,10,Bb,B,-1,4,120,16th,False,False,False,False
P2,10,F,F,,5,120,16th,False,False,False,False
P2,10,A,A,,4,120,16th,False,False,False,False
P2,10,G,G,,5,120,16th,False,False,False,False
P2,10,Bb,B,-1,4,120,16th,False,False,False,False
P2,10,F,F,,5,120,16th,False,False,False,False
P2,10,C,C,,5,120,16th,False,False,False,False
P2,10,Eb,E,-1,5,120,16th,False,False,False,False
P2,10,Bb,B,-1,4,240,eighth,False,False,False,False
P2,10,D,D,,5,240,eighth,False,False,False,False
P2,10,A,A,,4,240,eighth,False,False,False,False
P2,10,C,C,,5,240,eighth,False,False,False,False
P2,10,D,D,,2,120,16th,False,False,False,False
P2,10,D,D,,3,120,16th,False,False,False,False
P2,10,Eb,E,-1,3,120,16th,False,False,False,False
P2,10,D,D,,3,120,16th,False,False,False,False
P2,10,Eb,E,-1,3,120,16th,False,False,False,False
P2,10,F,F,,3,240,eighth,False,False,False,False
P2,10,F,F,,2,240,eighth,False,False,False,False
P2,11,,,,,480,quarter,False,True,False,False
P2,11,F,F,,4,480,quarter,False,False,False,False
P2,11,Ab,A,-1,4,480,quarter,False,False,False,False
P2,11,Bb,B,-1,4,480,quarter,False,False,False,False
P2,11,Bb,B,-1,4,240,eighth,False,False,False,False
P2,11,,,,,240,eighth,False,True,False,False
P2,11,,,,,480,quarter,False,True,False,False
P2,11,Bb,B,-1,2,240,eighth,False,False,False,False
P2,11,,,,,240,eighth,False,True,False,False
P2,11,D,D,,4,480,quarter,False,False,False,False
P2,12,Bb,B,-1,4,240,eighth,False,False,False,False
P2,12,B,B,,4,240,eighth,False,False,False,False
P2,12,C,C,,5,240,eighth,False,False,False,False
P2,12,C#,C,1,5,240,eighth,False,False,False,False
P2,12,G,G,,4,240,eighth,False,False,False,False
P2,12,Ab,A,-1,4,240,eighth,False,False,False,False
P2,12,G,G,,4,480,quarter,False,False,False,False
P2,12,Eb,E,-1,4,240,eighth,False,False,False,False
P2,12,F,F,,4,240,eighth,False,False,False,False
P2,12,E,E,,4,240,eighth,False,False,False,False
P2,12,Eb,E,-1,4,240,eighth,False,False,False,False
P2,13,F#,F,1,4,240,eighth,False,False,False,False
P2,13,D,D,,5,240,eighth,False,False,False,False
P2,13,,,,,240,eighth,False,True,False,False
P2,13,A,A,,4,480,quarter,False,False,False,False
P2,13,Eb,E,-1,5,480,quarter,False,False,False,False
P2,13,F#,F,1,5,480,quarter,False,False,False,False
P2,13,D,D,,4,240,eighth,False,False,False,False
P2,13,,,,,240,eighth,False,True,False,False
P2,13,C,C,,3,480,quarter,False,False,False,False
P2,13,C,C,,4,480,quarter,False,False,False,False
P2,14,,,,,120,16th,False,True,False,False
P2,14,D,D,,5,120,16th,False,False,False,False
P2,14,G,G,,5,120,16th,False,False,False,False
P2,14,,,,,120,16th,False,True,False,False
P2,14,G,G,,4,120,16th,False,False,False,False
P2,14,C,C,,5,120,16th,False,False,False,False
P2,14,Eb,E,-1,5,120,16th,False,False,False,False
P2,14,,,,,120,16th,False,True,False,False
P2,14,G,G,,4,120,16th,False,False,False,False
P2,14,Bb,B,-1,4,120,16th,False,False,False,False
P2,14,D,D,,5,120,16th,False,False,False,False
P2,14,,,,,120,16th,False,True,False,False
P2,14,A,A,,3,120,16th,False,False,False,False
P2,14,C,C,,4,120,16th,False,False,False,False
P2,14,F#,F,1,4,120,16th,False,False,False,False
P2,14,Bb,B,-1,2,120,16th,False,False,False,False
P2,14,Bb,B,-1,3,120,16th,False,False,False,False
P2,14,,,,,120,16th,False,True,False,False
P2,14,D,D,,3,120,16th,False,False,False,False
P2,14,C,C,,4,120,16th,False,False,False,False
P2,14,,,,,120,16th,False,True,False,False
P2,14,D,D,,3,120,16th,False,False,False,False
P2,14,D,D,,4,120,16th,False,False,False,False
P2,14,,,,,120,16th,False,True,False,False
P2,14,D,D,,2,120,16th,False,False,False,False
P2,14,D,D,,3,120,16th,False,False,False,False
P2,14,,,,,120,16th,False,True,False,False
P2,14,,,,,960,whole,False,True,False,False
P2,15,Bb,B,-1,3,240,eighth,False,False,False,False
P2,15,D,D,,4,240,eighth,False,False,False,False
P2,15,G,G,,4,240,eighth,False,False,False,False
P2,15,,,,,180,16th,True,True,False,False
P2,15,G,G,,5,60,32nd,False,False,False,False
P2,15,C#,C,1,6,360,eighth,True,False,False,False
P2,15,C#,C,1,6,120,16th,False,False,False,False
P2,15,G,G,,2,240,eighth,False,False,False,False
P2,15,G,G,,3,240,eighth,False,False,False,False
P2,15,,,,,240,eighth,False,True,False,False
P2,15,G,G,,3,480,quarter,False,False,False,False
P2,15,Bb,B,-1,3,480,quarter,False,False,False,False
P2,15,,,,,960,whole,False,True,False,False
P2,16,Eb,E,-1,6,60,32nd,False,False,False,False
P2,16,D,D,,6,60,32nd,False,False,False,False
P2,16,C#,C,1,6,60,32nd,False,False,False,False
P2,16,D,D,,6,60,32nd,False,False,False,False
P2,16,C,C,,6,60,32nd,False,False,False,False
P2,16,Bb,B,-1,5,60,32nd,False,False,False,False
P2,16,A,A,,5,60,32nd,False,False,False,False
P2,16,G,G,,5,60,32nd,False,False,False,False
P2,16,F,F,,5,60,32nd,False,False,False,False
P2,16,Eb,E,-1,5,60,32nd,False,False,False,False
P2,16,D,D,,5,60,32nd,False,False,False,False
P2,16,C,C,,5,60,32nd,False,False,False,False
