part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,,,,,1920,whole,False,True,False,False
P1,1,D,D,,2,160,eighth,False,False,False,False
P1,1,F,F,,2,160,eighth,False,False,False,False
P1,1,A,A,,2,160,eighth,False,False,False,False
P1,1,,,,,160,eighth,False,True,False,False
P1,1,D,D,,3,160,eighth,False,False,False,False
P1,1,A,A,,3,160,eighth,False,False,False,False
P1,1,D,D,,4,160,eighth,False,False,False,False
P1,1,A,A,,3,160,eighth,False,False,False,False
P1,1,F,F,,4,160,eighth,False,False,False,False
P1,1,D,D,,4,160,eighth,False,False,False,False
P1,1,A,A,,3,160,eighth,False,False,False,False
P1,1,F,F,,3,160,eighth,False,False,False,False
P1,1,D,D,,2,480,quarter,False,False,False,False
P1,1,D,D,,2,1440,half,True,False,False,False
P1,1,D,D,,3,1440,half,True,False,False,False
P1,2,,,,,1920,whole,False,True,False,False
P1,2,D,D,,2,160,eighth,False,False,False,False
P1,2,F,F,,2,160,eighth,False,False,False,False
P1,2,A,A,,2,160,eighth,False,False,False,False
P1,2,,,,,160,eighth,False,True,False,False
P1,2,D,D,,3,160,eighth,False,False,False,False
P1,2,A,A,,3,160,eighth,False,False,False,False
P1,2,D,D,,4,160,eighth,False,False,False,False
P1,2,A,A,,3,160,eighth,False,False,False,False
P1,2,F,F,,4,160,eighth,False,False,False,False
P1,2,D,D,,4,160,eighth,False,False,False,False
P1,2,A,A,,3,160,eighth,False,False,False,False
P1,2,F,F,,3,160,eighth,False,False,False,False
P1,2,D,D,,2,480,quarter,False,False,False,False
P1,2,D,D,,2,1440,half,True,False,False,False
P1,2,D,D,,3,1440,half,True,False,False,False
P1,3,,,,,1920,whole,False,True,False,False
P1,3,D,D,,2,160,eighth,False,False,False,False
P1,3,G,G,,2,160,eighth,False,False,False,False
P1,3,Bb,B,-1,2,160,eighth,False,False,False,False
P1,3,,,,,160,eighth,False,True,False,False
P1,3,G,G,,3,160,eighth,False,False,False,False
P1,3,Bb,B,-1,3,160,eighth,False,False,False,False
P1,3,E,E,,4,160,eighth,False,False,False,False
P1,3,Bb,B,-1,3,160,eighth,False,False,False,False
P1,3,G,G,,4,160,eighth,False,False,False,False
P1,3,E,E,,4,160,eighth,False,False,False,False
P1,3,Bb,B,-1,3,160,eighth,False,False,False,False
P1,3,G,G,,3,160,eighth,False,False,False,False
P1,3,D,D,,2,480,quarter,False,False,False,False
P1,3,D,D,,2,1440,half,True,False,False,False
P1,3,D,D,,3,1440,half,True,False,False,False
P1,4,,,,,1920,whole,False,True,False,False
P1,4,D,D,,2,160,eighth,False,False,False,False
P1,4,G,G,,2,160,eighth,False,False,False,False
P1,4,Bb,B,-1,2,160,eighth,False,False,False,False
P1,4,,,,,160,eighth,False,True,False,False
P1,4,G,G,,3,160,eighth,False,False,False,False
P1,4,Bb,B,-1,3,160,eighth,False,False,False,False
P1,4,E,E,,4,160,eighth,False,False,False,False
P1,4,Bb,B,-1,3,160,eighth,False,False,False,False
P1,4,G,G,,4,160,eighth,False,False,False,False
P1,4,E,E,,4,160,eighth,False,False,False,False
P1,4,Bb,B,-1,3,160,eighth,False,False,False,False
P1,4,G,G,,3,160,eighth,False,False,False,False
P1,4,D,D,,2,480,quarter,False,False,False,False
P1,4,D,D,,2,1440,half,True,False,False,False
P1,4,D,D,,3,1440,half,True,False,False,False
P1,5,,,,,1920,whole,False,True,False,False
P1,5,C,C,,2,160,eighth,False,False,False,False
P1,5,F#,F,1,2,160,eighth,False,False,False,False
P1,5,A,A,,2,160,eighth,False,False,False,False
P1,5,,,,,160,eighth,False,True,False,False
