part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,0,A,A,,4,240,eighth,False,False,False,False
P1,1,C,C,,5,240,eighth,False,False,False,False
P1,1,Bb,B,-1,4,240,eighth,False,False,False,False
P1,1,A,A,,4,240,eighth,False,False,False,False
P1,1,G,G,,4,240,eighth,False,False,False,False
P1,2,F,F,,4,480,quarter,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,F,F,,4,240,eighth,False,False,False,False
P1,3,G,G,,4,240,eighth,False,False,False,False
P1,3,G,G,,4,240,eighth,False,False,False,False
P1,3,G,G,,4,240,eighth,False,False,False,False
P1,3,G,G,,4,120,16th,False,False,False,False
P1,3,A,A,,4,120,16th,False,False,False,False
P1,4,F,F,,4,480,quarter,False,False,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,4,F,F,,4,240,eighth,False,False,False,False
P1,5,G,G,,4,240,eighth,False,False,False,False
P1,5,G,G,,4,240,eighth,False,False,False,False
P1,5,G,G,,4,240,eighth,False,False,False,False
P1,5,G,G,,4,120,16th,False,False,False,False
P1,5,A,A,,4,120,16th,False,False,False,False
P1,6,F,F,,4,240,eighth,False,False,False,False
P1,6,G,G,,4,120,16th,False,False,False,False
P1,6,A,A,,4,120,16th,False,False,False,False
P1,6,Bb,B,-1,4,120,16th,False,False,False,False
P1,6,C,C,,5,120,16th,False,False,False,False
P1,6,D,D,,5,120,16th,False,False,False,False
P1,6,E,E,,5,120,16th,False,False,False,False
P1,7,F,F,,5,240,eighth,False,False,False,False
P1,7,D,D,,5,240,eighth,False,False,False,False
P1,7,A,A,,4,240,eighth,False,False,False,False
P1,7,B,B,,4,240,eighth,False,False,False,False
P1,8,C,C,,5,480,quarter,False,False,False,False
P1,8,,,,,240,eighth,False,True,False,False
P1,8,C,C,,5,240,eighth,False,False,False,False
P1,9,D,D,,5,120,16th,False,False,False,False
P1,9,E,E,,5,120,16th,False,False,False,False
P1,9,F,F,,5,120,16th,False,False,False,False
P1,9,D,D,,5,120,16th,False,False,False,False
P1,9,B,B,,4,120,16th,False,False,False,False
P1,9,C,C,,5,120,16th,False,False,False,False
P1,9,D,D,,5,120,16th,False,False,False,False
P1,9,B,B,,4,120,16th,False,False,False,False
P1,10,C,C,,5,120,16th,False,False,False,False
P1,10,D,D,,5,120,16th,False,False,False,False
P1,10,E,E,,5,120,16th,False,False,False,False
P1,10,F,F,,5,120,16th,False,False,False,False
P1,10,G,G,,5,120,16th,False,False,False,False
P1,10,E,E,,5,120,16th,False,False,False,False
P1,10,D,D,,5,120,16th,False,False,False,False
P1,10,C,C,,5,120,16th,False,False,False,False
P1,11,D,D,,5,120,16th,False,False,False,False
P1,11,E,E,,5,120,16th,False,False,False,False
P1,11,F,F,,5,120,16th,False,False,False,False
P1,11,D,D,,5,120,16th,False,False,False,False
P1,11,B,B,,4,120,16th,False,False,False,False
P1,11,C,C,,5,120,16th,False,False,False,False
P1,11,D,D,,5,120,16th,False,False,False,False
P1,11,B,B,,4,120,16th,False,False,False,False
P1,12,C,C,,5,480,quarter,False,False,False,False
P1,12,,,,,240,eighth,False,True,False,False
P1,13,C,C,,4,240,eighth,False,False,False,False
P1,14,C,C,,5,720,quarter,True,False,False,False
P1,14,A,A,,4,240,eighth,False,False,False,False
P1,15,D,D,,5,720,quarter,True,False,False,False
P1,15,C,C,,5,240,eighth,False,False,False,False
P1,16,Bb,B,-1,4,720,quarter,True,False,False,False
P1,16,G,G,,4,240,eighth,False,False,False,False
P1,17,C,C,,5,720,quarter,True,False,False,False
P1,17,Bb,B,-1,4,240,eighth,False,False,False,False
P1,18,A,A,,4,720,quarter,True,False,False,False
P1,18,F,F,,4,240,eighth,False,False,False,False
P1,19,F,F,,4,240,eighth,False,False,False,False
P1,19,Bb,B,-1,4,480,quarter,False,False,False,False
P1,19,A,A,,4,240,eighth,False,False,False,False
P1,20,A,A,,4,240,eighth,False,False,False,False
P1,20,G,G,,4,480,quarter,False,False,False,False
P1,20,F,F,,4,240,eighth,False,False,False,False
P1,21,C,C,,5,480,quarter,False,False,False,False
P1,21,,,,,240,eighth,False,True,False,False
P1,21,A,A,,4,240,eighth,False,False,False,False
P1,22,C,C,,5,240,eighth,False,False,False,False
P1,22,Bb,B,-1,4,240,eighth,False,False,False,False
P1,22,A,A,,4,240,eighth,False,False,False,False
P1,22,G,G,,4,240,eighth,False,False,False,False
P1,23,F,F,,4,120,16th,False,False,False,False
P1,23,G,G,,4,120,16th,False,False,False,False
P1,23,A,A,,4,120,16th,False,False,False,False
P1,23,Bb,B,-1,4,120,16th,False,False,False,False
P1,23,C,C,,5,120,16th,False,False,False,False
P1,23,D,D,,5,120,16th,False,False,False,False
P1,23,E,E,,5,120,16th,False,False,False,False
P1,23,F,F,,5,120,16th,False,False,False,False
P1,24,E,E,,5,960,half,False,False,False,False
P1,25,F,F,,5,120,16th,False,False,False,False
P1,25,G,G,,5,120,16th,False,False,False,False
P1,25,A,A,,5,120,16th,False,False,False,False
P1,25,Bb,B,-1,5,120,16th,False,False,False,False
P1,25,C,C,,6,120,16th,False,False,False,False
P1,25,A,A,,5,120,16th,False,False,False,False
P1,25,G,G,,5,120,16th,False,False,False,False
P1,25,F,F,,5,120,16th,False,False,False,False
P1,26,E,E,,5,960,half,False,False,False,False
P1,27,F,F,,5,240,eighth,False,False,False,False
P1,27,,,,,240,eighth,False,True,False,False
P1,27,C,C,,5,240,eighth,False,False,False,False
P1,27,,,,,240,eighth,False,True,False,False
P1,28,Bb,B,-1,4,240,eighth,False,False,False,False
P1,28,,,,,240,eighth,False,True,False,False
P1,28,G,G,,4,240,eighth,False,False,False,False
P1,28,,,,,240,eighth,False,True,False,False
P1,29,F,F,,4,480,quarter,False,False,False,False
P1,29,,,,,240,eighth,False,True,False,False
P1,29,C,C,,5,240,eighth,False,False,False,False
P1,30,F,F,,5,240,eighth,False,False,False,False
P1,30,F,F,,5,240,eighth,False,False,False,False
P1,30,F,F,,5,240,eighth,False,False,False,False
P1,30,C,C,,5,240,eighth,False,False,False,False
P1,31,A,A,,5,240,eighth,False,False,False,False
P1,31,A,A,,5,240,eighth,False,False,False,False
P1,31,A,A,,5,240,eighth,False,False,False,False
P1,31,F,F,,5,240,eighth,False,False,False,False
P1,32,C,C,,6,480,quarter,False,False,False,False
P1,32,G,G,,5,360,eighth,True,False,False,False
P1,32,A,A,,5,120,16th,False,False,False,False
P1,33,F,F,,5,480,quarter,False,False,False,False
P1,33,,,,,240,eighth,False,True,False,False
P2,0,F,F,,4,240,eighth,False,False,False,False
P2,1,A,A,,4,240,eighth,False,False,False,False
P2,1,G,G,,4,240,eighth,False,False,False,False
P2,1,F,F,,4,240,eighth,False,False,False,False
P2,1,C,C,,4,240,eighth,False,False,False,False
P2,2,A,A,,3,480,quarter,False,False,False,False
P2,2,,,,,240,eighth,False,True,False,False
P2,2,A,A,,3,240,eighth,False,False,False,False
P2,3,C,C,,4,240,eighth,False,False,False,False
P2,3,C,C,,4,240,eighth,False,False,False,False
P2,3,C,C,,4,240,eighth,False,False,False,False
P2,3,C,C,,4,240,eighth,False,False,False,False
