part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,G,G,,5,960,half,False,False,False,False
P1,1,E,E,,5,480,quarter,False,False,False,False
P1,2,F,F,,5,480,quarter,False,False,False,False
P1,2,D,D,,5,480,quarter,False,False,False,False
P1,2,D,D,,5,480,quarter,False,False,False,False
P1,3,,,,,480,quarter,False,True,False,False
P1,3,D,D,,5,240,eighth,False,False,False,False
P1,3,E,E,,5,240,eighth,False,False,False,False
P1,3,F,F,,5,240,eighth,False,False,False,False
P1,3,D,D,,5,240,eighth,False,False,False,False
P1,4,E,E,,5,480,quarter,False,False,False,False
P1,4,C,C,,5,240,eighth,False,False,False,False
P1,4,D,D,,5,240,eighth,False,False,False,False
P1,4,E,E,,5,240,eighth,False,False,False,False
P1,4,F,F,,5,240,eighth,False,False,False,False
P1,5,G,G,,5,960,half,False,False,False,False
P1,5,E,E,,5,480,quarter,False,False,False,False
P1,6,G,G,,5,,eighth,False,False,True,False
P1,6,F,F,,5,480,quarter,False,False,False,False
P1,6,D,D,,5,480,quarter,False,False,False,False
P1,6,D,D,,5,480,quarter,False,False,False,False
P1,7,,,,,480,quarter,False,True,False,False
P1,7,D,D,,5,240,eighth,False,False,False,False
P1,7,E,E,,5,240,eighth,False,False,False,False
P1,7,F,F,,5,240,eighth,False,False,False,False
P1,7,D,D,,5,240,eighth,False,False,False,False
P1,8,C,C,,5,480,quarter,False,False,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,9,D,D,,5,960,half,False,False,False,False
P1,9,E,E,,5,480,quarter,False,False,False,False
P1,10,C,C,,5,480,quarter,False,False,False,False
P1,10,B,B,,4,480,quarter,False,False,False,False
P1,10,C,C,,5,480,quarter,False,False,False,False
P1,11,F,F,,5,960,half,False,False,False,False
P1,11,E,E,,5,480,quarter,False,False,False,False
P1,12,D,D,,5,480,quarter,False,False,False,False
P1,12,A,A,,5,480,quarter,False,False,False,False
P1,12,G,G,,5,480,quarter,False,False,False,False
P1,13,F#,F,1,5,1440,half,True,False,False,False
P1,14,G,G,,5,480,quarter,False,False,False,False
P1,14,D,D,,5,480,quarter,False,False,False,False
P1,14,D,D,,5,480,quarter,False,False,False,False
P1,15,Eb,E,-1,5,960,half,False,False,False,False
P1,15,C,C,,5,480,quarter,False,False,False,False
P1,16,B,B,,4,480,quarter,False,False,False,False
P1,16,C,C,,5,240,eighth,False,False,False,False
P1,16,D,D,,5,240,eighth,False,False,False,False
P1,16,E,E,,5,240,eighth,False,False,False,False
P1,16,F,F,,5,240,eighth,False,False,False,False
P1,17,G,G,,5,960,half,False,False,False,False
P1,17,E,E,,5,480,quarter,False,False,False,False
P1,18,F,F,,5,480,quarter,False,False,False,False
P1,18,D,D,,5,480,quarter,False,False,False,False
P1,18,D,D,,5,480,quarter,False,False,False,False
P1,19,,,,,480,quarter,False,True,False,False
P1,19,D,D,,5,240,eighth,False,False,False,False
