part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,,,,,1440,,False,True,False,False
P1,2,,,,,1440,,False,True,False,False
P1,3,,,,,1440,,False,True,False,False
P1,4,,,,,1440,,False,True,False,False
P1,5,,,,,1440,,False,True,False,False
P1,6,,,,,1440,,False,True,False,False
P1,7,,,,,1440,,False,True,False,False
P1,8,,,,,1440,,False,True,False,False
P1,9,,,,,1440,,False,True,False,False
P1,10,,,,,1440,,False,True,False,False
P1,11,,,,,1440,,False,True,False,False
P1,12,,,,,1440,,False,True,False,False
P1,13,,,,,1440,,False,True,False,False
P1,14,,,,,1440,,False,True,False,False
P1,15,,,,,1440,,False,True,False,False
P1,16,,,,,1440,,False,True,False,False
P1,17,,,,,1440,,False,True,False,False
P1,18,,,,,1440,,False,True,False,False
P1,19,,,,,1440,,False,True,False,False
P1,20,,,,,1440,,False,True,False,False
P1,21,,,,,1440,,False,True,False,False
P1,22,,,,,1440,,False,True,False,False
P1,23,,,,,1440,,False,True,False,False
P1,24,,,,,1440,,False,True,False,False
P1,25,,,,,1440,,False,True,False,False
P1,26,,,,,1440,,False,True,False,False
P1,27,,,,,1440,,False,True,False,False
P1,28,,,,,1440,,False,True,False,False
P1,29,,,,,1440,,False,True,False,False
P1,30,,,,,1440,,False,True,False,False
P1,31,,,,,1440,,False,True,False,False
P1,32,,,,,1440,,False,True,False,False
P2,1,C,C,,5,1440,half,True,False,False,False
P2,2,E,E,,5,240,eighth,False,False,False,False
P2,2,D,D,,5,240,eighth,False,False,False,False
P2,2,D,D,,5,240,eighth,False,False,False,False
P2,2,B,B,,4,240,eighth,False,False,False,False
P2,2,C,C,,5,480,quarter,False,False,False,False
P2,3,F,F,,5,960,half,False,False,False,False
P2,3,E,E,,5,480,quarter,False,False,False,False
P2,4,E,E,,5,240,eighth,False,False,False,False
P2,4,D,D,,5,240,eighth,False,False,False,False
P2,4,D,D,,5,240,eighth,False,False,False,False
P2,4,B,B,,4,240,eighth,False,False,False,False
P2,4,C,C,,5,480,quarter,False,False,False,False
P2,5,A,A,,5,960,half,False,False,False,False
P2,5,G,G,,5,480,quarter,False,False,False,False
P2,6,G,G,,5,480,quarter,False,False,False,False
P2,6,F,F,,5,480,quarter,False,False,False,False
P2,6,E,E,,5,480,quarter,False,False,False,False
P2,7,E,E,,5,240,eighth,False,False,False,False
P2,7,D,D,,5,240,eighth,False,False,False,False
P2,7,D,D,,5,240,eighth,False,False,False,False
P2,7,G,G,,5,240,eighth,False,False,False,False
P2,7,E,E,,5,240,eighth,False,False,False,False
P2,7,C,C,,5,240,eighth,False,False,False,False
P2,8,E,E,,5,960,half,False,False,False,False
P2,8,D,D,,5,480,quarter,False,False,False,False
P2,9,G,G,,5,1440,half,True,False,False,False
P2,10,G,G,,5,240,eighth,False,False,False,False
P2,10,F#,F,1,5,240,eighth,False,False,False,False
P2,10,E,E,,5,240,eighth,False,False,False,False
P2,10,D,D,,5,240,eighth,False,False,False,False
P2,10,C#,C,1,5,240,eighth,False,False,False,False
P2,10,D,D,,5,240,eighth,False,False,False,False
P2,11,F,F,,5,1440,half,True,False,False,False
P2,12,F,F,,5,240,eighth,False,False,False,False
P2,12,E,E,,5,240,eighth,False,False,False,False
P2,12,D,D,,5,240,eighth,False,False,False,False
P2,12,C,C,,5,240,eighth,False,False,False,False
P2,12,B,B,,4,240,eighth,False,False,False,False
P2,12,C,C,,5,240,eighth,False,False,False,False
P2,13,C,C,,6,240,eighth,False,False,False,False
P2,13,B,B,,5,240,eighth,False,False,False,False
P2,13,A,A,,5,240,eighth,False,False,False,False
P2,13,G,G,,5,240,eighth,False,False,False,False
P2,13,F,F,,5,240,eighth,False,False,False,False
P2,13,E,E,,5,240,eighth,False,False,False,False
P2,14,D,D,,5,240,eighth,False,False,False,False
P2,14,E,E,,5,240,eighth,False,False,False,False
P2,14,F,F,,5,240,eighth,False,False,False,False
P2,14,G,G,,5,240,eighth,False,False,False,False
P2,14,A,A,,5,240,eighth,False,False,False,False
P2,14,F,F,,5,240,eighth,False,False,False,False
P2,15,E,E,,5,240,eighth,False,False,False,False
P2,15,G,G,,5,240,eighth,False,False,False,False
P2,15,C,C,,5,240,eighth,False,False,False,False
P2,15,E,E,,5,240,eighth,False,False,False,False
P2,15,D,D,,5,240,eighth,False,False,False,False
P2,15,B,B,,4,240,eighth,False,False,False,False
P2,16,B,B,,4,960,half,False,False,False,False
P2,16,C,C,,5,240,eighth,False,False,False,False
P2,16,,,,,240,eighth,False,True,False,False
P2,17,C,C,,5,480,quarter,False,False,False,False
P2,17,C,C,,5,720,quarter,True,False,False,False
P2,17,F,F,,5,240,eighth,False,False,False,False
P2,18,F,F,,5,240,eighth,False,False,False,False
P2,18,E,E,,5,240,eighth,False,False,False,False
P2,18,E,E,,5,480,quarter,False,False,False,False
P2,18,,,,,480,quarter,False,True,False,False
P2,19,C,C,,5,480,quarter,False,False,False,False
P2,19,E,E,,5,720,quarter,True,False,False,False
P2,19,G,G,,5,240,eighth,False,False,False,False
P2,20,G,G,,5,240,eighth,False,False,False,False
P2,20,F,F,,5,240,eighth,False,False,False,False
P2,20,F,F,,5,480,quarter,False,False,False,False
P2,20,,,,,480,quarter,False,True,False,False
P2,21,C,C,,5,480,quarter,False,False,False,False
P2,21,F,F,,5,720,quarter,True,False,False,False
P2,21,A,A,,5,240,eighth,False,False,False,False
P2,22,A,A,,5,240,eighth,False,False,False,False
P2,22,G,G,,5,240,eighth,False,False,False,False
P2,22,F,F,,5,720,quarter,True,False,False,False
P2,22,E,E,,5,240,eighth,False,False,False,False
P2,23,E,E,,5,240,eighth,False,False,False,False
P2,23,D,D,,5,240,eighth,False,False,False,False
P2,23,D,D,,5,240,eighth,False,False,False,False
P2,23,C,C,,5,240,eighth,False,False,False,False
P2,23,D,D,,5,240,eighth,False,False,False,False
P2,23,E,E,,5,240,eighth,False,False,False,False
P2,24,D,D,,5,960,half,False,False,False,False
P2,24,C,C,,5,240,eighth,False,False,False,False
P2,24,,,,,240,eighth,False,True,False,False
P2,25,C,C,,5,240,eighth,False,False,False,False
P2,25,D,D,,5,240,eighth,False,False,False,False
P2,25,E,E,,5,240,eighth,False,False,False,False
P2,25,F,F,,5,240,eighth,False,False,False,False
P2,25,G,G,,5,240,eighth,False,False,False,False
P2,25,A,A,,5,240,eighth,False,False,False,False
P2,26,Bb,B,-1,5,240,eighth,False,False,False,False
P2,26,G,G,,5,240,eighth,False,False,False,False
P2,26,E,E,,5,240,eighth,False,False,False,False
P2,26,C,C,,5,240,eighth,False,False,False,False
P2,26,F,F,,5,480,quarter,False,False,False,False
P2,27,D,D,,5,720,quarter,True,False,False,False
P2,27,E,E,,5,240,eighth,False,False,False,False
P2,27,F,F,,5,240,eighth,False,False,False,False
P2,27,G,G,,5,240,eighth,False,False,False,False
P2,28,F,F,,5,960,half,False,False,False,False
P2,28,E,E,,5,480,quarter,False,False,False,False
P2,29,C,C,,5,480,quarter,False,False,False,False
P2,29,F,F,,5,720,quarter,True,False,False,False
P2,29,Eb,E,-1,5,240,eighth,False,False,False,False
P2,30,D,D,,5,240,eighth,False,False,False,False
P2,30,C#,C,1,5,240,eighth,False,False,False,False
P2,30,D,D,,5,240,eighth,False,False,False,False
P2,30,E,E,,5,240,eighth,False,False,False,False
P2,30,F,F,,5,240,eighth,False,False,False,False
P2,30,F#,F,1,5,240,eighth,False,False,False,False
P2,31,G,G,,5,360,eighth,True,False,False,False
P2,31,A,A,,5,120,16th,False,False,False,False
P2,31,F,F,,5,480,quarter,False,False,False,False
P2,31,E,E,,5,480,quarter,False,False,False,False
P2,32,E,E,,5,960,half,False,False,False,False
P2,32,F,F,,5,240,eighth,False,False,False,False
P2,32,,,,,240,eighth,False,True,False,False
P3,1,C,C,,4,480,quarter,False,False,False,False
P3,1,E,E,,4,480,quarter,False,False,False,False
P3,1,C,C,,4,480,quarter,False,False,False,False
P3,2,G,G,,4,480,quarter,False,False,False,False
P3,2,F,F,,4,480,quarter,False,False,False,False
P3,2,E,E,,4,480,quarter,False,False,False,False
P3,3,,,,,480,quarter,False,True,False,False
P3,3,B,B,,4,480,quarter,False,False,False,False
P3,3,C,C,,5,480,quarter,False,False,False,False
P3,4,G,G,,4,480,quarter,False,False,False,False
P3,4,F,F,,4,480,quarter,False,False,False,False
P3,4,E,E,,4,480,quarter,False,False,False,False
P3,5,,,,,480,quarter,False,True,False,False
P3,5,F,F,,5,480,quarter,False,False,False,False
P3,5,E,E,,5,480,quarter,False,False,False,False
P3,6,A,A,,4,480,quarter,False,False,False,False
P3,6,B,B,,4,480,quarter,False,False,False,False
P3,6,C,C,,5,480,quarter,False,False,False,False
P3,7,G,G,,4,480,quarter,False,False,False,False
P3,7,,,,,480,quarter,False,True,False,False
P3,7,C,C,,4,240,eighth,False,False,False,False
P3,7,E,E,,4,240,eighth,False,False,False,False
P3,8,G,G,,4,480,quarter,False,False,False,False
P3,8,G,G,,3,480,quarter,False,False,False,False
P3,8,,,,,480,quarter,False,True,False,False
P3,9,A,A,,4,480,quarter,False,False,False,False
P3,9,B,B,,4,480,quarter,False,False,False,False
P3,9,C#,C,1,5,480,quarter,False,False,False,False
P3,10,D,D,,5,480,quarter,False,False,False,False
P3,10,,,,,480,quarter,False,True,False,False
P3,10,,,,,480,quarter,False,True,False,False
P3,11,G,G,,4,480,quarter,False,False,False,False
P3,11,A,A,,4,480,quarter,False,False,False,False
P3,11,B,B,,4,480,quarter,False,False,False,False
